9411837
/m/0287tt2
/m/0287tt2
Caroline Lawrence
julia 1
jump 1
jumps 1
just 5
keep 2
kidnapped 2
kidnappers 1
kidnapping 3
kill 1
kind 1
knife 1
knock 1
know 1
knowing 1
kuanto 9
landlord 1
last 1
later 1
law 2
layer 1
leading 1
league 1
learn 1
leave 1
leaves 1
leda 3
like 2
liking 1
little 1
live 1
local 1
locals 1
locked 1
long 1
look 1
lose 1
lost 1
lotuswood 1
lucius 1
luckier 1
lupus 10
lupuss 1
luxuries 1
lye 1
making 1
manage 1
manages 2
many 1
mast 1
masters 1
means 1
meanwhile 1
medicine 2
meet 2
meets 1
men 2
mental 1
missing 1
mordecai 1
morning 1
mother 1
mount 1
mutter 1
name 1
named 1
near 1
needs 1
nest 1
news 1
next 2
night 1
not 3
notice 1
now 1
nowhere 1
nubia 19
of 29
off 1
on 10
one 5
onto 1
or 1
ordering 2
organize 1
organized 1
ostensibly 1
other 2
others 2
otherwise 1
out 2
over 2
overboard 2
overpower 1
own 1
packet 1
panics 1
parts 1
party 1
patron 3
pay 1
picking 1
picnic 1
piece 1
pirate 1
pirates 11
place 1
plan 1
play 1
playing 2
plowing 1
polla 3
pollius 1
pompeii 1
poorly 1
posses 1
pour 1
powder 2
powerful 1
praying 1
precious 1
pretend 1
prisoner 1
publius 1
pulchra 10
punishment 2
puppy 1
put 1
racing 1
racket 1
rain 1
rainstorm 1
ransom 1
rarely 1
realizes 1
reason 1
receive 1
recognize 1
recognizes 1
recover 1
recovering 1
refugee 2
refugees 3
refuses 1
region 1
require 1
rescuing 1
retrace 1
return 2
returning 1
revealed 1
rome 1
ruefully 1
rufus 1
run 3
runaway 8
running 1
runs 3
same 1
saves 1
saying 1
says 3
scary 1
scuto 1
sea 2
search 1
seaside 1
seductive 1
seeing 2
seem 1
seen 1
sees 2
seize 2
seized 1
selling 2
servant 1
serves 1
several 1
severe 1
shamefully 1
she 12
ship 6
shocks 1
short 1
shortly 1
shrine 1
sickened 1
signs 2
since 2
sit 1
slave 4
slavedealer 1
slaves 10
sleeping 1
sling 1
slip 1
slowly 1
small 1
so 3
some 2
soon 1
sorted 1
sorting 1
spells 1
spill 1
spirits 1
spoiled 1
spot 1
spying 1
stab 1
stand 1
stay 1
steps 1
stick 1
still 1
stole 1
stolen 1
stomach 1
stones 1
stops 1
stores 1
subdued 1
suddenly 1
suggested 1
sumptuous 1
supplies 1
suspects 1
suspicious 1
take 2
taken 4
takes 1
talks 1
tears 1
tell 1
tells 1
terrible 1
thanks 1
that 18
the 92
their 5
them 15
themselves 1
then 6
there 3
they 13
things 1
this 1
those 1
though 1
threatening 1
three 1
throwing 1
tied 1
time 1
to 59
told 1
took 1
torn 1
track 1
traders 2
trading 1
treating 1
treats 1
tries 2
try 1
trying 2
turning 1
two 5
uncle 1
unconscious 1
untied 1
up 4
upright 1
urgent 1
use 2
various 1
venalicius 3
vespa 1
vesuvius 1
villa 5
visions 1
volcanic 1
volcano 1
walk 1
want 1
was 2
washes 1
water 1
way 2
ways 1
well 1
were 1
what 1
when 5
where 2
while 5
who 9
whom 2
whose 1
wife 2
will 2
wine 1
wings 1
with 13
without 1
would 3
wrong 1
yacht 1
younger 1
