6869197
/m/0gtgsb
/m/0gtgsb
Peter Straub
platoon 5
platoonmichael 1
playing 1
plot 1
pocket 4
police 4
policeman 1
policemen 2
poole 2
position 2
possibly 1
posts 1
pot 1
precious 1
presence 1
prison 1
prisoner 1
process 1
publishes 1
pumo 4
purpose 1
pursued 1
put 1
quickly 1
rampage 1
reaches 1
real 2
realises 2
realizes 1
recall 1
relationship 3
relatives 1
release 1
religious 1
remains 1
remembers 1
removed 1
residential 1
restaurant 2
return 2
returns 2
reunion 1
revealed 1
reveals 1
ritualistic 1
runs 1
safety 1
said 1
same 4
san 1
say 2
scene 3
school 1
scolds 1
search 2
searches 1
seconds 1
see 1
seen 1
sees 1
seizes 1
sell 1
series 2
several 4
sexually 1
she 8
shocked 1
shortly 3
side 2
sight 1
significance 1
since 1
singapore 2
six 2
sketchy 1
slipped 1
small 4
smashes 2
snapped 1
so 3
soldiers 1
something 2
son 1
soon 1
soontobereopened 1
southeast 1
speak 2
special 1
spitalny 12
spree 1
squad 1
stable 1
stabs 1
stairs 2
stars 1
state 1
stay 1
steals 1
story 2
strained 1
street 1
stripes 1
such 1
suicide 1
sure 1
survive 1
survivors 1
switched 1
taipei 1
taught 1
telling 3
tells 1
tenement 1
that 20
the 92
their 6
them 11
then 2
thereafter 2
they 7
think 1
thinking 1
this 2
though 2
thought 1
thoughtful 1
through 1
throwing 1
thus 1
tied 1
tim 1
time 1
times 1
tina 8
to 47
together 5
too 1
towards 1
town 3
track 1
trail 1
transferred 1
trap 1
travel 3
traveling 1
travels 2
trio 1
trip 1
trust 1
trying 1
turns 2
twisted 1
two 4
unaware 1
underhill 30
understandable 1
until 1
up 3
upon 1
version 1
very 1
veterans 1
vicious 1
victims 1
victor 2
vietnam 4
vietnamese 1
vinh 1
violently 1
visit 1
visits 1
waiting 1
wandering 1
wanders 1
war 4
was 5
washington 1
way 1
well 1
went 1
were 3
what 1
when 2
where 6
whereabouts 1
which 2
while 7
who 4
wife 1
will 2
with 14
woman 2
word 2
work 1
worker 1
works 1
worried 1
would 1
woyzak 1
written 1
wrong 1
wrote 1
years 5
york 3
young 3
