1858057
/m/061lkv
/m/061lkv
Rob Grant
flare 1
fly 1
following 1
for 9
forced 2
forcing 2
fortune 2
forward 1
found 2
four 1
frank 1
freak 1
from 9
funeral 1
game 6
garbage 2
george 1
get 1
giant 2
give 1
gives 1
glass 1
go 1
going 1
golden 1
gone 1
gothic 1
gotten 1
government 1
grant 1
green 1
groupies 1
happy 1
has 9
hates 1
have 9
having 5
he 24
head 1
headbands 1
heart 2
him 8
himself 5
his 25
hole 5
holly 8
home 1
hospital 1
how 2
however 1
hundreds 1
ice 1
icy 1
if 2
in 25
infinity 1
information 1
informs 2
insists 1
instructions 1
instructs 1
intelligent 1
intends 1
into 9
iq 1
is 20
island 1
it 4
its 3
jim 1
juanita 1
julius 1
jump 1
knock 2
knowing 1
knows 1
kochanski 5
kristine 1
kryten 7
lands 1
landscape 1
laser 1
later 1
launch 1
lead 1
leave 5
left 2
less 1
life 6
lifts 1
like 2
likes 1
lister 29
long 1
look 1
looks 2
loses 1
loss 1
lunch 1
lures 1
machine 1
make 1
making 1
manages 1
many 1
marooned 1
married 1
massive 1
massively 1
meanwhile 2
mechanoid 1
meet 2
melted 1
message 1
messages 3
milehigh 1
milk 2
mind 1
minutes 1
missile 1
moat 2
model 1
months 1
morning 1
most 3
mother 1
mount 1
moved 1
movie 1
much 2
mugger 1
multinational 1
muscles 2
must 2
named 1
napoleon 1
nappies 1
naylor 1
nearby 1
need 1
new 1
news 1
next 2
not 1
nova 1
novels 1
novelty 1
nuclear 1
of 27
off 1
offers 1
offspring 1
old 1
olive 1
omnibus 1
on 15
one 2
online 1
only 4
opens 1
operation 2
opportunity 1
or 1
orbit 2
order 2
other 1
out 8
own 3
pain 2
parallel 1
passed 2
patton 1
perform 1
petersen 1
pile 1
pistons 2
placed 1
plan 1
planet 7
playing 1
point 1
polymorph 2
printed 1
prints 2
problems 1
process 1
quarters 1
rain 1
real 1
realise 2
realises 1
reality 3
realize 1
recognise 1
recover 1
recovers 1
red 4
regain 1
regurgitates 1
rehydrate 1
rejected 1
remains 2
remember 1
repair 1
replay 1
repossessed 1
rescue 3
rest 2
restart 1
restore 1
retrieve 1
return 3
revealing 1
right 2
rimmer 15
risk 1
rob 1
rogue 3
ruining 1
run 1
runs 1
rushmore 1
safely 1
saved 1
scantily 1
searching 1
second 1
sees 1
selfloathing 1
settles 1
shared 1
ship 2
shipmates 1
shocked 1
shoot 1
shop 1
shot 1
shut 2
shuts 2
skutters 1
slays 1
sleeping 1
slow 1
so 3
solar 2
solidgram 1
solution 1
some 3
something 1
sons 1
space 2
special 1
spell 1
square 1
staffed 1
starbug 3
started 2
starts 1
starve 1
statis 1
stay 2
steals 1
still 1
strange 1
stress 1
strike 1
subsequent 1
successful 2
such 1
sucked 1
suits 1
sun 1
surrounded 1
system 1
take 1
takes 1
tale 1
talkie 1
taxi 1
tell 1
temper 1
tended 1
test 2
than 3
that 13
the 82
their 6
them 7
then 1
they 17
theyve 1
thing 1
things 2
thirty 2
this 2
through 2
time 6
tiny 1
to 60
toast 1
toaster 5
together 3
too 1
took 1
towards 1
towel 1
town 1
trapped 1
travel 3
travels 1
tree 1
truck 1
try 1
turn 1
turns 1
two 4
ubtl 1
units 1
until 2
up 6
upon 1
use 1
uses 1
valkyrie 1
valkyries 1
via 1
violent 1
violently 1
volcano 1
vows 1
waist 1
wait 1
waiting 1
wakes 2
wallet 1
wanders 1
want 1
wants 1
warn 1
warriors 1
was 2
watch 1
way 2
weird 1
welcomes 1
well 1
were 2
when 4
where 3
which 8
while 4
who 3
wife 3
will 1
wiping 1
with 7
woman 2
women 2
wonderful 1
work 1
world 2
worse 1
would 1
wrong 1
yaks 1
years 3
younger 1
zip 1
