1226795
/m/04k31p
/m/04k31p
John Steakley
sanction 5
saves 1
saving 1
scout 5
second 1
secure 1
security 1
see 2
seemingly 2
seems 1
sees 1
sessions 2
several 3
she 2
ship 9
ships 1
shoen 1
show 1
skilled 1
small 1
so 3
soldier 6
soldiers 5
source 1
spend 1
spending 1
stand 1
starships 1
starting 1
starts 1
still 1
story 3
strikes 1
stroke 1
subplots 1
successfully 1
suffered 1
suffers 1
suicidal 1
suit 3
suits 1
superiors 1
supposed 1
suppress 1
survival 1
survive 1
surviving 1
survivors 1
system 1
takes 3
tantalize 1
task 1
teleportation 1
teleported 1
tells 2
territory 1
than 1
that 15
the 91
their 2
them 3
then 3
there 1
these 2
they 4
this 3
threatened 1
threemetertall 1
through 3
throughout 1
tidbits 1
time 2
times 1
title 1
to 48
tough 1
tragic 1
transit 2
transport 1
trio 1
true 3
truly 2
tunnel 1
two 1
ultimately 2
unbelievably 1
underground 1
unstoppable 1
up 1
use 1
useless 1
using 2
via 1
victory 1
views 1
war 2
ware 1
warrior 1
warriors 2
was 1
watch 1
way 3
we 4
wealthy 2
weapons 2
wearer 1
wears 1
were 1
what 1
when 1
where 1
which 2
while 1
who 7
whose 1
wide 1
wife 1
will 4
wiped 1
with 17
withstands 1
world 1
worn 1
wounded 2
wrong 1
yet 1
