10787364
/m/02qpzb5
/m/02qpzb5
Jeanne Cavelos
evercheerful 1
every 1
everyone 1
evil 1
evolved 1
except 1
execution 1
exile 2
existence 1
experiences 1
extended 1
eye 5
fa 1
faced 1
fact 1
failing 1
fails 1
far 1
fear 1
feared 1
feelings 1
fierce 1
fight 1
fighting 1
fights 1
final 1
finale 1
finally 3
finds 2
first 3
five 1
for 19
forced 3
forcing 1
forgotten 1
formerly 1
fought 1
fragment 1
free 4
freed 2
frees 1
fresh 1
friend 2
friends 1
from 8
fulfill 1
function 1
functions 1
fundamental 1
further 1
future 1
galaxy 4
galen 30
gleel 1
go 1
goes 1
gotten 1
grab 1
great 2
griefstricken 1
guide 1
had 2
hand 1
has 10
hated 1
have 3
having 1
he 22
heal 1
health 1
heart 2
heavily 1
help 3
hemmed 1
her 4
herazade 1
here 1
hideandseek 1
hiding 5
him 9
himself 6
his 29
holds 1
home 2
homeworld 1
hope 1
horrid 1
how 1
identity 1
immense 1
immensely 1
implants 1
impulses 4
in 35
incarnate 1
induced 1
influence 1
information 1
inherently 1
instigated 1
intended 1
intentions 1
interest 1
interestingly 1
interlinkable 1
into 2
invariable 1
invisible 1
irresistible 1
is 30
it 9
its 2
itself 2
john 1
just 5
kamikaze 1
keeping 1
kill 1
killed 1
killing 2
kills 1
knowledge 2
knows 1
kosh 2
labyrinth 1
last 3
leadup 1
learned 1
learns 1
least 1
leave 1
leaves 1
left 3
less 1
let 1
life 1
lifelong 1
light 1
like 2
link 2
linked 1
lives 1
living 1
long 1
lorien 3
lost 1
machine 2
made 1
mades 1
mage 4
mages 8
main 1
mainly 1
malevolent 1
man 1
manages 1
massive 1
meaning 1
means 2
mechanism 1
meets 1
merges 1
merging 1
moments 1
morden 11
more 3
most 3
mostly 1
much 4
muchstrained 1
narn 1
native 1
nature 1
near 1
nearly 1
need 1
nefarious 1
neither 1
nemeses 1
nemesis 1
new 2
newfound 1
nigh 1
no 3
none 1
not 5
now 7
obliterated 1
observation 1
observing 1
of 78
off 1
old 4
oldest 1
omnipresent 2
on 13
once 5
one 1
ones 1
onetime 1
ongoing 1
only 8
onscreen 1
openly 1
opportunity 1
optimistic 1
or 1
order 3
origin 1
original 1
other 4
otherwise 1
our 1
out 4
outside 3
over 3
overuse 1
own 2
pain 1
parallel 1
part 2
particularly 1
pass 1
past 2
peculiar 1
perfect 2
perish 1
persistent 1
persuade 1
petty 1
piece 2
place 8
places 1
planet 1
plans 1
portion 1
possibility 1
potential 1
power 6
powerful 4
presence 2
previous 2
previously 1
price 1
privy 1
probes 2
proceed 1
processor 2
programming 4
promise 1
protecting 1
proven 1
proving 1
punishment 1
pushing 1
put 1
puzzle 1
quest 1
race 1
rapidly 2
rather 1
razeel 3
reach 1
reached 1
reaching 1
real 1
realizes 4
really 1
reason 4
recent 1
recourse 1
refuse 2
region 1
relatively 1
relinquishing 1
remain 1
remaining 2
remains 1
remote 1
replacement 2
require 1
rest 4
result 1
returning 1
revealed 1
revered 1
rivals 1
room 1
route 1
ruling 1
sacrificed 1
sacrifices 1
same 3
save 3
scarred 1
sealed 1
season 1
secession 1
seclusion 1
seclusionist 1
second 2
semisentient 1
sentient 1
separation 1
service 1
servitude 1
severing 2
shadow 12
shadows 15
shadowtech 1
she 2
sheridan 5
ship 1
ships 1
short 1
side 2
since 1
sister 2
slow 1
so 2
solidarity 1
solitarynatured 1
some 1
soom 2
soon 1
sophisticated 1
space 1
spell 2
spends 1
spiritual 1
spread 1
squandered 1
staggering 1
star 2
stay 1
stayed 1
stealth 1
still 5
stops 1
story 1
storyline 1
striven 1
stronghold 1
struggling 1
subsequently 1
substantially 1
successful 1
successfully 1
suddenly 1
summoning 1
suppress 1
sure 1
surface 1
survived 1
system 1
takes 1
taking 1
task 1
teacher 1
teaching 1
tech 9
technology 1
technomage 5
technomages 3
telling 1
terms 1
terrifying 1
than 1
that 10
the 164
their 12
them 9
themselves 1
then 5
thenothk 1
there 3
thermonuclear 1
they 1
this 12
those 1
though 1
thousand 1
threat 1
through 3
throughout 1
thus 3
time 6
timeless 1
to 47
together 1
told 1
torn 1
toward 1
transportation 1
trilogy 1
true 1
truth 1
turning 1
turns 2
tv 1
two 2
ubiquitous 1
ulkesh 1
unbeknownst 1
uncharted 1
under 1
underground 1
unfold 1
unity 2
universe 1
unleashed 1
unleashing 1
up 1
upon 1
urges 1
use 1
useful 1
very 2
vessel 1
violence 1
vorlon 1
vorlons 2
war 3
warns 1
was 2
watch 1
wave 1
ways 1
weakened 1
weapon 1
weighing 1
well 7
were 3
what 5
where 3
which 2
white 2
who 10
wierden 1
will 2
willing 1
wise 1
with 17
withering 1
within 1
without 1
world 1
worse 1
would 2
years 3
yet 1
young 1
younger 1
zhadum 10
