3139599
/m/08tysy
/m/08tysy
Louise Cooper
kgb 2
killed 2
killer 2
killing 1
known 1
kuwait 1
lady 1
larnaca 1
late 1
later 2
law 1
leading 2
leaves 1
led 1
lesson 1
let 1
libya 1
libyan 1
like 1
locate 1
locates 1
london 2
long 1
longer 1
looks 1
loyalty 1
make 2
makes 1
malta 1
manages 4
manhunt 1
many 1
maverick 1
mccready 17
meeting 1
mentor 1
miami 1
midair 1
might 1
military 3
minor 1
mole 1
more 1
morenz 8
moscow 3
most 1
murder 2
murdered 1
mutual 1
named 1
necessary 1
need 1
nervous 1
new 2
newspaper 1
nicosia 2
no 3
not 3
noticed 1
notorious 1
novel 1
of 33
offered 1
offering 1
office 1
officer 4
official 1
old 3
on 9
one 3
operation 1
or 1
order 2
ordered 1
orders 1
orlov 7
other 1
out 3
outpost 1
outside 1
over 3
overeager 1
own 4
part 3
parties 1
partner 2
passes 1
past 1
pay 1
people 1
phones 1
pimp 1
place 3
plane 1
planning 1
plans 1
plant 1
point 1
poisoned 1
political 1
popular 1
popularity 1
population 1
pose 1
potential 1
prepares 1
preparing 1
presidential 1
press 1
pretense 1
prevent 1
proof 1
protecting 1
prove 2
provider 1
providing 1
provisional 1
purpose 1
pyotr 1
quick 1
radio 1
rash 1
realizes 1
realizing 1
recalled 1
recognizes 1
recruits 2
redefined 1
rejected 1
relations 1
republican 1
research 1
residency 1
respectively 1
retire 1
retirement 2
retrieving 1
returned 1
reveals 1
risk 1
role 1
romantically 1
rowse 2
rule 1
rules 1
russian 1
saddam 1
sam 10
same 2
sas 1
saving 1
sbs 1
schemes 1
scotland 2
seaborne 1
search 1
secret 2
secretly 1
security 1
seeking 1
sends 1
service 2
services 1
ship 1
shipment 2
shot 1
sides 1
since 4
sis 5
slips 1
sluttish 1
small 1
smooth 1
smuggler 2
so 2
soldierturnednovelist 1
sole 1
some 2
something 1
soughtafter 1
sources 1
soviet 5
soviets 1
special 1
spies 2
spy 1
stark 1
state 1
stating 1
still 1
stoically 1
story 1
substantial 1
such 1
suddenly 1
suggested 1
sunshine 4
support 1
supposed 1
suspicion 1
take 1
takes 3
tasked 1
taught 1
team 1
territorial 1
terrorist 1
terrorists 1
that 16
the 88
their 3
them 2
there 1
they 1
think 1
thinking 1
thinly 1
this 2
though 1
three 1
through 1
thus 2
time 3
to 54
tom 2
too 3
traffic 1
traitor 1
transition 2
transporting 1
treachery 1
trouble 1
turn 1
turns 1
two 2
uglier 1
uncovers 1
union 1
unmoved 1
unwilling 1
up 1
us 2
usa 1
uses 1
ussr 1
vacationing 1
valletta 1
valuable 2
variety 1
verge 1
very 1
vessel 2
vindicated 1
violation 1
visit 2
vouching 1
war 2
warming 1
warns 1
was 6
way 1
weapons 3
weeks 2
well 1
western 1
what 1
when 4
which 1
while 2
who 4
whom 1
will 4
with 14
within 1
without 3
woman 2
workers 1
works 1
world 1
wouldve 1
wrong 2
yard 2
yet 1
