8319911
/m/026_9k8
/m/026_9k8
James Patterson
hughes 1
humans 1
hung 4
hunting 1
identity 1
if 1
impressed 1
in 60
include 1
infection 1
information 1
informed 2
informs 1
inherited 1
injure 1
injured 1
inside 11
inspector 1
instead 1
instructed 1
intend 1
interrupted 1
interrupts 2
interviews 1
into 7
investigate 1
invites 1
involved 3
irwin 4
is 34
isnt 1
issues 1
it 15
its 1
jamilla 38
jamillas 2
janelle 2
jannie 1
jog 2
john 2
join 2
jump 1
jumps 2
just 2
kate 2
keep 1
kids 1
kill 10
killed 7
killers 4
killing 3
killings 1
kills 2
kind 1
kiss 2
knew 3
knife 1
knifed 1
know 1
knowing 1
knows 2
kyle 50
kyles 4
la 2
laid 1
large 1
las 1
last 2
later 3
lathe 1
lead 2
leads 2
least 1
leave 3
leaves 3
led 2
left 1
legs 1
lie 1
lieberman 1
light 2
lights 2
like 3
likeness 1
limousine 1
line 1
lions 1
list 1
little 1
living 2
local 2
long 3
looked 1
looking 1
looks 1
los 2
louisiana 1
luckily 1
luis 1
made 3
magic 1
magicians 11
mail 1
main 1
make 2
makes 1
making 1
mama 2
man 6
managed 1
manages 1
manipulate 1
marks 2
marmont 1
martha 1
martin 1
master 1
mastermind 20
mauled 1
may 2
mctiernan 1
meet 4
meets 1
men 4
message 1
met 3
michael 15
middle 1
might 2
mill 1
minors 1
missed 1
missing 1
mission 2
moment 2
months 1
more 1
morgue 1
morning 3
most 1
mouth 1
move 3
moves 1
multiple 1
murder 8
murdered 4
murders 13
mutilated 1
name 1
named 1
nana 2
near 1
nearby 1
necks 1
nevada 1
new 8
next 15
night 4
no 3
normal 1
north 2
not 10
notes 2
noticed 1
notices 1
now 5
nowhere 1
nude 1
numerous 1
obispo 1
observation 1
observe 1
observer 1
occurred 1
of 47
off 2
office 1
officer 1
ohara 1
old 1
older 1
on 28
once 2
one 4
onto 1
open 1
opens 2
opponent 1
or 1
order 1
orders 1
orleans 6
other 3
others 1
out 12
outside 2
over 2
own 3
owners 1
owns 1
painful 1
pale 1
pang 1
parents 3
park 2
parks 2
part 3
partner 2
party 3
patrolman 1
patsy 1
patterns 1
people 7
performance 1
performances 1
performed 1
performing 2
person 3
peter 3
phone 5
picks 1
pickup 1
place 2
plan 3
play 1
pleasure 1
ploy 1
pointed 1
police 4
potential 1
pranic 2
precinct 2
prescription 1
preserve 1
princes 1
private 2
proceed 2
promise 1
proof 1
protect 1
prove 1
proved 1
publicity 1
pull 1
punches 1
put 1
questioned 1
questioning 1
questions 1
quitting 1
ranch 3
reading 1
ready 3
recalls 1
received 1
receiving 1
record 1
recorded 1
red 1
regarding 1
related 2
remembers 1
rents 1
reporter 3
requests 1
research 1
restaurant 3
return 1
returning 1
returns 7
reveals 1
reviewing 1
reviews 1
rings 3
robes 1
rolled 1
ronald 1
room 4
roses 1
run 1
runaway 2
runaways 2
runs 1
rush 2
rushes 5
rushing 1
safe 2
safety 1
same 1
sampson 4
san 10
santa 3
santos 1
savagely 1
savannah 1
saw 1
scene 6
schedule 1
school 1
scpd 1
scratch 1
screaming 1
sealed 1
searching 1
seduce 1
see 7
seeing 1
seem 1
seen 1
sees 6
selfprofessed 1
sends 1
sense 2
senses 1
sent 2
serious 1
session 1
several 9
sfpd 1
shafer 1
she 27
shes 1
shoot 1
shopping 1
shots 2
should 1
shoulder 2
show 4
side 2
sign 1
similar 3
similarity 1
sire 9
slashed 1
sleep 1
small 1
smelly 1
smithsonian 1
snyder 4
so 2
socalled 1
solid 1
solves 1
some 4
someone 4
something 1
soon 1
south 1
speak 1
speaks 1
speed 1
spends 2
spot 1
springs 1
squad 1
stairs 1
stakeout 1
starts 1
station 1
stays 1
still 1
stop 2
story 1
street 1
strong 1
struck 2
student 1
succeed 1
sucking 1
suddenly 4
sunset 1
superficial 1
sure 1
surprised 3
surprisingly 1
surveillance 4
suspected 3
suspicious 2
swollen 1
tackle 1
take 2
taken 1
takes 4
taking 2
talk 2
talks 2
tattoos 1
taxi 1
taylors 1
teenage 2
teenagers 1
teeth 2
tell 5
telling 1
tells 29
that 68
the 268
their 12
them 16
themselves 1
then 9
theorizes 1
there 21
they 51
theyd 2
theyre 5
thing 1
think 1
thinks 2
third 1
this 1
those 1
thought 1
threatens 1
throats 1
through 7
throw 1
tiger 7
tigers 3
tim 2
time 3
times 3
to 115
together 1
told 6
too 1
took 1
touch 1
towards 1
town 3
toy 1
trail 1
train 1
trainers 1
transform 1
travel 1
tree 1
tries 1
truck 3
try 1
trying 3
tunnel 3
tunnels 1
turned 1
tv 1
two 13
under 3
unexpected 1
unfold 1
unhealthy 1
unlocked 1
unsolved 1
until 1
up 7
us 2
use 1
used 1
valley 1
vampire 7
vampires 7
van 1
vegas 1
vehicle 1
vehicles 2
veterinarians 1
victim 1
victims 2
voice 2
voicemail 1
wait 2
waiting 4
waits 2
wakes 1
walked 1
wants 1
warning 1
warns 1
was 38
washington 4
watch 1
watched 1
watches 4
watching 2
way 3
wear 1
week 1
welcomes 1
went 2
were 17
west 1
westin 6
what 3
when 24
whenever 1
where 6
which 2
while 1
whispers 1
white 3
who 9
whole 2
whom 1
whose 1
wiatt 1
wild 1
will 4
william 14
with 29
without 3
woman 8
women 1
wonders 1
wont 1
word 1
work 3
worked 2
working 3
works 2
worthy 1
would 3
wounds 2
wrestles 1
year 1
years 2
yells 1
yet 2
young 3
younger 1
youre 1
zoos 1
