725991
/m/035_37
/m/035_37
Adam Smith
certain 4
chapter 10
charters 1
cheap 3
cheaper 1
check 2
chiefly 3
chiefs 1
child 2
children 1
circumstances 2
circumvented 1
cities 3
city 2
civil 1
civilised 2
civilization 1
claim 1
clamour 1
class 2
classical 1
coinage 1
coins 1
collective 1
collectively 3
collusions 1
colonial 1
colonies 12
colonisation 2
colonising 1
colonists 1
colony 4
combating 1
combination 2
combinations 3
combine 4
come 1
comes 1
command 2
commands 1
comment 2
commerce 5
commercial 1
commodities 10
commodities34 1
commodity 7
common 3
commonly 1
commonwealth 1
comparative 1
comparing 1
compensates 1
compensating 1
compete 2
competition 9
component 1
composed 1
comprise 1
concept 1
concerned 1
concludes 1
conclusion 1
condition 1
conducted 1
conflicting 1
confusions 2
conglomerations 1
consent 2
consequence 2
consequently 1
considerable 1
considered 8
consist 1
consisted 1
consists 2
constant 1
constantly 1
constituents 1
constitute 1
consumed 1
consumes 1
consumption 3
content 3
contented 1
context 1
continent 1
continuance 1
continue 1
continues 1
contrary 2
contrast 3
contrasting 1
contribute 1
contributed 1
contributes 1
control 1
convenience 1
conveniency 1
convenient 1
corporate 1
corrected 1
correlation 1
cost 1
costs 2
could 3
counted 1
countries 4
countries34 1
country 29
country34 2
country3s 1
countrymen 1
course 1
creates 1
credit 1
creditors 2
criticised 1
critique 2
crude 1
cultivated 1
curiously 1
dated 1
daughters 1
david 1
day 1
days 2
dealt 1
dear 1
dearer 1
death 1
debt 1
debtors 1
debts 5
decrease 1
defence 1
defined 1
defines 1
definition 3
definitions 1
defraudment 1
degree 1
demand 3
dependants 1
derive 2
derived 7
deriving 1
described 2
describes 2
deserted 1
desire 1
destined 1
determine 2
determined 1
dictated 1
did 2
differ 1
difference 1
different 7
differs 1
difficult 2
difficulties 1
diminished 1
direct 2
directed 2
directly 1
disadvantageous 1
disadvantageous34 1
disagrees 1
discouragement 2
discourages 1
discovers 1
discovery 3
discussion 1
dispose 2
disposed 1
dissipates 1
distant 1
distinct 2
distinguished 1
distrust 1
diversification 1
divided 4
divisible 1
division 12
do 4
doctrine 1
does 1
doing 1
domestic 3
domesticforeign 1
dominion 1
done 4
dorians 1
doubt 1
down 3
draw 2
drawbacks 2
draws 1
drives 1
driving 1
due 2
durable 1
during 2
duties 2
duty 3
dye 1
dyer 1
dyers 1
each 6
earliest 1
easily 2
east 1
echelon 2
economic 7
economics 1
economies 1
economists 4
economy 5
education 1
effect 2
effects 1
effectual 1
efficiency 1
egean 1
either 10
elected 1
else 1
emancipated 1
embedded 2
embellishes 1
emerging 1
empire 6
empire34 1
employed 3
employers 3
employment 4
employments 2
employs 1
enabled 1
enables 1
enabling 1
enacted 2
encompass 1
encouraged 1
encouragements 3
encroaching 2
end 1
endeavours 4
energy 1
england 7
engrossed 1
engrossing 1
enjoy 1
enjoyed 1
enjoying 1
enjoyments 1
enjoyments34 1
enlarge 1
enrich 1
entails 1
enter 1
entitled 1
entrepreneurial 1
entry 1
eolians 1
equal 1
equivalent 1
erosive 1
errors 1
especially 2
essentially 1
establish 1
establishing 1
establishment 1
establishment34 1
estates 1
europe 9
european 1
even 3
events 1
eventually 2
every 10
everywhere 2
evidently 2
evil 1
examine 2
example 1
examples 1
exceeds 3
excepting 1
excess 2
exchange 7
exchangeable 3
excise 1
excites 1
excluded 1
execution 2
exempt 1
exercised 1
exercises 1
exist 1
exists 1
expanded 1
expansion 1
expects 2
expedient 1
expenditure 1
expense 3
expenses 1
exportation 4
exported 2
exposed 1
expressions 1
extends 1
extensive 3
extent 1
extraordinary 2
extremely 1
fact 2
factor 1
failing 1
fall 10
far 2
farming 2
favour 3
favoured 4
favouring 1
felt 2
feudalism 1
few 6
fill 1
finally 1
find 2
finding 2
first 9
five 1
flock 1
flocked 1
flow 1
followed 1
follows 1
food 1
for 54
force 1
foreign 8
foreigners 1
form 2
former 3
forms 1
fortified 1
found 2
foundation 2
four 1
france 2
frauds 1
free 4
frequently 6
from 27
fulfill 1
full 1
furnishes 2
future 2
gain 2
gains 2
general 6
generally 3
generate 1
generations 2
german 1
get 1
gets 1
getting 1
give 3
gives 2
go 1
goes 5
gold 2
good 2
goods 14
government 11
governments 1
granted 4
grants 2
grasp 1
gratitude 1
great 16
greater 15
greatest 2
greatness 1
greece 3
greed 1
greeks 1
grossest 1
groups 2
grow 2
growth 2
guilds 1
habit 1
habitation 1
habits 1
had 7
hand34 2
harm 1
harshly 2
has 21
have 18
he 32
hear 1
heard 2
heavier 1
heaviest 1
hegemony 1
hence 2
high 6
higher 5
highest 2
highly 2
him 11
himself 5
hinder 1
hindered 2
his 14
hoard 1
home 3
home34 1
hope 1
hopes 1
house 1
houserents 1
houses 1
how 3
however 8
huge 1
human 3
humans 1
husbandry 1
idea 4
idle 1
if 7
ignorance 2
ignorant 1
ii 1
ii11 1
illustrates 2
imagine 1
imagines 1
immediate 3
immediately 1
impacts 1
importance 2
importation 4
imported 1
impose 1
imposed 2
impositions 1
improvement 2
improvements 1
in 120
inclined 1
include 1
including 1
inconsistencies 1
increase 6
increased 1
increases 1
increasing 1
incurred 1
indeed 5
independent 1
indicator 1
indies 2
individuals 1
indulgent 1
industrial 1
industries 1
industrious 1
industry 7
industry34 1
inefficiency 1
inequality 1
influence 1
influenced 1
ingenuity 1
inhabitants 8
inhabited 3
injustice 1
inland 1
innate 3
inputs 1
instruments 1
intellectually 1
inter 1
interest 15
interests 3
interests34 1
interference 1
international 2
interpret 1
interrupted 1
intervention 1
into 14
introduction 1
inversely 2
involvement 1
ionians 1
is 79
islands 1
it 53
italy 3
its 14
itself 3
journeymen 1
judiciary 1
jurisdiction 2
justice 1
justly 1
juxtaposing 1
keep 2
keeping 1
kept 1
kind 1
kinds 1
knowledge 1
labour 52
labourers 8
labouring 1
laid 1
land 14
land34 1
landlord 3
lands 3
large 2
larger 2
last 1
lasted 1
later 3
latter 2
latter34 1
law 2
laws 5
lead 1
leaders 1
learning 1
lease 1
least 3
leave 2
left 2
legislation 1
lender 1
length 1
lent 3
less 6
let 1
liberality 1
life 2
lifespan 1
likely 1
likewise 1
limited 4
line 1
linen 1
little 1
lived 1
loaned 1
long 5
longer 2
lord 2
loser 1
loss 1
low 1
lower 2
lowering 1
lowest 1
luxuries 2
made 3
magistrate 1
magistrates 1
magnificent 1
mainly 1
maintain 4
maintains 1
maintenance 3
major 1
make 1
makes 4
man 4
manipulate 2
mankind34 1
manner 1
manufacture 2
manufactured 2
manufacturer 1
manufacturers 5
manufactures 1
many 4
market 10
marriage 1
marx 1
master3s 1
masters 11
materials 2
maxim 1
maximum 2
may 8
means 4
meant 1
meantime 1
measure 2
mechanics 1
mediterranean 1
medium 1
members 1
men 1
menial 1
mentioned 1
mercantile 4
mercantilism 4
merchant 1
merchants 6
metal 2
metals 2
metaphor 2
midst 1
might 4
minor 1
model 1
modern 1
moment 1
money 12
monopoly 7
months 1
more 27
most 4
mother 3
motivates 1
motives 1
much 9
multiplied 1
must 5
mutual 1
named 1
nation 5
nations 13
nations34 1
natives 1
natural 4
naturally 6
nature 1
navigable 1
near 1
nearly 3
necessaries 1
necessarily 4
necessary 2
need 1
needs 2
negatively 1
neighbourhood 3
neighbours 2
neither 3
neoclassical 2
never 8
new 7
next 1
no 10
nominal 1
nor 3
normal 2
north 1
not 19
notes 2
nothing 2
nothing34 1
notion 1
now 1
object 1
obliged 1
occasion 6
occasionally 1
occasioned 1
occupations 1
occupiers 1
of 406
off 3
offsets 1
offshore 1
often 3
oligopolies 1
on 18
once 1
one 18
only 13
opinions 1
opportunities 2
opportunity 1
opposed 1
opposes 1
opposite 1
opposition 2
opulence 3
or 47
order 1
ordinary 2
organised 1
origin 1
original 2
originally 1
ornament 1
other 26
others 3
otherwise 3
our 5
ourselves 1
out 5
out34 1
outright 1
over 3
overran 1
owing 1
own 15
paid 2
paper 1
paraphrase 1
parcels 2
part 23
participate 1
particular 6
particularly 2
parts 5
passage 2
passages 2
past 1
pay 10
payments 1
pays 2
peace 1
people 13
perhaps 1
permit 1
person 1
personal 1
persons 2
petitioned 1
petitioning 1
place 4
plain 2
pleases 1
pleasure 1
plus 1
pockets 1
point 1
policy 1
political 4
politically 1
politicians 1
poor 5
population 1
portion 2
possess 1
possessed 2
possesses 2
possession 1
postulated 1
poverty 2
power 1
preceding 1
precious 1
preface 1
present 1
preserve 1
pretended 2
pretty 1
prevented 1
previous 1
price 16
prices 3
primarily 1
primogeniture 1
princes 1
principal 4
principle 2
principles 1
private 2
privilege 1
privileges 1
probably 1
problems 1
process 2
procure 1
prodigal 1
produce 11
produced 1
producers 2
produces 1
producing 1
product 4
production 8
productive 3
profit 9
profitability 2
profitable 1
profits 11
profound 1
progress 2
progressive 1
prohibits 1
propensity 1
proper 1
properly 1
property 1
proportion 5
proportion34 1
proportional 1
proportionality 1
proposes 1
proprietor 1
proprietors 3
prosperity 1
protectionist 1
provides 1
provinces 2
public 5
purchase 2
purchases 1
purely 1
purity 2
purpose 2
put 1
quantity 7
quest 1
raise 2
raises 1
rapidly 1
rapine 1
rarely 3
rate 5
rates 6
rather 2
real 5
really 3
reason 1
reasonable 1
recall 1
received 1
reciprocal 1
recognised 1
referenced 1
references 1
referred 1
referring 1
reflects 2
refocus 1
regular 2
regulating 1
relation 1
relative 3
remain 1
remaining 1
remarkably 1
remote 1
rendering 1
rent 10
repaid 1
repays 1
repeatedly 1
represent 1
represents 2
reproduce 1
reproducible 1
reproduction 1
republics 1
reserve 1
reserved 2
reserves 1
reserving 1
resistance 1
resolves 2
resorted 1
resources 2
respect 2
responded 1
responsible 1
restore 2
restored 1
restraints 4
restrictions 1
result 3
return 1
revenue 18
revenues 1
revolution 1
ricardo 5
rich 5
rigorous 1
rise 8
risk 1
risking 1
rivals 1
role 1
roman 6
rome 2
run 1
said 3
sake 1
sale 1
same 7
savage 1
save 1
say 1
says 1
scheme 1
science 1
scotland 3
scythian 1
sea 2
second 2
secondly 2
secrecy 1
secret 2
section 1
sectors 1
seed 1
seem 4
seems 1
sees 1
seldom 4
selfinterest 1
sell 2
sending 1
sent 1
servant 1
servants 1
serve 1
served 1
services 1
servile 2
set 1
sets 1
settled 2
settlement 1
settlement34 1
settlers 1
several 1
severely 1
severity 2
share 4
shares 1
she 2
short 1
shortage 1
should 3
show 2
shows 1
sicily 2
side 1
sides 2
silence 1
simultaneously 1
since 1
sink 1
small 4
smallest 1
smith 43
smith3s 4
so 14
societies 2
society 6
sole 2
some 15
somebody34 1
something 4
sometimes 6
somewhat 3
soon 1
sort 6
source 5
sources 1
sovereign 2
sparingly 1
speaks 1
special 1
specialisation 1
specifically 2
speculations 1
spend 1
spending 1
spent 2
stamp 1
stamping 1
standard 1
standing 1
state 8
stated 1
statement 1
states 3
stay 1
still 1
stimulates 1
stipulate 1
stock 22
subdivided34 1
subject 2
subjected 1
subjects 1
subordination 1
subsidies 1
subsistence 2
substances 1
succeed 1
success 1
succession 2
such 10
sufficient 3
sufficiently 1
summing 1
sunk 1
superior 1
supplies 2
supply 6
support 3
supports 1
supposed 1
surely 1
surplus 1
surround 1
surrounded 1
suspected 1
synthesis 1
system 7
systems 4
tacit 1
take 1
takes 4
taking 1
talents 1
tariffs 2
tax 3
taxation 3
taxes 3
tenant 4
tenants 1
tend 1
tendency 1
tenets 1
term 1
terms 1
territory 4
than 28
that 62
the 484
their 33
theirs 1
them 22
theme 1
themselves 2
then 3
theory 3
there 11
thereby 1
therefore 8
these 7
they 20
thing 4
things 2
thinking 1
thinks 1
thinly 1
third 1
this 47
those 29
though 8
thought 3
three 2
thus 5
till 2
time 6
times 2
title 4
to 158
together 2
toil 2
too 4
towards 1
town 5
towns 7
trade 6
trade3 1
trades 1
tradesman 1
tradesmen 1
transfers 1
transitory 1
transparency 1
treaties 2
treaty 2
tribes 1
trouble 2
trying 1
turn 1
turned 1
two 7
uncivilised 1
uncultivated 4
under 2
understanding 1
undertake 1
uniform 1
unions 1
unique 2
units 1
universal 1
unproductive 2
unreasonable 2
up 5
upon 16
use 6
used 3
useful 1
uses 4
usually 2
usurped 1
usury 1
utility 1
utmost 2
valuable 1
value 14
vanities 2
variables 1
variety 1
various 1
versus 1
very 10
vigorously 1
vile 1
villanage 1
violence 1
wage 1
waged 1
wages 25
wait 1
wall 1
want 1
wants 2
war 8
warlike 1
warns 2
was 14
waste 1
watercarriage 1
waterways 1
way 2
ways 1
we 7
wealth 5
weeks 1
weigh 1
well 1
were 10
west 1
western 2
what 14
whatever 3
whatsoever 1
when 12
where 4
whereas 2
whether 2
which 65
while 4
who 12
whoever 1
whole 4
whom 3
whose 1
widely 1
will 12
willing 1
win 1
wisdom 1
with 26
within 1
without 8
work 1
worker 1
workers 6
workmen 3
works 1
world 3
world34 1
worth 1
worthwhile 1
would 6
writer 1
writes 1
writings 1
wrote 4
years 4
yet 1
yield 1
