2525414
/m/07kxy6
/m/07kxy6
John Steinbeck
table 1
take 2
takes 1
talk 1
teacher 2
tear 1
tell 1
tells 1
than 1
thanksgiving 1
that 18
the 115
their 3
them 3
then 2
there 1
they 1
things 2
thinks 2
this 4
though 4
thought 1
thoughts 1
tiflin 3
time 6
times 1
tiresome 1
to 54
told 1
torment 1
torn 1
townsfolk 1
trace 1
trail 1
train 1
trained 1
training 1
treat 1
tries 2
trouble 1
true 1
turn 1
unable 1
until 2
unwilling 1
up 2
upon 1
useless 1
very 1
visit 1
visits 1
wagon 1
wakes 2
walks 1
wandered 1
wants 2
was 6
watch 1
way 1
weary 1
weather 1
weeks 1
well 4
wellkept 1
wet 1
what 1
when 3
where 1
which 1
while 2
who 5
why 3
widow 5
will 3
win 1
windpipe 2
winds 1
wishing 1
with 17
without 1
wonders 1
work 2
working 2
works 1
worries 2
worry 1
would 2
wrestles 1
wrong 1
