340909
/m/01y1kt
/m/01y1kt
Jack Kerouac
joins 1
july 1
just 3
kerouac 4
kicks 3
kid 1
king 1
knew 1
know 1
knows 1
lack 1
laid 1
lands 1
landscape 1
laredo 1
largely 1
last 1
latenight 1
later 3
laura 5
leads 1
learn 1
leave 4
leaves 5
leaving 1
lee 3
left 2
lessons 1
life 5
lift 1
line 2
listen 1
listening 1
little 2
live 2
lives 1
living 1
local 1
lonesome 1
long 3
los 1
loss 1
lot 1
louis 1
love 2
luanne 1
lucien 1
maana 1
macarthur 1
made 1
magnificent 1
main 1
major 1
make 2
makes 1
mambo 1
manhattan 1
many 1
market 1
marks 1
marry 1
marx 2
marylou 9
maverick 1
may 1
me 3
meaning 2
meet 4
meets 6
men 1
merchant 1
metropolitan 1
mexican 1
mexico 5
miles 2
missing 1
moment 2
money 5
more 5
moriarty 7
morphineaddicted 1
most 1
move 3
moves 1
moving 1
much 2
musicians 1
mutual 1
name 2
narrative 1
narrator 1
nature 3
neal 2
needs 1
never 1
new 17
newborn 1
night 4
nightclub 1
nightclubs 1
no 1
none 1
not 5
note 1
notices 1
novel 3
now 1
obligations 1
obtained 1
of 43
off 6
often 2
oh 1
old 3
older 1
on 17
once 1
only 2
open 1
opera 1
opposed 1
orleans 2
ornithology 1
other 3
out 6
over 3
owner 1
painful 1
papers 1
paradise 2
parker 1
parking 1
part 1
partiesnbsp 1
parts 1
party 3
partying 1
passing 1
past 1
paterson 1
paths 1
pearl 1
people 1
per 1
period 2
person 1
phase 1
philosophical 1
pier 1
pippin 1
place 1
plan 2
planning 1
plans 3
pleasuresnbsp 1
plot 1
pocket 1
police 1
practicality 1
pregnant 2
problems 1
prompts 1
propositions 1
prostitutes 1
proust 1
published 1
purpose 2
pursuit 1
put 1
rat 1
reaching 1
readily 1
ready 1
realises 1
reality 1
realize 1
realized 1
realizes 4
reallife 1
reappear 1
rebirth 1
received 1
receiving 1
recently 1
recognizes 1
recovery 1
reduced 1
reflects 2
regard 1
relationship 1
relatives 1
relocate 1
remi 4
reminds 1
replies 1
request 1
response 1
returned 1
returns 3
rickety 1
ricky 1
ride 1
rift 1
rightnbsp 1
river 1
road 6
roads 1
roland 1
role 1
rollo 1
roman 1
romanticized 1
row 1
roy 1
s 1
sabinal 1
sacramento 1
sailors 1
sal 49
sals 4
salvatore 1
same 2
san 9
saybrook 1
saying 1
says 1
second 2
secret 1
section 4
sedan 1
see 3
seeing 1
seen 1
sees 1
selfishness 2
sense 2
set 1
sets 1
settled 1
several 2
share 1
shattered 1
she 3
shephard 2
ship 1
short 1
shows 4
sick 1
simple 1
sits 1
situations 1
skid 1
sky 1
sleeping 1
slim 1
snark 1
some 3
somewhere 3
soon 2
sour 1
specific 1
speeding 1
spend 1
spent 1
spirit 1
spring 2
square 1
st 1
stan 2
standing 1
state 1
states 1
stay 5
street 4
stretch 1
stringham 1
sums 1
sunk 1
support 1
take 2
takes 4
taking 4
teaches 1
tells 2
temko 1
terry 4
testament 1
texas 1
text 1
than 1
that 17
the 87
their 8
them 7
themes 1
then 2
there 4
they 18
thing 1
things 1
think 3
thinking 1
this 12
though 1
three 2
throws 1
thumb 1
time 3
times 2
to 83
together 2
tom 2
tomorrow 1
tomson 2
torn 1
town 1
travel 4
traveling 1
travelled 1
travels 1
treats 1
tremendous 1
tremendously 1
tricks 1
tries 1
trip 3
trips 1
true 1
trying 1
turned 1
two 6
type 1
uhl 1
unconscious 1
uncontainable 1
under 1
underage 1
understand 1
unfolds 1
unfulfilled 1
unhappy 1
unknown 1
up 3
us 1
va 1
victor 2
visions 2
visit 1
vollmer 1
waiting 1
walk 1
walks 1
wall 1
wants 1
was 4
washington 1
watchman 1
way 4
we 2
weeks 1
were 1
what 2
when 8
where 9
which 1
while 4
who 7
wife 3
will 3
william 1
willing 1
with 15
without 1
wives 1
woes 1
wonders 1
work 1
working 2
works 1
worn 1
would 2
writer 1
writes 2
yearns 1
years 1
yellow 1
york 11
you 3
your 1
yourself 1
