2907127
/m/08bs5n
/m/08bs5n
John Varley
intended 1
intends 1
intent 1
into 11
invader 3
invaders 12
is 44
it 13
javelin 5
job 1
journey 1
jupiter 5
just 2
killed 1
killers 1
knowledge 3
known 2
large 3
later 1
laws 2
learns 2
least 1
left 3
legal 1
life 2
lifeforms 1
lightyear 1
like 3
lilo 25
liloes 1
limbs 1
live 1
living 2
location 1
long 1
look 1
looking 1
looks 1
lot 1
lovers 1
luna 4
lunarians 1
machine 1
made 1
maintain 1
make 1
makeup 1
male 1
manipulate 3
matter 1
mature 1
means 1
meet 2
memories 3
memory 1
mere 1
messages 1
mind 1
miniature 1
misses 1
mission 3
money 1
more 2
most 1
moved 1
much 2
name 1
necessary 1
need 2
never 1
new 3
news 1
next 1
no 3
nobody 1
not 2
nullfield 4
object 1
occasionally 1
of 40
offering 1
offers 1
on 17
one 8
only 3
opens 1
operation 1
ophiuchi 1
or 4
orbit 4
original 1
originally 1
other 5
out 8
over 1
overpowers 1
own 3
pair 1
paper 1
parametersolstice 2
part 2
pass 1
passed 1
past 1
payment 1
people 3
periodically 1
person 1
piece 2
place 2
plan 3
planets 2
plans 1
plant 1
pluto 3
point 1
politician 1
pool 1
population 1
power 3
powerful 1
preparing 1
present 1
previous 1
price 1
prison 1
prisoners 1
probably 1
probes 1
prospectors 1
protect 1
protected 1
protests 1
providing 1
purposes 1
quickly 1
ram 1
rapidly 1
rarity 1
reach 1
reached 1
realize 2
rebel 1
received 1
receiving 1
records 1
recreational 1
recruited 1
regressing 1
remnants 1
remove 1
rescue 1
resolves 1
rest 1
restoration 1
result 1
resultant 1
return 1
revived 1
revives 1
right 1
rings 1
saturn 1
scenes 1
scheme 1
schemes 1
sea 1
seas 1
see 1
seek 2
seem 1
sees 1
send 1
sending 1
sense 1
sent 3
serves 1
set 2
sex 1
sexless 1
shanghaied 1
she 29
shedding 1
ship 4
ships 1
shorter 1
should 1
show 2
sign 1
silver 1
simple 2
since 2
singularity 3
sits 1
situation 1
skin 1
sky 1
sleep 1
small 1
so 2
society 1
solar 5
some 4
something 2
sometimes 1
somewhere 1
soon 1
sound 1
source 2
space 2
spaceborne 1
spacetime 1
spoken 1
stars 2
stolen 3
story 4
strike 1
strong 1
such 2
suddenly 1
suicide 1
suit 3
supply 1
sure 2
surface 1
surrounding 1
survive 2
symbs 1
system 7
systems 1
take 5
taken 2
takes 1
tank 2
teacher 1
teaching 1
technological 1
technology 3
than 2
that 11
the 128
their 7
them 5
themselves 2
then 1
there 3
these 1
they 17
third 1
this 10
those 2
thought 2
threat 1
threats 1
through 1
throw 1
thrust 1
thus 1
time 8
tissues 1
to 52
told 2
tool 1
torso 1
tossed 1
tow 1
traces 1
trained 1
tree 1
tribes 1
trip 1
turning 1
tweed 14
twice 1
two 2
under 1
underline 1
unfortunately 2
usa 1
use 2
used 2
using 1
vacuum 1
vaffa 4
vaffas 2
various 2
versa 1
vice 1
violating 1
visible 1
visited 1
wants 1
was 5
way 1
weakness 1
went 1
were 2
whale 1
whalelike 1
whales 1
what 2
when 3
where 1
whether 2
which 4
whichever 1
who 5
whoever 1
whom 1
wider 1
wilderness 1
will 5
with 12
without 1
woman 1
work 1
workers 1
worlds 1
would 1
years 7
yet 1
yourself 1
