4534918
/m/0c7mgd
/m/0c7mgd
Laurie Lee
mends 1
merchants 1
messages 1
met 2
mile 2
miss 1
mittenlesshands 1
money 1
more 3
morning 2
mornings 1
mother 11
motor 1
motorbikes 1
murder 2
mute 1
names 1
ne 1
need 1
neighbours 1
neither 2
never 3
new 1
next 1
night 1
no 1
nor 1
of 26
off 2
old 4
older 1
on 16
one 6
only 1
or 3
order 2
other 1
out 5
outdoors 1
outing 1
outings 1
outside 1
over 2
owing 2
own 1
pacific 1
painswick 1
pangs 1
parallel 1
parishioners 1
parochial 1
particularly 1
path 1
paths 1
pay 1
peace 1
penny 1
people 2
percyfrompainswick 1
perfumed 1
perhaps 1
permanently 1
piano 1
pier 1
placing 1
plan 1
plants 1
playing 1
plays 1
plough 1
poetry 1
police 1
predilection 1
private 1
procession 1
pub 2
public 1
pubs 1
pump 1
quickly 1
quiet 1
ragged 1
rags 1
railway 1
rap 1
rape 1
rather 1
raucous 1
ray 2
reading 1
reason 1
recognise 1
recounts 1
reference 1
refined 1
reins 1
relies 1
religious 1
replaced 1
returns 1
revived 1
riotously 1
roads 1
rockies 1
rosie 2
routine 1
run 1
rural 1
saying 1
says 3
school 2
schoolhouse 1
schoolteacher 1
scullery 1
seasons 1
seduce 1
seduced 1
seeks 2
service 2
set 1
settle 1
settled 1
sewing 1
sharp 1
she 7
sheepscombe 2
shop 1
shops 1
sick 1
sid 1
sidestreets 1
silence 1
singing 1
sister 1
sisters 1
sits 1
sixteenyearold 1
slad 1
slaps 1
sleep 1
sleeping 2
slowly 1
sludge 1
small 2
snow 1
so 1
soft 1
soldier 1
some 3
sometimes 1
son 1
soon 2
spadge 1
speeches 1
spends 2
spent 1
squire 3
starts 1
states 2
sticks 1
still 2
stirrings 1
stop 1
storm 1
strict 1
stronger 1
stroud 1
stuffed 1
suddenly 1
suffers 1
summer 1
summers 1
sunbathe 1
sunday 1
surrounding 2
sweethearts 1
table 1
taken 2
tamworth 1
tea 1
teacher 1
than 1
that 6
the 125
their 15
them 6
thematic 1
themselves 3
then 3
there 4
they 7
this 4
three 1
through 1
time 5
to 42
together 1
tom 1
tongue 1
tony 1
top 1
tramp 1
transcontinental 1
trees 1
trestletables 1
tribute 1
tries 1
trill 3
try 1
trying 1
turning 1
twice 1
two 4
uncle 3
uncles 1
underneath 1
unexpectedly 1
uniform 2
up 5
upon 1
upped 1
use 1
uses 1
valley 1
various 2
very 1
village 8
villager 1
villagers 2
visit 2
visited 1
visits 1
vivid 1
wagon 1
wainscot 1
wait 1
wall 1
wallon 3
war 3
wardley 1
warm 1
was 2
water 1
way 3
wealth 1
week 1
welling 1
went 2
were 1
westonsupermare 1
when 4
where 2
which 4
whilst 1
whistleorollerorweshallnotfoller 1
who 14
whole 1
widower 1
will 1
wines 1
winter 2
with 16
women 3
wood 2
wooden 1
woodfire 1
woods 2
woodsman 1
wore 1
work 2
working 4
world 1
writes 2
year 3
years 1
young 6
younger 3
youths 1
zealander 1
