6350429
/m/0g24vv
/m/0g24vv
Tamora Pierce
receiving 1
reciprocates 1
reconnects 1
recovers 1
recreation 1
refer 1
refers 1
reforged 1
reforging 1
refusal 1
refused 1
refuses 1
rejects 1
relationship 5
relationships 1
reluctance 1
reluctant 2
remain 3
remains 2
renders 1
renown 1
reopen 1
repeatedly 1
representation 1
represented 1
represents 1
resembling 1
respective 1
responds 1
restored 1
resulting 3
return 4
reveals 1
revenue 1
ribbons 1
ride 1
right 1
ring 1
rival 1
rizu 8
rizuka 1
romance 1
romantic 3
rosethorn 1
roth 1
rump 1
rush 1
safe 1
salary 1
salts 1
same 2
sandrilene 1
sandry 28
save 1
scar 1
scene 1
screen 1
scry 1
seamstress 1
secret 2
see 1
send 2
sends 1
sense 1
senses 1
separated 1
serve 1
set 1
sexual 1
sexually 1
shan 2
shatter 1
she 27
shieldsman 1
short 1
shortly 1
showing 1
shown 2
shows 1
siblings 2
sign 1
since 2
sisters 1
sleeping 1
sleeps 1
small 1
smelling 1
socalled 1
society 1
some 2
spell 1
spells 3
spirits 1
stairs 1
stands 1
start 1
sterile 1
stop 2
strained 1
stress 1
strong 1
struggle 1
subplot 1
succeed 1
suitor 1
summersea 2
takes 1
taking 1
taxes 1
teacher 1
teachers 1
telepathic 2
telepathically 3
tells 1
temporarily 1
tends 1
than 1
that 18
the 98
their 25
them 11
themselves 1
then 4
there 1
these 1
they 14
this 2
though 2
thread 6
threads 1
threatening 1
throughout 1
thus 1
tied 1
time 2
times 1
title 1
to 80
together 3
toren 1
trade 1
trapped 1
travel 3
traveling 2
travelling 1
travels 1
treatment 1
tris 15
trisana 1
tunnel 1
twice 1
two 1
unacknowledged 1
uncle 4
unlikely 1
unlimited 1
unravel 1
unspecified 1
until 4
up 4
upbringing 1
use 2
used 3
uses 3
using 1
usually 1
vast 1
vedris 1
violence 1
visit 4
visiting 1
visits 1
vivid 1
wake 2
wakes 1
wall 1
want 1
wanted 1
wants 1
war 3
wardrobe 1
warmage 1
weak 1
wealthier 1
wear 1
wedding 2
well 1
were 1
western 1
what 1
when 17
which 3
while 11
who 7
whose 2
will 1
wind 1
winding 1
with 24
withholds 1
within 1
without 1
woman 1
women 2
working 1
world 1
worldtraveling 1
would 1
yanjing 1
year 1
yearly 1
years 2
young 1
