386988
/m/022bb8
/m/022bb8
Troy Denning
ka 1
kill 2
killed 1
killing 2
knights 1
know 1
kore 1
krefey 1
lah 1
landed 1
large 1
lasted 1
later 1
lead 2
leaders 1
leading 1
learned 1
leaving 1
led 1
left 3
legendary 1
legions 1
leia 4
levels 1
like 1
lives 1
location 2
lomi 3
loss 1
lower 1
luke 5
made 3
mainly 1
manage 1
managed 1
many 5
mara 1
master 1
means 1
meanwhile 2
met 1
might 1
military 1
millennium 1
millions 1
mine 1
mines 1
mission 5
modified 1
mother 1
mourn 1
mourning 1
myrkr 4
mysterious 1
native 1
navy 2
needed 1
new 10
nightsister 1
no 2
nom 1
not 6
noting 1
numbered 1
oborin 1
of 52
off 4
offer 1
old 1
on 8
once 2
one 4
only 1
operated 1
or 1
orbit 1
orbital 2
orbiting 1
order 3
ordered 2
organa 2
original 4
other 1
others 2
out 4
over 1
overall 2
palace 3
part 1
period 1
piloted 1
plan 1
planet 1
planted 1
plasma 1
platforms 1
plentiful 1
plo 3
portion 1
posed 1
positions 1
predicted 1
prepares 1
present 1
prevent 1
primordial 1
prior 1
prisoners 1
progressed 1
provide 1
queen 3
quite 1
rakamat 1
ran 1
rar 1
raynar 1
realized 1
refugee 6
refugees 1
refused 1
rejected 1
released 1
reluctantly 1
renamed 1
repeatedly 1
republic 10
rescue 1
rescuing 1
resistance 1
response 1
rest 1
result 3
resulted 1
retrieve 1
retrieved 1
right 2
rightly 1
romm 1
rose 2
ruthlessness 1
said 1
samples 1
saw 1
second 1
secret 1
sectors 1
senate 1
senators 1
send 1
sending 1
session 1
several 3
severely 1
shadow 1
she 3
shield 1
shieldgenerators 1
shieldgrids 1
shields 1
ships 6
should 1
show 1
showed 1
side 1
sides 1
sien 1
signs 1
skyline 1
skywalker 6
slaughtering 1
smashed 1
smoothly 1
solely 1
solo 9
some 3
somewhat 1
soon 4
sorrow 1
sovv 3
space 1
spacecraft 1
specialized 1
specifically 1
split 1
spots 1
squadrons 1
staging 1
state 5
stolen 1
stop 1
stranded 1
strategy 1
strike 2
strong 1
successfully 1
such 3
suffering 1
support 1
supreme 1
surface 3
surrender 1
surrounding 1
swarms 1
tactic 1
tahiri 1
take 1
taking 2
targeted 1
tasked 1
team 2
tendencies 1
tenel 1
tens 1
tensions 1
terraformed 1
terrible 1
territory 1
that 16
the 132
their 11
them 6
themselves 1
then 2
there 4
these 2
they 9
things 1
think 1
third 1
this 7
those 1
thought 1
thousands 2
threat 1
three 2
through 2
thul 1
thwarted 1
time 2
to 41
too 3
towers 1
traest 1
tried 1
triggered 1
troops 1
tsavong 1
tsikseru 1
turned 1
two 1
ulaha 1
ultimately 1
uncle 1
under 2
unleash 1
unwilling 1
up 1
use 1
used 2
utter 1
valuable 2
veila 1
vergere 2
vessels 2
via 1
victims 1
violently 1
volunteered 1
volunteers 1
von 1
vong 28
voxyn 13
waiting 1
walkers 1
want 1
wanted 1
war 1
warfleet 1
warriors 3
was 15
wave 2
way 3
weaken 1
weary 1
wedge 1
week 1
welk 3
well 1
went 1
were 11
what 1
when 4
which 3
while 4
who 5
whole 1
whom 1
will 3
with 10
within 2
won 2
worked 1
world 2
worldship 4
worsening 1
worst 1
would 2
wounded 1
yammosks 1
yoriktrema 1
yorikvec 2
yuuzhan 25
yuuzhantar 1
yvh 1
zekk 2
zqar 1
