6120391
/m/0fr4p8
/m/0fr4p8
Steven Barnes
earth 3
earthborn 13
eat 4
eaten 2
eating 1
effects 2
elders 1
eliminated 1
embryos 1
encountered 1
enhancing 1
enough 2
entering 1
erratically 1
essential 1
established 1
establishes 1
evacuated 2
even 2
events 1
everything 1
evidence 1
evolving 1
exchange 1
exclusion 1
exhibiting 1
existing 1
explosive 1
extermination 1
extinction 1
families 1
family 3
familybuilding 1
fashion 1
fatal 1
father 1
feebleminded 1
feel 1
fellow 2
finds 2
fire 1
first 3
five 1
flooded 2
for 12
fortunate 1
fresh 1
from 4
further 4
generated 1
generation 1
generations 2
geniuses 1
gives 1
glorious 1
goals 1
gone 1
gravelywounded 1
grendel 12
grendels 22
group 1
groups 1
grown 1
guilty 1
had 1
happen 1
has 8
have 6
he 10
heat 1
heightened 1
helps 1
heorot 1
her 1
hero 1
hibernation 1
hides 1
him 3
himself 2
his 11
hit 2
hives 1
holds 1
honey 1
hopes 1
horde 1
horrifying 1
horses 1
host 1
however 1
human 2
humans 1
humiliated 1
hundreds 3
hunt 4
if 1
ignites 1
impaired 1
in 18
increases 1
inexplicable 1
infection 1
infestation 2
insane 1
insects 1
inside 1
instead 4
instinct 1
intelligence 2
intelligent 3
into 3
investigate 1
investigating 1
is 29
island 3
it 10
its 2
journey 2
just 1
kill 4
killed 2
killing 2
kingdom 1
knocking 1
knowledge 1
lacking 1
ladders 1
land 1
large 1
larvae 1
later 3
leader 2
learn 1
least 1
leave 1
led 1
left 1
less 1
lethal 1
levels 1
life 2
lifeform 1
lifeforms 1
like 5
long 2
lost 2
made 3
mainland 11
make 1
man 1
manure 1
many 1
may 3
meet 1
megalomania 1
mental 1
mentally 1
might 1
mindlessly 1
minds 1
missions 1
momentary 1
monster 1
months 1
more 4
mortal 1
most 2
mountaintop 1
much 2
must 1
naked 1
namesake 1
nearly 2
necessary 1
need 1
neither 1
nests 1
never 2
no 2
not 10
nothing 1
now 2
numerous 1
nutrition 1
obey 1
objections 1
obliged 1
occurs 1
of 45
off 2
offspring 2
old 1
on 15
once 2
one 10
only 6
open 1
opens 1
optimal 1
or 2
origin 1
original 1
other 4
out 1
over 2
overcome 1
own 3
packs 1
parallel 1
parasite 2
parents 1
particular 1
patience 1
peace 1
people 1
perhaps 1
period 1
periods 1
permit 1
permits 2
perspective 1
physical 2
pile 1
place 1
planet 1
pldzieci 1
pollinater 1
populations 1
possibility 1
potential 1
power 1
powers 1
preach 1
predator 1
predictable 1
prevent 2
preys 1
produce 1
prone 1
protect 1
protected 1
protecting 1
psychology 1
pulled 1
purpose 1
quest 2
question 1
rainstorm 1
raised 1
rallies 1
rather 3
reach 1
react 1
realize 1
rebellion 1
rebellious 1
reflecting 1
refuses 1
remaining 1
remains 2
reproducing 1
reshape 1
resist 1
resists 1
rest 1
result 1
resume 1
return 4
returns 1
reveals 1
rodragonii 1
role 1
ruins 2
safety 1
samlon 2
sand 1
say 1
scale 1
scavenge 1
scavengers 1
sea 1
second 1
see 1
seem 1
seems 4
seen 2
selected 1
senior 1
serve 1
setting 1
shade 1
shaken 1
shangrila 7
she 1
shortsightedness 1
shot 1
shows 2
similar 2
sire 1
six 1
skull 1
sky 1
small 2
snow 1
snowstorm 2
snowy 1
so 3
soaked 1
solid 1
some 2
soon 1
source 1
spares 1
species 2
spreading 1
star 1
starborn 20
starving 1
still 4
stockyard 1
stop 1
stopping 1
stores 1
storm 5
storms 1
story 2
stows 1
strain 1
strength 1
stripping 1
strong 1
strongly 1
study 3
stumbles 1
sturdy 1
such 2
suffered 1
sunspot 1
supercharge 1
supercharger 5
supercharging 1
survive 3
survives 2
symbiote 1
symbiotic 1
take 1
takes 2
taking 1
taste 1
tau 1
team 1
teenage 1
temperatureinduced 1
ten 1
tension 1
than 4
that 9
the 143
their 15
them 6
themselves 1
there 5
these 1
they 15
things 1
this 10
those 1
threat 2
through 1
ties 2
time 1
to 60
town 5
tragon 12
traits 1
trapped 1
tribunal 2
tried 1
tries 1
trip 1
trips 3
trust 1
two 4
types 1
tyranny 1
uncontrollably 1
understood 1
unforeseen 1
unknown 1
unshakable 1
until 3
us 1
use 3
used 1
uses 1
value 1
varied 1
varying 1
vengeance 1
visit 1
walls 1
wanders 1
war 1
warms 1
warning 1
wars 1
was 4
waste 1
wayland 1
ways 1
weather 1
welcomes 1
well 1
were 6
weyland 1
what 4
whatever 1
when 5
where 1
which 9
while 1
who 2
whole 1
why 1
will 7
willing 1
windstorm 1
with 14
withdrawn 1
without 2
wombs 2
worse 1
worshipping 1
wrapped 2
years 2
yellow 3
yet 1
zealous 1
