14738951
/m/03gw5k7
/m/03gw5k7
Laurence Yep
turn 1
turns 1
two 1
unable 2
unaware 1
undertaken 1
unicorn 1
unknown 1
unsuccessful 1
up 6
use 1
used 2
using 2
various 1
vault 1
visions 1
vows 2
warnings 2
was 6
wasteland 2
water 2
waterfall 1
waterproof 1
way 1
wearing 1
weeping 1
were 2
what 4
when 5
where 2
which 18
while 6
whirlpool 2
white 3
who 13
whole 1
whose 1
wife 1
will 1
wine 1
with 13
within 4
wizard 1
woman 7
womans 1
work 3
working 2
world 1
worsening 1
worthy 1
would 1
