21257320
/m/05b_mgz
/m/05b_mgz
Chris D'Lacey
neighbor 1
neutralize 1
new 4
news 1
next 1
night 1
nightmare 1
no 1
not 4
noticing 1
now 1
obsidian 3
occur 1
of 33
offers 1
old 2
on 9
one 9
online 1
only 2
onto 1
open 2
order 1
other 3
out 3
outside 1
over 2
overpowers 1
own 1
part 2
peace 1
pecial 1
pennykettle 2
pennykettles 1
people 2
permanent 1
petrified 1
phone 1
pictures 1
pieter 1
place 2
places 1
plan 2
planned 2
planning 1
poisons 1
portal 2
possesses 3
post 1
power 2
powerful 1
preparing 1
present 1
presumably 1
proceeds 1
purifying 1
puts 1
puzzled 1
rachel 2
rather 1
ravens 1
reading 1
reads 2
real 1
realizing 2
reanimate 1
reanimated 1
reanimates 1
reassures 1
rebuild 1
rebuilt 1
receives 2
receiving 1
redhaired 2
reflect 1
refuses 2
releases 1
remaining 3
remains 2
renew 1
requires 1
rescued 1
restores 1
return 3
returns 1
reunited 1
revealed 1
revealing 1
right 2
rise 1
run 1
rupert 2
sacrifice 2
sacrificing 1
sanctuary 1
save 1
saw 1
scales 1
scuffenbury 12
secrets 1
see 1
seeking 2
seems 1
seen 1
sees 1
selfreplicate 1
semidarkling 5
semidarklings 2
sends 4
sense 1
sent 1
she 21
shed 1
shocked 1
shop 1
showing 1
sibyl 3
sight 1
signal 1
sings 1
sister 1
site 2
sleep 1
so 2
some 2
sometimes 1
soon 1
sophie 5
species 1
spell 1
spirit 3
stasis 3
steiner 2
still 1
stirs 1
stones 1
stop 1
story 1
stroke 1
struggle 1
suddenly 1
suffered 1
suggestion 1
suggests 3
summoning 1
summons 1
supervision 1
surviving 2
sybil 1
taken 2
takes 1
taking 2
talisman 1
talks 1
tam 12
task 1
tear 5
tears 6
television 1
telling 1
tells 5
tends 1
teramelle 3
than 1
that 28
the 147
their 5
them 4
then 13
there 4
they 5
things 1
thinks 1
this 2
threat 3
through 2
to 79
together 1
tongue 1
tor 3
touch 1
touched 1
touches 1
towards 1
town 1
transferred 1
translate 1
translations 1
transmute 1
transmuted 1
transported 1
transports 1
trap 1
trapped 1
traps 1
travel 4
traveling 2
tries 2
truly 1
try 3
trying 2
tunnel 1
tunnels 1
turned 1
turning 1
turns 1
tusk 2
tv 1
twelfth 1
twelve 1
two 2
under 2
underground 1
underline 1
unharmed 1
unicorn 6
until 1
up 1
upstairs 1
use 4
used 1
uses 3
valley 1
visit 3
visited 1
wake 3
wakes 1
waking 1
warn 1
warning 1
warns 2
was 6
watch 1
way 3
wayward 3
wearle 3
went 1
what 1
when 5
where 1
which 15
while 5
who 16
why 1
wildlife 1
will 13
wing 1
wings 2
wish 1
wishes 1
with 25
woman 1
word 2
world 2
wound 1
writing 2
zanna 18
