24172425
/m/07kd5gj
/m/07kd5gj
Terry Brooks
instead 1
interest 2
interpret 1
intervened 1
into 1
investigate 1
invoke 1
it 11
itself 1
jefferson 1
joined 1
king 2
knew 1
known 1
lake 1
land 1
landover 8
language 1
laphroig 10
large 1
largest 1
last 3
latter 1
law 1
learn 1
learned 2
leave 1
libiris 13
library 3
life 1
light 1
lived 1
locate 1
located 1
location 1
looking 1
lord 1
made 3
magic 4
magician 1
managed 1
marked 1
marriage 1
marry 1
masterson 1
materials 1
meanwhile 1
members 1
men 2
menatarms 1
met 1
might 1
miles 1
missing 1
mistaya 3
misty 44
more 3
most 1
much 2
mud 1
mysterious 1
mysteriously 3
name 1
national 1
necessary 1
need 1
neglect 1
new 1
next 1
nightshade 1
no 2
nor 3
normally 1
not 7
nurse 1
occurred 1
of 40
off 1
offered 2
office 2
old 1
on 4
once 2
only 4
or 2
ordinary 1
organising 1
organize 1
organized 1
other 5
others 1
out 2
outdoors 1
over 1
own 1
packings 1
pain 1
parents 1
park 2
part 1
partner 1
passable 1
passed 1
peasant 1
person 1
personally 1
persuade 1
pinch 4
place 6
places 2
plan 2
play 1
pleasant 1
pleases 1
poggwydd 2
point 2
portal 1
preparatory 1
presented 2
pretended 1
previous 1
princess 1
principal 1
prisoners 1
private 1
problem 1
process 1
proddings 1
program 1
project 3
prologue 1
promised 1
promising 1
proper 1
proposal 1
proposed 1
protest 1
puppy 1
pushed 1
questor 8
quickly 1
ran 1
ranting 1
reached 1
reading 1
ready 1
real 2
realised 2
realising 1
reason 1
reasonable 1
rebelled 1
recounting 1
recovered 1
red 2
refused 4
remained 1
reminder 1
remove 1
reopening 1
repeat 1
repeatedly 1
repulsed 1
rescued 1
resulted 1
resuming 1
retaliation 1
return 3
returned 1
revealed 1
rhonda 2
rhyndweir 2
ritualistic 1
river 1
royal 2
rufus 1
same 2
scarring 2
school 7
seal 1
second 1
secret 1
security 2
sedated 1
seemed 2
send 1
sent 2
sentient 1
set 1
she 18
short 1
should 1
shut 1
side 1
sign 1
silver 6
similarities 1
sister 1
situation 1
snots 1
so 1
some 3
somehow 1
something 4
soon 1
spell 1
spies 2
sprung 1
staff 1
stalled 1
started 1
startling 1
stay 3
sterling 6
sticking 1
still 2
stone 1
story 1
strabo 6
strange 3
stuck 1
student 2
students 1
study 2
stunned 1
stunning 1
subjects 2
subtle 1
succeeding 1
suffering 1
suggested 1
supposed 1
sure 1
suspended 1
tacit 1
take 2
taken 2
taking 1
talk 1
tax 1
temporary 1
terrify 1
than 3
that 7
the 101
them 1
themselves 1
then 1
there 2
thews 1
they 3
think 1
thinking 1
third 2
thom 7
though 2
thought 2
threat 1
three 1
through 3
thrown 1
tiedup 1
time 3
to 76
together 2
too 2
took 1
trapped 1
travelling 1
tree 1
tried 1
trying 2
turned 3
two 3
type 1
unapproved 1
understand 1
unexpectedly 1
unfortunately 2
unknown 1
unsuccessfully 1
until 1
up 5
uproar 1
used 1
using 1
very 1
via 1
visit 3
visits 1
waiting 1
was 35
washington 1
watch 1
watching 1
waynesboro 1
wedding 1
were 4
werent 1
what 2
when 8
where 2
which 4
while 2
who 7
whom 1
wise 1
witch 1
with 16
withheld 1
within 1
women 1
woo 1
woodland 2
work 1
worthwhile 1
would 6
year 1
years 1
zoo 2
