5611141
/m/0dw6dn
/m/0dw6dn
Alison Croggon
fear 1
feats 1
feels 1
ferocious 1
festival 1
fighting 1
find 3
finds 1
fingers 1
first 2
fleeing 1
flees 1
flutelike 1
for 7
form 2
former 1
forms 1
fortress 1
friend 1
friendship 1
frighten 1
from 7
frost 1
frostbite 1
fury 1
gahal 1
gent 2
giantlike 1
gima 1
girl 1
given 2
gives 1
go 2
goatherd 1
gradually 1
grandfather 1
greecelike 1
guest 1
guests 1
guides 2
had 3
hadaruk 1
half 2
halves 1
hand 1
harmony 1
harsher 1
has 9
have 2
having 4
he 9
heals 1
health 1
hears 1
help 1
hem 1
her 44
here 1
hers 1
herself 4
high 1
him 7
his 6
holds 1
home 4
homosexual 1
honored 1
horrified 1
horses 2
host 1
hound 1
however 1
huge 1
hull 1
human 2
humanity 1
humans 1
hunters 1
identity 1
if 1
ilar 1
illusions 1
illusory 1
imi 2
implies 1
improve 1
in 26
increase 1
increasing 1
indication 1
inherited 1
initially 1
injuries 2
inka 1
inkareb 4
innail 1
insecurity 1
insensate 1
insidious 1
instead 1
instrument 1
intending 1
interior 1
intervenes 1
into 6
inuitlike 1
involves 1
iridugul 1
iriduguls 1
is 19
island 3
islands 1
it 9
its 1
join 1
joins 1
journey 1
jussack 1
jussacks 2
key 1
kill 1
killed 1
kills 2
kindred 2
king 2
kingdoms 1
know 1
labour 1
lament 1
land 1
later 4
learn 1
learned 1
learning 1
leave 3
leaves 3
leaving 1
left 1
less 1
liar 1
library 1
lie 1
lies 1
life 2
lifestyle 1
lifethreatening 1
light 5
like 1
lion 1
lirigon 2
literally 1
live 1
lives 2
long 1
longer 1
loses 1
luxury 1
lyla 1
lyre 2
maerad 50
magery 1
magic 3
mainland 3
make 1
man 1
manifestation 1
manipulate 1
many 1
master 1
may 3
meaning 1
medicine 1
meets 1
mentally 1
messenger 1
milana 1
mirka 4
misery 2
monstrous 1
more 3
mortal 1
most 1
mother 2
mountainous 1
mountains 4
mountainside 1
muchcherished 1
murask 3
music 1
mycenean 1
name 3
named 1
nameless 2
nature 2
near 1
nearby 1
necromancer 1
need 1
needs 1
neither 1
nelsor 3
nerili 3
new 1
next 1
nights 1
nim 1
no 2
nor 1
norloch 3
north 3
northeastern 1
northern 1
not 7
nothing 1
now 1
nurses 1
ocean 1
of 53
often 2
oghamanalogous 1
on 14
one 7
openly 1
opposite 1
or 2
osidh 1
other 2
others 1
out 2
over 3
owan 4
own 5
pack 3
part 1
partner 1
passing 1
path 1
pellinor 2
people 5
pilani 2
pipes 1
placing 1
plains 1
plan 1
play 1
playing 1
plays 1
pledge 1
point 1
port 1
possibility 1
possibly 1
poverty 1
power 6
prevents 1
previous 1
pride 1
prisoner 1
proceed 1
pursued 3
pursuit 1
puts 1
queen 1
rabbit 2
rather 3
reach 1
reaches 1
readily 1
reads 1
realizing 1
receives 2
recluse 1
records 1
recovered 1
redirect 1
reducing 1
refusing 1
regarding 1
relationship 1
reminded 1
renders 1
request 1
resentment 1
resumes 1
reveal 1
revealing 1
reveals 6
ride 3
rift 1
route 3
ruined 1
safe 2
safely 1
sail 2
salvaging 1
say 1
saying 1
school 4
schools 1
script 1
sea 1
search 1
seasonal 1
secret 1
seek 1
seize 1
seminomadic 1
sends 2
sent 1
serpent 1
servant 1
serve 2
settlement 1
seven 1
several 1
sexually 1
shaped 1
sharma 1
she 20
shock 1
shortly 1
should 1
side 1
sight 1
signature 1
significant 1
sirkana 1
sister 2
situated 1
skill 1
skills 1
slavery 1
so 3
sold 1
some 3
song 2
soon 2
sorcerer 1
south 1
spare 1
speak 1
speaks 1
speculates 1
speech 2
spite 1
splitting 1
spoken 1
statement 1
stay 2
stays 1
still 1
stole 1
stopped 1
storm 1
stormdog 2
stormdogs 1
story 2
stronghold 2
studies 1
submit 1
subsequently 2
succumbs 1
such 2
suddenly 1
suggested 2
suggests 1
suitor 1
summons 1
survived 1
suspecting 1
swear 1
symbols 1
take 3
taken 1
takes 2
than 6
that 21
the 104
their 7
them 7
themselves 1
then 4
thence 1
there 2
thereafter 1
therefore 2
these 3
they 16
this 7
thorold 4
those 1
though 1
three 2
through 2
thus 1
time 1
to 64
told 1
toward 2
train 1
trained 1
training 3
traitors 1
transformation 1
transport 1
trauma 1
travel 1
travels 3
traverse 1
treated 1
tree 1
treesong 6
tribe 1
triberi 1
tribeswoman 1
triplenamed 1
tripletongued 1
true 1
turn 1
twin 1
two 8
ultimately 1
unaware 1
under 1
understands 1
undivided 1
undoing 1
unfrenquented 1
unite 1
unremarked 1
unwavering 1
upon 1
use 3
uses 2
vaguely 1
views 1
volcanic 1
wake 1
walks 1
warrior 1
was 2
way 1
week 1
weeks 1
were 1
what 1
when 6
where 4
wherein 2
which 11
while 4
who 23
whom 3
wild 1
will 2
winterking 2
wise 2
with 8
within 2
without 1
wolf 5
wolves 2
woman 1
word 1
world 2
would 1
writing 1
written 1
wrong 1
year 1
zmarkan 3
