8417547
/m/0272pbn
/m/0272pbn
James Salter
court 1
crash 1
crashes 2
cripples 1
curiously 1
dam 1
dark 1
daughter 1
daughters 9
dawn 1
day 6
days 4
debriefing 2
decide 1
declares 1
defend 1
deleo 14
denies 1
descend 1
descends 1
desire 2
desires 1
desmond 9
despite 4
destiny 1
details 1
determined 1
deviousness 1
did 1
dinner 3
dire 1
disappears 1
disciples 1
discovers 1
discussing 1
discussion 2
disgusted 1
disquieted 1
distracted 1
diving 1
do 2
does 2
doesnt 3
dogfight 1
dont 1
doubt 1
down 14
dozen 1
draws 1
drearier 1
dreary 1
drunken 1
during 1
ear 1
early 1
ease 1
ed 1
effectiveness 1
eight 2
eiko 2
elite 1
else 2
emanating 1
emotionally 1
empty 1
en 1
encounter 1
encounters 1
end 2
enemy 1
enjoy 1
enough 3
ensuing 1
entered 1
enters 1
enthusiastically 1
entire 1
episode 1
evasive 1
even 4
evening 3
ever 2
every 1
everyone 2
everything 2
everywhere 1
eviscerating 1
except 1
exhilaration 1
exiled 1
existence 1
expected 3
experienced 1
explains 1
exultant 1
fact 1
fail 1
failed 1
failing 1
far 1
fatal 1
fate 1
father 1
favor 1
fear 1
fears 1
february 1
feeling 5
feelings 2
feels 3
feet 1
fell 1
fellow 1
few 2
field 1
fifth 2
fight 8
fighter 2
fighters 1
films 1
final 1
finally 1
find 3
finds 3
finishes 1
fire 1
fired 1
first 3
five 1
flames 1
fleeting 1
flight 15
flown 2
flyer 2
flying 4
follow 1
followed 2
follows 1
for 19
force 2
forced 1
foreshadowing 1
former 3
four 3
fragrance 1
free 1
friction 1
friend 3
friends 1
frigid 1
from 7
frozen 1
fuch 1
fuel 5
fulfillment 1
full 1
function 1
general 1
genuinely 1
get 4
gets 2
glad 1
glide 1
gnaw 1
go 4
goad 1
goes 3
going 1
gone 3
good 3
goodbye 1
got 6
gotten 3
great 1
greets 1
ground 3
group 3
growing 1
gun 1
had 6
handful 1
hanging 1
happen 1
harasses 1
has 23
hate 1
hated 1
have 2
having 2
he 65
head 1
headquarters 1
hearing 1
hears 1
heat 1
heedless 1
helpless 1
helplessness 1
her 2
him 28
himself 6
his 58
holds 1
hopping 1
hostile 1
hotel 1
how 2
however 2
huge 1
humor 1
hundreds 1
hunter 12
i 1
if 1
ii 1
imagines 1
imil 17
immediately 3
important 1
impossible 1
impoverished 1
impression 1
in 48
including 2
innocence 1
insecurity 1
insinuates 2
insists 1
intentions 1
interest 1
interviewing 1
into 6
intoxicated 1
introduces 2
involved 1
is 41
isnt 1
it 19
italianhave 1
its 1
japan 4
japanese 3
jets 1
job 1
join 1
jones 9
jumped 1
june 1
just 11
kill 11
killed 4
killing 1
kills 1
kimpo 3
knew 1
know 1
knowing 1
knows 3
korea 5
korean 1
lack 1
lacked 1
lacking 2
lacks 1
laments 1
land 1
large 2
largerthanlife 1
last 2
later 3
laundry 1
lead 1
leader 5
leading 2
learn 1
learns 4
leave 5
leaves 1
leaving 1
left 2
less 2
lieutenant 2
lieutenants 1
life 2
like 2
likely 1
lionizes 1
listen 1
living 1
locker 1
long 2
looks 1
lose 1
loses 1
losing 1
lost 3
loud 2
lounge 2
low 2
loyal 1
lucky 1
luxury 1
made 2
major 4
make 4
makes 4
making 3
maneuver 1
many 1
martinis 1
match 1
matter 1
meets 1
mercies 1
middle 1
mig 10
might 1
migs 19
mildly 2
military 1
miseries 1
misgivings 1
missed 1
missing 1
mission 7
missions 9
mistake 1
misunderstanding 1
miyata 3
miyoshi 1
moncavage 3
more 5
morning 4
mortality 1
movie 1
much 1
music 1
mysteriously 1
mystic 1
name 1
nap 1
near 1
nearly 3
never 3
new 3
news 2
next 6
nicknamed 1
night 3
no 5
nobody 1
north 1
not 8
nothing 2
notices 1
notifies 1
now 5
numbers 2
objects 1
obsessiveness 1
obvious 2
occurs 1
of 67
off 5
offending 1
office 1
officer 1
officers 3
old 2
ominous 1
on 18
once 1
one 13
only 9
operations 2
opponents 1
opportunity 1
or 1
ordered 1
orders 2
other 5
others 1
ought 2
out 8
outfit 1
outgoing 1
over 4
own 6
pairs 1
panama 2
part 1
particularly 1
passing 1
pasture 1
peacetime 1
peers 1
pell 35
perform 1
performance 1
perfume 1
perhaps 1
period 1
personality 1
pettibone 3
philosophically 1
phone 1
physical 1
pilot 7
pilots 7
pitiful 1
plane 1
plans 1
playing 1
plus 1
plush 1
poor 1
possible 1
possibly 2
postmission 1
power 1
practice 1
praise 1
pressured 1
pretty 1
pride 1
primitive 1
process 1
proclaimed 1
progress 1
prompting 1
prompts 1
protests 1
put 3
puts 2
quality 1
quarter 1
quickly 2
radio 1
raids 1
ran 1
rationalizations 1
reaching 1
react 1
real 2
realization 1
realize 1
realizes 3
really 1
reassures 1
rebuked 1
receives 1
recon 1
reconnaissance 2
recover 1
redemption 1
reflecting 1
refuge 1
refuses 1
regarding 1
relate 1
relieved 1
reluctance 1
reluctant 2
reluctantly 1
remaining 2
remains 2
remembered 1
replacements 1
replies 1
reports 1
reputation 2
rescue 1
resentment 1
resisting 1
respectful 1
responds 1
response 1
rest 1
restlessly 1
result 1
return 3
returned 1
returns 2
revealing 1
reward 1
river 1
robey 2
rookies 1
room 1
rounds 1
route 1
rr 1
run 2
safe 1
saki 1
salvation 1
same 2
samisen 1
saw 2
say 1
saying 1
says 3
schedule 1
scheduled 1
searches 1
see 2
seeing 1
seemingly 1
seems 2
seen 1
seizes 1
selfdoubt 1
senses 1
sent 2
seoul 1
seventh 1
sex 1
shape 1
shares 1
she 1
ships 1
shirking 1
shocked 1
shoot 1
shoots 4
short 1
shortlived 1
shot 6
shows 1
shrugs 1
shuts 1
sickened 1
sight 1
situation 2
six 2
skeptical 1
skilled 1
slowmoving 1
smirks 1
smooth 1
so 4
soaplandstyle 1
sobbing 1
some 1
somehow 1
something 2
somewhat 1
south 1
spartan 1
spell 1
spends 1
spent 1
spins 1
spirit 1
sport 1
spots 1
spring 1
squadron 1
stalls 1
stands 1
start 1
starts 1
state 1
stay 1
steak 2
stomach 1
strenuously 1
strike 1
stripes 1
strong 1
success 1
such 1
suddenly 1
suggestions 1
suggests 1
support 2
supports 1
suppressed 1
surly 1
sweeps 2
tail 1
take 1
talk 3
tanks 1
taught 1
taunts 1
tedium 1
tells 5
terror 1
test 1
than 1
that 48
the 121
their 12
them 5
themselves 1
then 4
there 4
they 14
things 1
this 1
though 2
three 3
through 3
time 1
times 1
tired 1
to 94
together 1
tokyo 2
too 3
toocommon 1
tour 3
toward 1
training 2
transfer 1
trapped 1
tries 6
try 2
trying 3
turns 3
twisting 1
two 11
typical 1
ultimate 1
unable 1
uncomfortably 1
uncontrollably 1
under 1
undercuts 1
undermine 1
unexpectedly 1
unlucky 1
unopposed 1
until 2
untried 1
up 1
upsets 1
using 1
vanish 1
very 1
veteran 2
veterans 1
vital 1
waiting 1
waitress 1
waits 1
walks 1
wants 3
war 3
warehouse 1
warning 1
warns 1
was 11
wasted 1
watching 1
waxes 1
way 5
weather 1
week 1
wellknown 1
were 1
when 11
where 4
while 5
who 11
whose 2
will 1
wills 1
wing 7
wingman 5
wipe 1
with 18
without 2
witnessed 1
woman 1
women 2
wont 1
work 1
world 1
worse 1
worsens 1
wreck 1
write 1
wrong 2
yalu 1
years 1
yet 3
young 3
