423573
/m/026rjf
/m/026rjf
Christopher Marlowe
doing 1
dominated 1
downfall 1
dramatic 1
during 2
earlier 1
earth 2
elect 4
elects 1
else 1
end 5
endued 1
england 2
english 1
evasive 1
even 1
eventually 1
everlasting 1
every 1
evidence 1
excels 1
excessive 1
exits 1
explains 1
faced 1
fact 1
fails 1
fainting 1
faith 3
fall 2
falling 1
famous 1
far 2
fate 3
fault 2
faustus 48
feels 1
fell 1
fellow 1
final 3
finally 1
finds 1
finishes 1
fire 1
first 2
flee 1
flew 1
fly 1
following 1
for 10
form 1
forth 2
fostered 1
free 2
friends 2
frivolous 2
from 5
fuge 1
fundamentals 1
get 1
gift 3
give 2
gives 2
giving 1
glutted 1
god 7
good 3
grace 1
great 3
greatest 1
grievous 1
had 3
half 1
hard 1
has 5
hath 1
haughtily 1
have 8
having 2
he 27
healed 1
heated 1
heavenly 3
hell 4
hideous 1
high 1
higher 1
him 9
himself 5
hint 1
hints 1
his 32
history 1
holds 1
homo 1
how 3
however 4
hubris 1
humans 1
i 2
icarus 2
idea 1
if 4
ignores 1
immortality 1
implications 1
impression 1
in 27
inability 1
incantation 1
indeed 2
indirectly 1
individual 1
inevitable 1
influenced 1
inform 1
initially 1
inoequalem 1
inquiries 1
inscription 1
institutes 1
intellectuals 1
interest 1
interpret 1
interpretation 1
intervention 1
into 4
introduces 1
introduction 1
is 33
issues 1
it 16
its 2
itself 1
john 1
justice 1
justified 1
kind 2
king 1
kings 1
laid 1
largest 1
last 1
later 1
latin 2
latter 1
law 1
lead 1
learned 1
leave 3
leaves 1
lectures 1
left 1
less 1
life 1
likely 2
likened 1
limit 1
little 1
location 2
logic 2
long 2
looks 1
love 1
lower 2
lucifer 7
magic 4
magicians 1
man 4
manner 1
many 2
marlowe 3
meant 1
medicine 1
medieval 1
melted 1
men 3
mephistophilis 13
messenger 1
might 2
mind 1
miserable 1
momentarily 1
more 2
most 5
motion 1
motum 1
moved 1
must 3
my 1
named 1
nature 2
nearly 1
necessity 1
never 4
nevertheless 1
no 6
not 6
notably 1
noted 1
nothing 1
oath 2
obedience 1
obvious 1
of 75
off 1
offers 1
offstage 1
oh 1
on 4
one 5
only 2
open 1
opening 1
or 1
orthodox 1
other 2
others 1
our 2
ourselves 1
out 1
over 3
overcomplicating 1
own 6
oxford 1
pact 1
parents 1
party 1
payment 1
people 2
per 1
performed 1
perkins 1
perpetually 1
personal 1
personification 1
perspective 1
peter 2
philosophers 1
phrase 1
physical 1
place 1
plain 1
play 7
plucked 1
point 1
points 3
position 1
possibilities 1
possible 1
power 1
predestination 3
predestined 1
prefers 1
presence 1
present 3
pride 2
prince 1
proclaiming 1
prologue 1
proper 1
protestant 1
punishable 1
puritan 1
que 1
question 1
questions 1
quite 2
raised 1
raising 1
rather 3
reached 2
really 1
received 1
recognized 1
regard 1
regarding 1
rejected 1
rejection 1
religion 2
religious 1
remain 2
remained 1
remains 1
repent 3
repentance 2
represented 1
represents 1
reproach 1
reprobation 1
repugnant 1
request 2
respect 1
respectu 1
rest 1
results 1
return 1
reveal 1
reveals 1
revoke 1
revokes 1
reward 1
rise 1
roots 1
said 1
saints 1
salvation 3
satan 4
saved 1
say 2
saying 1
scene 2
scholars 5
sciencerelated 1
scientific 1
scriptures 1
sealed 1
secret 1
see 2
seedbut 1
seeing 1
seem 1
seems 2
seen 2
sees 1
self 1
sentence 1
sentiment 1
sera 4
series 1
servant 2
serves 1
service 1
set 1
seven 1
shall 3
should 1
similar 1
sin 5
sinner 2
sinners 1
sins 2
sixteenth 1
skill 1
slavery 1
slightest 1
so 6
socalled 1
some 3
someone 1
soul 5
source 3
speaking 1
speech 1
spend 1
spirit 1
stage 2
standing 1
state 1
status 1
still 2
story 2
strewn 1
strikes 2
struggling 1
student 1
students 1
studied 1
study 1
subject 2
subsequent 1
successor 1
such 5
summoned 1
summons 1
sun 2
supports 1
take 1
taken 1
takes 1
tale 1
taste 1
tasted 1
teachings 1
telling 2
tells 1
terms 1
terror 1
text 3
than 4
that 35
the 117
their 5
them 5
themselves 1
then 4
theodical 1
theodicy 1
theodore 1
theologians 1
theological 1
theology 1
there 2
thereby 1
therefore 3
therein 1
these 4
they 10
thing 1
things 1
think 1
thinking 1
this 18
those 1
though 2
threat 1
threetiered 1
through 1
throughout 2
thus 5
time 5
times 1
to 68
told 2
tolerate 1
too 2
tool 1
torment 1
totius 1
tradition 1
tremendously 1
tries 1
truly 1
truth 1
twentyfour 1
two 4
type 1
ultimate 1
ultimately 1
unable 2
unaware 1
under 2
understand 1
undetermined 1
unequal 1
unless 1
unnecessary 1
until 1
unto 1
untrustworthy 1
unvalued 1
up 1
upon 3
upstanding 1
urges 1
us 2
useless 1
using 1
valdes 2
value 1
version 1
very 1
view 2
vigorous 1
vomit 1
vow 1
wagner 3
war 1
warnings 1
warns 1
was 12
waxen 1
we 10
well 1
were 2
what 6
when 1
wherein 1
whether 1
which 15
while 1
whitaker 1
who 4
whole 1
why 1
wickedness 1
will 7
willed 1
william 3
willingly 1
wings 1
wisdom 2
wise 1
with 14
without 1
won 1
words 1
worry 1
worst 1
worth 1
worthwhile 1
would 3
wound 2
writings 1
written 2
years 1
yet 2
you 2
zenith 1
