3211116
/m/08zks1
/m/08zks1
Lloyd Alexander
horsemen 2
host 1
house 3
how 1
humankind 2
humanoid 1
hurled 1
in 18
including 1
induces 1
infected 1
injured 1
instead 1
intervenes 1
into 2
invisible 1
is 13
it 7
its 3
join 2
joined 1
joins 1
just 2
kill 2
king 14
know 2
known 1
knows 2
laborer 1
labyrinth 1
lacks 2
lake 1
last 1
later 1
lead 1
leads 3
learn 1
learned 2
learning 1
leave 2
leaving 1
led 3
leg 2
legendary 2
lesson 1
let 2
level 1
life 3
light 1
like 1
little 1
lives 2
living 2
local 1
long 2
longing 1
look 1
lord 1
losing 2
loves 1
lower 1
made 1
man 3
manner 1
many 1
mask 1
medwyn 5
melts 1
melyngar 6
men 1
mollify 1
momentary 1
more 3
most 1
mountainous 1
mourn 1
much 2
must 1
name 1
naturally 1
nearby 1
needed 1
never 1
nevertheless 1
new 1
news 2
night 1
no 1
nobility 1
noble 1
none 1
nor 2
north 1
northward 2
not 5
now 3
obligation 1
observe 1
oethanoeth 1
of 38
on 6
once 1
one 6
only 3
or 3
oracular 2
orders 2
orphan 1
other 2
others 2
out 1
outdistance 1
outlast 1
overnight 1
overthrow 1
overwhelms 1
owing 1
pace 1
pair 1
part 1
party 2
passed 1
perhaps 2
personally 1
pig 8
pigkeeper 2
please 1
powerful 1
prey 1
prince 2
princess 1
provide 1
provisions 1
prydain 3
pursued 1
pursuit 1
queen 1
quickly 1
quiet 1
rare 1
rather 4
reach 1
realizes 1
realm 1
recognition 1
recognizing 1
recovers 1
redhaired 1
reequip 1
refuses 2
rejoins 1
remorselessly 1
repel 1
rescued 1
respects 1
responsibilities 1
responsibility 1
retired 1
return 1
returns 1
rhitta 1
ride 1
right 1
ring 1
river 1
room 1
route 1
ruins 1
ruling 2
run 1
runs 1
sacrifice 1
safety 1
salvage 1
same 1
save 1
saved 1
scouts 3
scrounge 1
search 2
secrecy 1
secret 1
secrets 1
see 2
seen 1
sees 2
seizes 1
selfproclaimed 1
sensed 1
separately 1
service 1
shallows 1
she 9
sheathed 1
shore 1
slays 1
slowly 1
so 2
softens 1
soldier 1
soldiers 1
some 1
sorceress 1
spiral 4
spite 1
spot 1
spots 1
spotted 2
stand 1
stands 1
stay 1
still 1
stop 1
storytelling 1
straight 1
string 1
stronghold 1
studies 1
suddenly 1
surmises 1
survived 1
suspiciously 1
swept 1
sword 4
take 4
taken 3
takes 2
taran 34
target 1
task 1
tells 3
tempted 1
tend 1
terror 1
than 5
that 11
the 96
their 5
them 11
themselves 1
then 2
there 1
they 19
think 1
this 1
threat 1
three 1
through 4
throws 1
thru 1
time 2
title 1
to 57
together 1
tomb 1
top 1
torture 1
toward 1
trail 1
travel 1
traveling 1
treasures 1
treated 1
treats 1
tree 1
trees 1
troops 1
tunnels 1
turn 2
undead 1
under 1
understands 1
underwater 1
unfortunately 1
unintelligible 1
unrest 1
until 2
unusually 1
up 1
upon 1
valley 2
value 1
vanguard 1
visited 1
wading 1
waits 1
wakens 1
wallet 1
wandering 1
wants 1
warlord 1
warlords 1
warn 2
warning 1
warrior 1
warriors 1
was 3
watches 1
water 1
way 4
weaken 1
weapons 4
welcomes 1
wen 10
what 1
when 6
where 1
which 3
while 2
white 2
who 12
whom 1
wield 1
will 2
with 16
without 1
word 1
words 1
worldly 1
would 1
wound 1
wounded 1
wounds 1
youth 1
