49759
/m/0d6qm
/m/0d6qm
George Orwell
looking 2
lowergrade 1
made 1
mails 1
makes 1
manual 1
many 2
me 1
meal 2
meeting 1
meets 1
men 1
mere 1
minor 1
minutes 1
misfortunes 1
misled 1
modern 1
money 1
month 1
more 3
morning 1
mountingblock 1
move 1
mtro 1
much 1
murder 3
must 1
my 2
named 1
narrative 1
narrator 11
near 1
need 1
never 1
new 1
night 3
no 2
nor 6
norman 1
not 9
not34 1
notes 1
nothing 1
obtains 2
of 36
off 1
offering 1
offers 1
officers 1
often 1
on 8
once 1
one 4
only 1
open 2
opening 1
optimism 1
or 4
ordeals 1
order 1
orderly 1
ordinary 1
ought 1
our 1
out 2
outstanding 1
over 3
paddy 1
paid 2
pain 1
paris 4
patron 2
pavement 1
pawn 3
peasant 1
penetrated 1
penniless 1
penny 1
people 2
pictures 1
picturesque 1
place 2
plongeur 4
plongeurs 1
point 1
poor 1
porter 1
possessions 1
pottery 1
poverty 2
present 1
provide 2
quarter 1
quarters 1
quit 1
quite 1
quits 1
reach 1
reaction 1
recounted 1
recounts 1
refers 1
refugees 1
refuse 1
relatively 1
remaining 1
remarks 1
rent 1
replies 1
required 1
restaurant 5
result 1
return 1
room 1
routine 3
run 1
russian 5
sack 1
salvation 2
saturday 1
savings 1
says 1
scant 1
scenesetting 1
scoundrels 1
searches 1
seat 1
section 1
seemingly 1
seems 1
seen 1
selection 1
sell 1
sends 1
sense 1
sent 1
sentences 1
service 1
servile 1
seven 2
seventeen 1
shall 1
shelters 1
short 1
slaves 2
slaving 1
sleep 2
sleeping 3
smart 1
so 1
social 1
sold 1
some 4
soon 1
speaks 1
spend 1
spent 1
spike 1
spikes 1
spirit 1
standing 1
steals 1
still 2
stop 1
stress 1
strike 1
strikes 1
students 1
subscribe 1
success 1
succession 1
such 2
suffered 1
sunday 1
sure 2
surprised 1
swindlers 1
system 1
taking 1
talks 1
tea 1
teacher 1
tells 1
ten 1
terms 1
than 8
that 11
the 78
their 4
them 1
then 4
there 3
they 3
thing 1
things 1
think 2
this 1
though 1
thought 2
three 1
through 1
titled 1
to 23
too 1
tragicomic 1
tramp 2
tramping 1
tramps 3
tramps3 2
trapped 1
treatment 1
turns 1
twentyfive 1
two 3
twoday 1
types 1
uncomfortablethe 1
unemployment 1
unfortunately 1
union 1
until 1
up 3
us 1
usual 1
vagrants 1
valenti 1
vanishes 1
various 4
venues 1
verbless 1
very 1
waiter 4
waiting 2
walls 1
was 9
wasting 1
way 1
we 6
week 1
week34 1
were 8
when 2
where 3
which 4
while 1
whine 1
who 6
whose 1
will 1
window 1
wistfully 1
with 3
within 1
without 4
work 8
workers 1
working 3
workings 1
workmen 1
works 1
world 1
would 1
wouldbe 1
x 7
xiii 1
xiv 1
xvi 1
xxii 1
xxv 1
xxxv 1
yet 1
your 1
youth 1
