23469570
/m/07kfhqg
/m/07kfhqg
John Ringo
fails 2
failure 1
fain 1
fall 1
fallen 1
falters 1
families 1
far 1
favor 1
fear 1
feared 1
fearing 1
fears 2
feels 2
fell 1
few 2
fields 1
fight 3
fighting 4
fights 1
figure 1
figures 1
fill 1
filling 1
final 1
finally 9
find 5
finding 1
finds 4
finish 1
fire 8
fired 1
firm 1
first 2
fix 1
fixed 1
flain 2
flank 1
flarka 1
flarta 1
flechettes 1
fleeing 1
flood 1
flooded 1
flourish 1
focus 1
follows 1
food 4
fool 1
fooled 1
for 57
force 5
forced 1
forces 7
forcing 1
foreman 2
forget 1
forming 1
found 3
four 1
fragmentation 1
frame 1
frantic 1
from 29
front 3
fruit 1
fruits 1
frustrated 1
fullea 2
function 1
funds 1
furious 1
further 4
gain 1
gains 1
gallery 1
gaps 1
gates 4
general 4
generally 1
get 9
getting 3
give 1
given 2
giving 1
go 3
god 12
goes 1
going 1
gold 8
gone 1
good 2
government 1
granaries 1
grapples 1
gratar 19
grath 4
great 1
greater 1
greedily 1
greeted 2
grievances 1
gross 1
group 3
groups 3
guaranteeing 1
guards 6
guessed 1
gum 1
gun 1
had 15
hadnt 1
hadur 1
haggling 1
half 1
hampers 1
hand 2
happy 4
has 7
hasnt 2
hatred 1
have 17
having 1
he 44
head 3
headed 1
heads 1
hearing 1
hears 1
heavy 1
heavyhearted 1
helmets 1
help 2
helpful 1
her 7
herd 2
here 2
hidden 1
high 2
highpaying 2
hills 1
him 28
himself 7
his 46
hit 2
hold 4
holding 1
holes 1
home 3
hompag 3
honorbound 1
hooded 3
hope 1
horde 1
horded 1
hours 1
houses 1
how 6
however 12
human 2
humans 15
humid 1
hundred 3
idea 1
ideas 1
identifies 1
identify 1
if 5
ignore 1
ignoring 1
immediate 1
immediately 2
immense 1
impending 1
important 2
impossible 1
in 69
incident 1
inclined 1
including 5
incomplete 1
indicate 1
influential 1
informed 1
informs 1
initial 1
initially 3
innermost 1
inquires 1
inside 1
instant 1
instead 1
institutional 1
instructs 1
insulting 1
integrate 1
intel 1
intend 1
intention 1
intentions 1
interest 1
internal 2
interrupted 1
intervene 1
into 17
introduce 1
invaders 1
invasion 1
investigate 1
invitation 1
invitations 1
involvement 1
iron 3
is 42
isnt 1
it 16
its 4
itself 1
job 3
jobs 1
join 4
journey 2
julian 6
jungle 2
jungles 1
just 4
kam 2
kar 8
keep 1
kicked 1
kill 4
killed 1
kills 2
knew 2
knowledge 1
known 1
knows 2
kny 2
kostas 3
kosutic 5
krindi 2
kvaern 5
kvaernian 1
kvaernians 6
kvarenians 1
laborers 6
lack 2
lances 1
land 1
large 3
last 3
later 1
latest 1
laughs 1
lead 2
leader 3
leaders 2
leadership 2
leading 2
leads 1
learning 1
leave 3
leaves 1
leaving 3
led 1
left 4
legitimacy 1
lend 1
less 2
lesser 1
let 2
life 1
liit 2
like 2
likely 2
limb 1
limited 2
line 4
lined 1
listen 1
listening 1
little 3
lives 1
loaded 1
local 7
locals 3
log 1
lone 1
long 1
longer 1
look 1
looking 1
loot 2
lose 1
loses 1
losing 1
losses 2
love 1
loves 1
lowlands 2
lowrisk 1
loyalty 1
lure 1
made 2
mahouts 2
main 1
maintain 1
maintaining 1
make 1
makes 2
making 1
manage 13
managed 2
manages 6
mangles 1
mans 1
manufacturers 1
many 6
march 1
marches 1
mardukan 3
mardukans 7
margin 1
marine 1
marines 32
marry 1
marshad 1
massive 1
materials 2
matsugae 3
mean 2
means 1
meet 3
meeting 6
meets 1
members 5
mercenaries 1
merchant 1
mercilessly 1
mere 1
message 1
messengers 2
met 1
middle 1
might 4
military 1
mine 6
mineowner 1
miners 1
mines 4
mining 1
minutes 2
mir 1
mirror 1
mission 1
missions 1
mistake 1
mnb 2
model 4
mogul 1
moment 1
money 1
monitored 2
monster 2
month 1
months 3
moral 1
morale 1
more 7
morning 1
most 10
mostly 1
mot 1
motivated 1
mountain 3
mountains 1
move 4
moved 1
moves 1
moving 1
much 5
must 2
name 1
nanites 1
narrow 1
nashtor 1
nature 1
naught 1
ncos 1
near 1
nearer 1
nearly 1
necessary 6
need 8
needed 3
needs 2
negotiations 1
neighbor 1
neighbors 1
nephews 2
never 3
new 14
news 3
next 1
niceties 1
night 1
nimashet 9
no 6
none 2
nonetheless 1
nor 1
normal 1
not 17
nothing 1
notice 1
notify 2
notifying 1
now 3
nowvictorious 1
numerical 1
objective 2
ocasey 7
ocean 3
of 137
off 10
offer 2
offering 1
offers 4
office 1
officer 1
officers 1
old 1
on 36
once 3
one 7
oneonone 1
only 5
onslaught 1
open 4
opening 1
opens 2
operation 5
operational 1
opinions 1
opposition 1
opted 1
opts 2
or 8
order 1
ordered 1
orders 16
ore 1
organized 1
original 1
other 14
others 2
out 31
outer 1
outnumbered 1
output 1
outriders 1
outside 2
over 9
oversee 1
overwhelm 1
own 1
owned 2
pack 3
packbeasts 1
pah 3
pahner 34
part 3
partially 1
parties 1
parting 1
parts 1
pass 2
past 1
patty 2
pay 3
paying 1
payment 2
payoff 1
people 1
performance 1
personally 1
perspective 1
petition 1
petitions 1
phase 1
physical 1
pick 1
pieces 1
pike 1
pikes 1
piquing 1
pistol 1
pistols 1
pitifully 1
placate 1
placating 1
place 1
planet 1
plans 1
plant 1
plasma 2
play 1
plaza 3
pleasant 2
plot 1
point 2
points 10
political 4
portena 2
poses 1
position 2
possible 2
posturing 1
power 2
powerful 1
preassure 1
precaution 1
predicted 1
preparations 1
prepare 3
prepares 1
present 2
preserve 1
press 1
preventing 1
previous 2
prices 1
priestking 2
priests 2
prince 1
prior 1
private 1
privately 1
problem 2
problems 2
proceed 2
process 1
produce 2
production 1
professional 1
profitable 1
prominent 2
promise 1
promises 2
promoted 1
propaganda 1
proper 1
properly 1
protect 2
pulls 1
pumping 1
pumps 3
purchise 1
pursue 2
pursued 1
pursuit 2
put 2
quality 1
quantities 1
question 1
questions 1
quickly 4
quietly 1
quite 1
quorum 1
radio 1
raid 1
rains 4
raises 1
ran 4
rank 1
ranks 1
rapt 1
rastar 8
reach 1
reached 1
reaching 1
ready 2
reality 1
realizes 1
realizing 2
rear 3
rearguard 1
reasons 1
rebuild 1
receive 1
recon 2
reconnaissance 1
recruits 2
red 1
reducing 1
redundant 2
refugees 1
refuses 1
regain 1
regarding 2
region 2
regulars 1
regulation 1
regulations 1
rejection 1
relationship 1
relatively 1
releases 1
relents 2
reliably 1
relief 2
reluctantly 4
remain 1
remove 2
removing 1
reorganize 1
repaired 1
repairing 1
repairs 1
repeats 1
replaces 1
replacing 1
report 1
representing 1
request 2
requests 1
rescue 1
reserve 1
respite 1
responsibility 1
responsible 1
rest 3
retaking 1
retaliation 1
retreat 6
retreating 1
retrieve 2
return 6
returned 1
returns 1
reveals 1
revel 1
reward 1
rid 1
ride 1
riding 1
rifle 1
riflemen 2
rifles 1
ripped 1
risk 1
risks 2
risky 1
river 1
road 2
rockets 1
rocks 1
roger 51
role 1
romances 1
rome 1
root 1
roughshod 1
route 1
routed 1
ruin 1
ruled 1
rulers 1
ruling 2
run 2
rus 2
sabotaged 1
saddened 1
sam 1
same 1
sanguine 1
save 1
says 2
scales 1
scatters 1
scraps 1
scratch 1
sea 4
seafaring 1
sealift 1
search 1
seasonal 1
seat 1
secretive 1
secure 3
securing 2
security 1
see 3
seeking 1
seen 1
sees 1
seize 1
senate 1
send 2
sending 1
sends 2
sent 4
series 1
serious 1
seriously 2
service 1
session 1
set 5
setting 1
several 7
sex 2
sexuality 1
shaft 1
she 3
shield 1
shields 1
ship 5
shipping 1
ships 5
shipwreck 2
shipwrights 1
shock 1
shoot 1
short 1
shortly 2
shot 1
should 5
shuttles 1
side 5
sight 1
sign 1
signed 1
significantly 1
silence 1
silver 2
similar 1
simply 1
since 7
sindi 9
sindidley 1
single 2
singleminded 1
sits 1
situation 2
six 1
skeptical 2
sketched 1
skirmishers 2
sleep 1
slows 1
smaller 1
smells 1
smoke 1
so 10
society 1
soldiers 2
some 14
someone 1
something 1
somewhat 1
soon 2
source 1
souring 1
south 3
southern 1
spare 1
speak 3
speaks 2
spear 1
specifically 1
speech 1
spicey 1
splitting 1
spot 1
spread 1
squad 5
squads 1
square 1
squatters 3
staff 1
stage 2
stages 1
stagnation 1
stalemate 1
stand 1
stands 1
start 3
starts 1
stated 1
states 1
stating 2
stay 3
staying 1
still 3
stocked 1
storm 1
straight 1
strapped 1
stream 2
strictly 1
strikes 1
stunned 2
subdue 1
subordinates 1
subsequently 1
subside 1
success 1
successful 1
succession 1
such 4
suffered 2
suggests 1
suicide 1
suit 1
suits 1
summon 1
summoned 2
sunset 1
supplements 1
supply 1
support 3
supported 1
supposed 1
supreme 1
surprise 1
surrounding 2
surveillance 1
survey 1
survive 5
survives 1
survivor 1
survivors 2
suspicious 1
swords 1
tactics 1
tai 4
tail 1
take 5
taken 1
takes 1
tales 1
tam 1
tar 2
targhas 1
task 1
taste 1
taunt 1
taverns 2
teach 1
team 2
teams 5
techniques 4
technology 2
tell 3
telling 2
tells 11
temperature 1
temple 1
terms 1
terrifies 1
test 1
than 2
that 81
the 517
their 56
them 33
themselves 1
then 18
there 8
therefore 1
these 3
they 55
theyd 1
theyll 1
theyre 1
theyve 1
things 1
this 17
those 4
though 3
thought 1
thousand 1
thousands 1
threat 1
threaten 1
threatened 1
threatening 1
through 4
throwing 1
thrown 1
thus 1
tidal 1
til 3
timber 1
time 10
times 2
timidity 1
tin 5
tips 1
tnorton 1
to 240
told 2
too 5
toots 1
tor 2
torn 1
torrent 1
torrential 1
towards 4
trace 1
track 2
tracking 1
traditional 1
trag 3
tragedy 1
train 1
trained 2
training 4
traits 1
transfer 1
transferring 1
translate 1
transmission 1
transoceanic 1
transport 1
trap 1
travel 2
tre 1
tribe 3
tribesmen 1
tries 2
troops 18
troubled 1
truly 2
trusted 1
try 1
trying 2
turl 2
turn 6
turning 1
turns 2
two 3
tyrant 1
ultimate 1
unaware 1
uncomfortable 1
under 5
undercutting 1
underground 1
understands 1
unexpected 1
unfortunately 2
units 1
unlikely 1
unnoticed 1
unprepared 1
unsuitable 1
unsure 1
until 3
unwounded 1
up 18
upcoming 1
upon 4
use 4
used 2
uses 1
using 1
usual 1
valley 1
various 2
vasin 21
very 5
victoriously 1
victory 1
violate 1
vitamin 1
voices 1
voyage 2
voyages 1
wagons 1
wake 1
wall 1
walls 3
want 1
wants 1
war 9
warfare 1
warheads 1
warm 1
warriors 4
wartime 1
was 6
wasnt 1
wat 1
watching 1
water 1
waterfall 2
wave 3
waves 1
way 8
ways 3
weak 1
wealth 1
weaponmanufacturing 1
weaponry 1
weapons 9
wearing 1
weather 1
well 7
welldressed 1
wellorganized 1
wellprepared 1
were 6
wes 3
wespar 4
what 4
when 14
where 6
whether 1
which 17
while 17
whined 1
who 38
whoever 1
whole 1
whom 1
whose 1
whove 1
why 2
wil 1
wild 1
will 15
willing 2
win 2
wish 1
wishes 1
with 55
within 2
without 2
witnessing 1
woefully 1
women 1
wonders 1
wont 1
working 1
works 5
world 2
worries 1
worse 1
would 6
wrath 1
wrought 1
years 1
yet 4
yields 1
you 2
young 1
zero 1
