4608116
/m/0ccctj
/m/0ccctj
Boris Pasternak
soil 1
soldiers 1
son 1
soon 2
soviet 2
spends 1
spread 1
squandered 1
stalin 1
state 2
states 1
stating 1
stay 1
staying 1
stays 1
stifled 1
stolen 1
strelnikov 3
student 1
subsequent 1
successfully 1
succumbs 1
suicide 3
summarily 1
support 1
suspecting 1
sympathies 1
sympathiser 1
table 1
taken 1
tanya 1
teach 1
telling 1
tells 1
terrified 1
that 12
the 63
their 5
them 2
then 1
there 1
they 3
think 1
this 3
three 1
through 1
ties 1
to 43
tonya 2
torn 1
town 1
train 2
treating 1
trenches 1
troops 1
true 1
tsar 1
tsarist 2
two 1
ultimately 2
unarmed 1
uncle 2
under 1
up 1
ural 1
urals 2
used 1
uses 1
using 1
varykino 1
very 1
victory 1
viktor 1
visit 2
volunteers 1
war 5
was 2
we 1
wealthy 2
west 1
what 1
when 1
where 2
which 2
while 2
whites 1
who 2
whole 1
widow 1
wife 2
will 2
willing 1
wishes 1
with 14
within 2
without 1
woman 1
worker 1
working 3
works 1
world 2
worst 1
wounded 1
wounds 2
writing 1
years 1
yevgraf 1
yuri 25
yuriatin 1
zhivago 10
