17845285
/m/04791fb
/m/04791fb
Jacqueline Carey
incident 2
including 5
incredibly 1
incurred 1
indeed 2
independent 1
induce 2
infected 2
influence 1
information 3
informed 1
informs 1
injure 1
insane 1
inside 3
insisted 1
insistence 1
inspection 1
inspects 1
instead 1
instructed 2
instructions 1
insult 1
integrates 1
intellectual 1
intent 1
interact 1
interchangeable 1
interested 1
interesting 1
into 32
intriguing 1
invasion 1
inverted 1
invites 1
involvement 1
irmiel 1
irresistibly 1
is 194
isle 2
isnt 1
it 97
item 1
items 1
its 4
itself 2
iturralde 1
janpier 1
jasmine 2
jeanne 3
jeweler 1
jewels 1
joined 2
joscelin 16
journey 3
joyous 1
just 6
justice 1
justina 2
keep 3
keeping 1
keeps 1
key 2
kidnapped 1
kill 2
killing 2
king 5
kingdom 1
kinsman 2
kiss 2
kisses 2
kissing 1
kneel 1
knew 2
knocks 2
knot 1
knots 1
knotted 1
know 10
knowing 4
knowledge 1
known 3
knows 8
kratos 21
kusheline 1
kushiel 3
la 2
lack 1
lady 2
lamp 1
land 3
landras 1
large 3
last 3
lastditch 1
lasting 1
lasts 1
later 14
launch 1
launched 1
launches 1
lays 1
lead 1
leader 1
leads 1
leander 75
leans 1
learn 4
learned 2
learning 1
learns 14
least 2
leave 5
leaves 6
leaving 3
led 1
left 1
legal 1
length 1
lenvers 9
lets 1
letter 6
life 3
light 2
like 6
likely 2
likes 1
liking 1
line 1
lips 1
list 1
listen 2
listens 1
little 3
lives 1
location 1
lodging 1
lombelon 1
long 11
longest 1
longstanding 1
longtime 1
look 4
looked 1
looking 4
looks 2
lord 4
lose 1
loses 1
losing 1
loss 3
losses 2
love 23
loved 2
lovers 1
loves 1
lovespell 1
loyal 3
loyalty 1
lucca 1
lucius 1
lucky 1
lunar 1
lunatic 1
mad 3
made 9
madman 1
madness 12
mage 1
magical 3
maignard 3
majesties 1
make 17
makes 7
making 4
malevolence 1
man 6
manage 1
managed 1
manages 3
managing 1
many 12
mark 1
market 2
marmion 1
marque 1
marriage 3
married 3
marries 1
marry 1
marsilikos 7
marvel 6
maslin 1
massaged 1
master 3
masters 1
match 2
matching 1
matter 1
matters 3
mavros 4
may 5
means 1
meanwhile 2
medal 1
medallion 1
meddle 2
meet 3
meeting 6
meetings 2
meets 6
melisande 15
melts 1
member 2
memories 4
men 1
mention 1
mercilessly 1
mercy 1
mereliot 1
message 4
messenger 1
met 1
middle 2
might 7
military 2
minimal 1
minor 1
miracle 1
mirrors 2
mission 2
mistress 1
mixed 1
moment 1
moments 1
monluc 2
month 5
months 2
montrve 2
moon 4
more 15
morning 1
mortally 1
most 4
mother 16
mothernaked 1
motion 7
move 2
moves 1
moving 1
much 10
muchneeded 1
mudcovered 1
muscles 1
must 20
mystical 1
n 2
naamah 1
naked 1
namaah 1
name 1
named 2
navy 2
nearkin 1
nearly 6
need 1
needed 1
needing 1
needle 5
needs 2
neighbors 1
never 4
new 14
news 2
next 16
nicola 3
night 15
no 18
noble 3
none 2
nonequals 1
normal 1
normalcy 1
not 70
note 3
nothing 7
notices 1
noticing 1
now 14
number 1
oak 2
obey 1
obscenities 1
obtain 1
occasion 1
occupy 1
occurrence 1
occurs 1
of 247
off 14
offensive 1
offer 2
offering 1
offers 3
official 1
old 2
older 1
ollamh 2
on 56
once 19
one 36
ones 1
only 18
onto 1
open 3
opinion 1
opinions 1
opportunity 2
or 12
order 5
other 16
others 2
otherwise 2
out 27
outcome 1
outfits 1
outside 7
outward 1
over 13
overcome 1
overhears 1
overreact 1
overreacts 1
overrun 1
overwhelmed 1
overwhelms 1
own 8
packed 1
paid 1
pain 1
pair 1
palace 9
palanquin 2
palm 1
pants 1
paphos 1
pardon 1
parents 1
parliament 4
parliamentary 1
part 3
parties 1
parting 1
parts 1
party 2
pass 2
passage 1
passed 1
passes 1
passionately 1
past 3
patterns 1
pause 1
pays 1
peace 1
peer 1
people 10
perform 1
performs 1
perhaps 3
person 3
personal 2
persuade 1
petals 1
phase 1
phdre 13
physician 5
picks 2
picture 4
piece 1
place 2
placed 1
places 2
plainly 1
plan 16
planets 1
planned 2
plans 6
plausible 1
play 1
pleasures 1
plots 1
plunged 1
point 1
pointed 1
politics 1
portion 1
positions 1
possibility 1
possible 2
post 1
poultice 1
powder 4
power 5
powerful 1
practicing 1
prayers 2
prays 1
precept 2
preparations 1
preparing 2
presence 3
present 2
presented 1
presenting 1
presents 3
pretending 2
price 1
priest 12
priestess 4
priestesses 1
priests 3
princess 6
private 4
privately 1
problems 1
progress 2
promise 3
promised 1
promises 1
promptly 2
proof 1
proposal 1
proposes 3
prospect 2
protect 3
protected 2
protecting 1
protects 1
proud 1
prove 2
proves 1
proving 2
ptolemy 3
public 3
publicly 1
punishment 1
punishments 1
puppy 2
purchase 1
purpose 1
pursued 2
push 2
put 5
puts 1
puzzle 2
puzzled 2
quarrel 1
quarters 1
queen 14
questioned 1
quick 1
quicker 1
quickly 6
quiet 1
quite 1
raise 1
range 1
reach 2
reached 1
reaches 2
reaching 4
reaction 1
reactions 1
read 2
readily 2
reads 1
ready 2
real 3
realize 7
realizes 8
realizing 5
realm 3
reappears 1
reason 3
reasoned 2
receives 4
reception 1
referred 1
reflexes 1
refused 1
refuses 1
regain 2
regained 1
regent 2
rehearsed 1
related 1
relations 1
relationship 7
relative 1
release 1
releases 1
relentlessly 1
reluctant 2
rely 1
remain 3
remains 1
remember 3
remembering 1
remembers 2
remind 1
removal 1
remove 1
removed 1
removes 2
rents 1
repentant 1
replace 1
replacements 1
replica 1
replies 1
reply 1
report 1
representatives 1
request 3
requested 1
rescuing 1
research 2
resees 1
respect 1
response 1
rest 2
resume 1
resumes 1
retrieve 1
return 5
returned 1
returns 4
reunite 1
reveals 2
reversed 1
rib 1
right 3
righted 1
ring 12
ripped 1
risks 1
ritual 1
rituals 1
river 1
robes 1
roll 1
roncal 2
room 5
rooms 2
rope 1
rousse 1
routine 1
rowboat 1
royal 2
ruby 1
ruined 1
rule 1
ruler 1
rulership 1
ruling 1
run 2
running 1
ruse 1
sack 1
safe 1
safety 1
said 8
sail 2
sailors 1
same 10
sane 2
sarcal 2
sarkal 1
sated 1
save 1
saves 1
saviour 1
saw 3
say 1
saying 4
says 16
scale 1
scales 1
scar 1
scared 1
scars 1
scene 1
scholar 1
scion 2
scour 1
scuffle 1
sea 1
seal 2
seamirror 1
search 3
searched 1
searching 2
seasons 1
second 1
secret 2
secretary 1
secreted 1
secretly 2
secure 3
see 35
seeing 4
seem 5
seemed 2
seemingly 1
seems 9
seen 6
sees 11
seizes 1
select 1
self 1
selfrule 1
semblance 1
send 3
sending 2
sends 5
sense 6
sent 7
sentence 2
separated 2
serafin 4
serenissima 1
serious 1
servants 2
serve 1
service 2
serving 1
session 1
sessions 1
set 11
sets 2
setting 2
settle 1
settlement 1
settlements 1
settles 1
seventeenth 1
several 6
severe 2
shadow 4
shadowy 1
shahrizai 4
shall 1
shame 1
shards 2
share 1
shared 1
she 113
shemhazai 1
shielding 1
ship 10
ships 2
shockingly 1
shoos 1
shoots 1
shores 2
short 1
shortly 1
should 3
shouting 2
shouts 1
show 5
showed 1
showering 1
sick 1
side 3
sideways 1
sidonie 116
siege 2
sign 1
signifying 1
silk 1
silver 1
similar 1
similarly 1
simple 3
simply 2
since 3
sincerity 1
single 1
sister 1
sits 3
sitting 1
situation 4
six 3
skies 1
skills 1
skin 1
sky 2
slaughtered 1
slave 2
slavers 1
slaves 1
sleeping 4
sleeps 2
slow 1
slowly 2
small 5
smoothly 1
sneak 1
sneaks 2
so 21
soil 2
sold 1
soldiers 2
solon 26
solution 1
some 19
somehow 2
someone 3
something 4
sometimes 2
somewhat 2
somewhere 1
son 2
soon 11
sorcerer 1
sorry 1
soul 2
southern 1
sovereignty 2
speak 6
speaks 5
spectacle 3
speculates 1
speech 2
spell 22
spells 6
spend 1
spends 1
spirit 1
spirits 1
spoils 1
spoke 1
spoken 2
spread 1
spring 1
sprouted 1
spy 1
squadron 1
square 9
stabbed 1
stabbing 1
stabs 1
staff 1
stage 1
stands 1
star 1
stares 1
staring 1
starting 1
state 2
states 1
stay 4
stayed 1
staying 1
stays 3
steal 2
steals 2
step 3
still 17
stillmad 1
stir 1
stomach 1
stone 3
stop 1
stopped 1
stops 2
story 7
strained 1
straits 2
strange 2
strangle 1
streets 2
strength 1
strong 1
struck 2
submerses 1
succeed 1
successful 1
such 2
suddenly 3
suffered 2
suffocate 2
suffocates 1
suffocation 1
suggestion 1
suggestive 1
summer 1
summoned 1
summons 4
sunburst 1
sunjata 26
support 2
supposed 1
sure 4
surprise 1
surprised 1
surrender 2
surrendered 1
suspicious 1
sway 1
swear 1
swearing 1
swears 2
sweat 1
swifter 1
swiftly 1
switch 4
sword 3
swordsmanship 1
sworn 3
symbol 1
tactic 1
tactics 2
tail 1
take 10
taken 10
takes 11
taking 2
tale 2
talisman 2
talk 12
talking 3
talorcan 1
tattoo 1
tattooed 1
teach 1
tell 10
telling 4
tellings 1
tells 31
tempers 1
temple 3
tense 1
terminus 1
terre 26
territory 2
than 9
thankful 1
thanks 2
that 188
the 559
their 54
them 35
theme 1
themselves 2
then 21
there 19
thereby 6
these 3
they 94
theyll 1
thing 2
things 9
think 3
thinking 4
thinks 3
thirty 1
this 38
thorough 1
those 4
thou 1
though 15
thousand 2
thread 1
threatens 2
threats 1
three 2
throne 5
through 9
throughout 1
throw 1
thrown 1
throws 4
thumbs 1
thus 3
tiberium 1
tie 2
tied 1
time 29
times 2
title 1
to 465
toad 1
toast 1
together 4
token 1
told 7
too 1
touch 1
tow 1
toward 1
towards 3
town 1
townhouse 1
townsfolk 1
trace 1
track 1
tradition 1
traditional 1
trailed 1
trained 1
traitorous 1
trance 1
traveling 1
treat 1
treated 1
treats 1
tree 3
tribes 1
tribute 2
tries 9
triggers 1
trip 1
troops 1
trouble 2
troubling 1
troyeslemont 1
truly 3
trunk 2
trunks 1
trust 4
trusted 1
truth 3
try 6
trying 6
tsingani 1
turmoil 1
turn 1
turned 1
turnone 1
turns 2
twentyone 1
two 7
ugliness 1
unanimously 1
unbelievable 1
unconscious 3
undecided 1
under 15
underneath 1
understanding 2
understood 1
undo 1
uneasy 1
unfortunately 1
united 1
unites 1
unknown 1
unloaded 1
unnerve 1
unnerves 1
unofficially 1
unplanned 1
unravel 1
unrest 1
unseen 12
until 7
up 18
upcoming 1
upon 14
upset 3
upsets 1
urist 1
use 1
used 1
vague 1
valor 1
vanishes 1
vast 1
verging 1
verifies 1
verreuil 1
very 11
vessel 1
via 1
victims 1
villa 3
village 1
villages 1
violence 1
visit 1
vitals 1
voice 1
voices 1
votes 1
vow 2
vowed 1
vows 1
wait 1
waiting 1
waits 2
wake 1
wakes 2
walk 2
walked 1
walking 1
walks 1
walls 2
want 3
wanted 4
wanting 2
wants 7
war 8
warn 1
warns 2
warrior 1
was 23
watch 2
watched 1
watching 1
way 22
ways 3
weak 1
weapons 1
wear 1
wearing 2
wears 4
weaving 1
wedding 4
week 1
weeks 3
well 6
wellloved 1
went 1
were 1
wharf 1
what 30
when 8
where 11
whereabouts 1
whether 3
which 17
while 15
whisper 1
whispering 1
whispers 1
white 1
who 49
whole 2
wholly 1
whom 1
why 7
widow 1
wife 1
will 51
willing 4
wilt 1
win 1
wine 1
wins 1
winter 1
wise 3
wish 1
wished 1
wishes 2
with 108
within 2
without 9
witnesses 1
wits 1
woken 1
womb 2
women 1
wonder 1
wonders 2
wont 1
wood 1
word 10
wore 1
work 4
worked 2
working 2
works 1
world 2
worried 1
worries 1
worrying 1
worse 1
would 19
wound 3
wounds 1
woven 1
wrestler 4
writes 1
writhes 1
writhing 1
wrong 4
y 2
year 4
years 5
yeshuites 1
yet 1
you 1
young 2
your 2
ysandre 24
