155311
/m/014bqn
/m/014bqn
Leo Tolstoy
karlovich 1
killed 1
killer 1
kindhearted 1
kirilovich 1
kisses 1
knowing 1
known 1
kuragin 2
kuragina 1
kutuzov 2
large 1
last 5
late 2
laws 1
lead 1
leave 2
leaves 3
leaving 2
left 1
leg 1
letters 1
liberate 1
life 8
lifestyle 1
like 1
lise 4
live 2
living 1
load 1
loose 1
loses 2
loss 1
losses 1
lost 1
love 7
loves 1
maid 1
main 2
mainstream 1
maintaining 1
majority 1
makes 2
malice 1
man 5
management 1
manages 2
mannered 1
many 2
marauders 1
march 2
marches 1
maria 8
mariaremain 1
marriage 6
marriages 1
married 2
marries 2
marry 1
marrying 1
masonic 1
massive 1
meaning 1
meanwhile 2
medication 1
meets 3
midst 1
mikhail 1
military 3
mind 1
minute 1
mission 1
misunderstandings 1
mocks 1
moment 1
months 1
moral 3
more 2
moscow 16
most 3
mother 5
move 1
moves 1
much 2
muscovites 1
naively 1
napoleon 12
napoleonic 1
natalia 1
natalya 1
natasha 25
nature 1
near 1
necessary 1
necessity 2
never 1
new 1
newly 1
next 2
nihilistic 1
nikolai 15
nikolayevich 1
nikolayevna 1
nikolenka 4
nine 1
no 2
not 4
note 1
nothing 1
notified 1
notions 1
novel 5
now 2
nowrich 1
occupies 1
of 85
off 3
officer 5
often 1
old 3
on 13
one 2
only 3
open 1
opens 1
opera 1
opposes 1
or 2
orders 1
organized 1
orphan 1
orphaned 1
other 1
outside 1
outskirts 1
over 1
overdose 1
owing 1
panentheism 1
parents 1
part 5
particular 1
party 1
passionate 1
passions 1
past 1
pavlograd 1
pavlovna 2
paying 1
pays 1
peace 1
peasant 3
people 1
perhaps 1
period 1
persevere 1
person 1
petersburg 8
petya 3
philosophical 1
piece 1
pierre 34
pitchforks 1
pitiful 1
place 1
plan 1
plans 2
platon 1
pleads 1
pledges 1
plot 2
point 1
pointless 1
poland 1
polish 1
politics 1
poor 1
possibility 1
posters 1
pregnant 1
preparations 1
presented 1
presumably 1
pretense 1
pride 1
prince 20
princess 3
prisoner 2
problems 1
project 1
promise 1
promises 1
promising 1
propagandistic 1
proposal 1
proposes 2
prospect 1
prospective 1
protect 1
provincial 1
psychopathic 1
public 1
publishing 1
purpose 1
put 2
pyotr 2
queen 1
quest 1
question 1
questions 1
quickly 1
quixotic 1
raiding 1
raise 1
raped 1
rarely 1
rather 1
rationally 1
reaches 1
realizes 3
reason 1
reasons 1
rebuild 1
receiving 1
recognizes 1
recovers 2
recuperate 1
refuses 1
regiment 1
reinvigorates 1
rejected 1
relationship 1
released 1
religious 3
remain 1
remembers 1
renew 1
reported 1
reputedly 1
request 1
rescues 1
responsibilities 1
responsible 1
rest 1
result 4
retreat 1
retreated 1
retreating 1
return 1
returning 1
returns 1
reunited 2
revealing 1
revelation 1
revolt 2
revolutionary 1
rich 1
richest 1
rostopchin 1
rostov 13
rostova 1
rostovs 6
rousing 1
ruin 2
rumoured 2
russia 3
russian 11
russianfrench 1
russiangerman 1
russians 2
ruthless 2
sacking 1
saint 1
saintly 1
salon 1
same 1
sardonic 1
satisfied 1
saves 2
saving 1
scherer 1
schngrabern 1
scope 2
seasoned 1
second 2
section 1
seduce 1
seeking 1
seems 1
sees 2
serfs 1
series 1
seriously 1
serves 1
several 1
shallowness 1
she 6
shedding 1
shooting 1
shot 1
should 1
shunning 1
side 1
simply 1
since 1
sister 3
skirmish 1
sky 1
slaughter 1
small 1
smaller 2
smiles 1
smolensk 1
snatch 1
so 1
socializes 1
socially 1
society 6
sofia 1
soire 3
soldiers 3
solve 1
some 3
something 1
somewhat 1
son 3
sonya 7
soon 2
speaks 1
spend 1
spends 1
spirits 1
spiritual 2
spouses 1
squadron 1
standing 1
standoff 1
state 1
stirrings 1
straggling 1
strategic 1
strategist 1
streaks 1
stricken 1
stroke 1
strokes 1
struggle 1
struggles 1
such 2
suddenly 1
suffered 1
suffers 2
suicide 1
sum 1
summer 1
superficial 1
superficially 1
supports 1
surrounding 1
survives 1
sweetheart 1
take 5
taken 2
takes 2
task 1
taste 1
tells 2
temper 1
terrified 1
than 1
that 14
the 154
their 8
them 6
then 2
there 2
therefore 2
these 2
they 3
thinker 1
thirteenyearold 1
this 7
those 1
thousands 1
through 3
time 6
to 84
together 1
toilette 1
tolstoy 4
traits 1
transformed 1
transition 1
treating 1
trial 1
tribulationduring 1
troops 1
trying 2
tsar 2
turmoil 1
turn 1
turns 1
twentyyearold 1
two 2
ultimately 1
unambiguous 1
unctuous 1
undergoing 1
unexpectedly 1
unknown 1
unlike 1
unpredictable 1
until 1
up 4
upon 2
uprising 1
urging 1
uses 1
utterly 1
vain 1
vantage 1
vapid 1
vasily 1
vasilyevna 1
vast 1
vera 1
verge 1
very 1
victorious 1
victory 1
violent 1
vision 1
visit 1
visits 3
vivacious 1
vivid 1
vividly 1
waited 1
war 6
warobsessed 1
wars 1
was 1
watch 1
watching 1
way 1
ways 1
wealth 1
wealthy 1
wearing 1
wedding 1
wellorganized 1
what 2
when 4
where 3
which 5
while 6
who 11
whole 1
whom 4
wife 8
will 3
winter 2
with 35
withdraws 1
without 1
witnessing 1
woman 2
won 1
working 1
world 2
worried 1
would 4
wouldbe 1
wound 2
wounded 3
wounds 2
writes 2
written 1
wrong 1
yaroslavl 1
year 1
yet 1
young 6
youngest 1
