23563172
/m/05qg0y6
/m/05qg0y6
Patrick Rothfuss
interviews 1
into 3
intuited 1
invention 1
is 18
it 6
join 1
journey 1
keep 1
keeping 1
ketan 2
kidnapped 1
kill 1
kills 1
known 2
kote 1
kvothe 46
kvothes 1
lackless 2
lady 1
later 2
lead 1
leader 2
leads 1
learned 1
learns 2
leave 3
leaves 4
leaving 1
let 1
lethani 2
letters 1
likely 1
line 1
loan 1
locals 1
longer 1
lorren 1
loses 1
lost 1
maedre 1
maer 11
magic 1
make 3
makes 3
malevolent 1
malfeasance 1
manages 1
married 1
masquerading 1
master 2
matches 1
meaning 3
meantime 1
mecenaries 1
meets 1
meluan 4
member 1
men 1
mercenaries 2
mind 1
money 1
moneylender 1
months 1
moral 1
more 2
mortally 1
most 1
moves 1
much 1
musician 1
mythical 1
name 8
named 1
naming 2
nearby 1
need 1
needs 1
new 4
next 1
night 1
noble 1
north 1
not 1
notorious 1
occasionally 1
odd 2
of 35
off 3
old 1
omniscient 1
on 5
one 6
only 2
or 3
oracle 1
other 1
others 1
out 3
outnumbered 1
own 1
pardons 1
part 1
party 1
pass 1
passes 1
patronage 1
pause 1
pay 2
people 1
perform 1
persuades 3
philosophy 1
plans 1
please 1
poem 1
poems 1
poisoned 1
poisons 1
potion 1
powerful 1
present 1
presents 1
presumed 1
problems 1
promises 1
protect 1
protects 1
proves 2
provided 1
ran 1
rants 1
raped 1
reconnect 1
records 1
reduces 1
regains 1
release 1
remains 1
removes 1
renames 1
rendered 1
resident 1
rest 1
result 2
resumes 1
return 1
returning 1
returns 3
reveals 4
rid 1
ring 4
rises 1
road 1
rob 1
romantic 1
room 1
rooms 1
ruh 7
runs 1
rushing 1
safe 1
saicere 1
sales 1
same 1
sample 1
saves 1
security 1
seduced 2
seducing 1
seeming 1
seems 1
series 1
services 1
setting 1
severen 8
severenlow 1
shadow 1
shaed 1
share 1
shares 1
she 4
shehyn 2
shep 1
should 1
show 1
shut 1
sick 1
similar 2
single 1
sister 1
skill 1
slaughter 1
slips 1
so 1
soldiers 2
solid 1
some 2
song 3
songs 1
spectacularly 1
spread 2
stability 1
staged 1
starts 1
staying 1
steal 1
stealing 1
steps 1
still 1
stop 1
stories 1
story 5
studies 1
stupor 1
subsequent 2
subsequently 1
succeeds 1
successful 1
suggested 1
superior 1
suspicious 1
sword 1
sympathetic 1
sympathy 2
tai 1
take 1
talented 1
talents 1
tarbean 1
target 1
tax 1
teach 2
teacher 1
teaching 1
tell 1
tema 1
temper 1
tempi 4
temporarily 1
ten 1
term 1
terms 1
testing 1
tests 1
that 19
the 97
their 6
them 5
themselves 2
then 6
theory 1
these 1
they 5
thing 1
this 1
though 2
three 1
threpe 1
throw 1
thunder 1
time 3
to 74
town 2
traumatized 1
travel 1
traveling 1
treasurer 1
trebon 1
tree 1
trial 1
trip 1
troupe 2
trouper 1
troupers 1
true 1
try 1
tuition 3
tuitions 1
two 6
twothousand 1
uncertain 1
under 1
unequaled 1
university 7
until 1
up 3
use 2
uses 2
vashet 1
vintas 1
vintish 1
voodoopractics 1
wake 2
warriors 1
was 2
way 1
waylaying 1
weaves 1
well 1
were 2
what 1
when 4
where 3
which 4
while 4
who 6
whose 1
will 1
wills 1
wind 5
window 1
with 14
withdraw 1
wizard 1
women 1
woo 1
wooing 1
work 1
wounded 1
wounds 1
writ 2
write 1
writing 1
written 1
wrongdoing 1
year 1
yet 1
