974707
/m/03vtl0
/m/03vtl0
Nancy Kress
lucid 2
lucrative 1
made 1
make 1
makes 1
manic 1
massive 1
masterminding 1
may 1
mean 1
meanwhile 1
medical 1
meets 2
melling 4
men 1
mercy 1
mexico 2
might 1
mind 1
miranda 1
miri 10
money 1
more 4
most 4
mother 2
movement 1
movie 1
moving 2
much 1
murder 3
muscle 1
must 1
name 1
named 1
names 1
narrator 1
natural 1
nature 2
necessary 1
need 3
needs 3
neocortex 1
nervous 2
neural 1
new 6
news 1
next 1
nineteen 1
nineteenth 1
no 3
nonpayment 1
normal 3
not 7
notably 1
noted 1
novel 1
now 1
number 2
oath 3
obsessed 1
october 1
of 71
offer 1
office 1
often 1
oil 1
old 1
oldest 1
olympics 1
on 14
one 7
only 6
opener 1
opens 1
operate 1
or 3
orbital 2
orchestrated 1
organism 1
organs 1
original 1
other 6
others 1
ought 1
our 1
out 3
outsiders 1
over 1
overpriced 1
overrides 2
own 2
package 1
packets 1
paralyzed 1
paranoid 1
parents 2
part 1
partner 2
party 2
passes 1
patents 2
pathways 1
pendant 2
people 3
perceives 1
performance 1
performed 1
permanent 1
person 2
personal 1
philosophy 2
physically 1
piece 1
piles 1
place 1
places 1
placid 1
playground 1
political 1
population 1
portion 1
postpartum 1
practice 1
predicts 1
prejudice 1
premise 1
prepare 1
pride 1
primary 1
primitive 1
prior 1
pristine 1
private 1
privileged 1
problems 1
process 1
productive 1
products 2
project 1
propagated 1
proposed 1
protect 1
proved 1
provides 1
proving 2
purchased 1
purchases 1
purpose 1
quickly 1
rage 1
rail 1
rather 1
react 1
reasons 1
receives 2
recognizing 1
rectifies 1
refuses 1
regardless 2
regeneration 1
regression 1
rejuvenate 1
relations 1
remain 1
reminds 1
reports 1
research 6
researcher 2
reservations 1
rest 1
restratified 1
resulting 1
retreat 2
reveals 1
revelation 1
revenue 1
revenues 2
richard 3
right 1
road 1
rocky 1
roger 2
run 1
running 1
runs 1
sabotage 2
safe 1
safedeposit 1
same 2
sanctuary 23
save 1
saving 1
savior 1
scene 1
schools 1
scientific 1
scooter 1
seattle 1
second 2
secondary 1
secreted 1
sedated 1
seize 1
selling 1
sent 1
serena 1
serve 1
serves 1
service 1
set 2
several 2
shadow 1
shaken 1
sham 1
shape 1
shapes 2
sharifi 7
she 13
sheer 2
shepherds 1
shoddy 1
shortly 1
should 1
since 2
singlehandedly 1
sister 3
sleep 5
sleeper 2
sleepers 4
sleepless 23
sleeplessness 5
sleeplessonly 1
slidingscale 1
sloppy 1
slowly 1
so 3
society 1
socioeconomic 1
software 1
solely 1
solidarity 1
some 3
something 1
son 2
soon 1
sort 2
source 1
space 2
spain 1
specific 1
specifically 1
speed 1
spend 1
sponsors 1
staggering 1
stand 1
standard 1
standoff 1
star 1
startling 1
starts 1
states 3
station 1
stella 6
stole 1
stolen 2
stores 1
strengthened 1
strings 1
structural 1
stupidity 1
stuttering 1
sunnier 1
superbrights 2
supermdashhave 1
supers 5
supposedly 1
surrender 1
surrogate 1
susan 7
suspicious 1
swear 1
swiftly 1
system 2
systems 1
tables 2
take 4
tap 1
tax 1
taxed 1
taxes 1
technological 2
tenants 1
tenyearold 1
terms 1
texture 1
than 1
thankfully 1
that 27
the 136
their 7
them 5
themselves 1
then 3
therapy 2
there 2
thereafter 1
these 1
they 5
theyre 1
thing 1
things 1
think 2
this 2
those 1
though 5
thoughts 1
thoughtstrings 1
thoughtstringsmdashindeed 1
threat 1
three 1
threetiered 1
threw 1
through 2
throughout 1
time 3
times 1
to 58
today 1
together 1
told 1
tomorrow 1
tony 7
too 3
total 2
totally 1
touch 1
tour 1
trade 1
trauma 1
treated 1
treatment 1
trial 1
tricentennial 1
trouble 1
turn 2
turns 1
twenty 1
twentyfirst 1
twentyone 1
twin 2
twins 1
twitch 1
twitching 1
two 3
tycoon 1
unconscious 3
undereducated 1
unfortunately 1
united 3
unknown 1
unlocks 1
unmodified 1
unraveling 1
unspecified 1
until 2
unusual 1
up 2
upstate 1
use 1
used 1
various 2
vehicle 1
via 2
vibrate 1
viewers 1
violence 1
visual 1
vitality 1
vitro 1
volume 2
voted 2
votes 1
vs 2
waist 1
wait 1
wakes 1
waking 1
walcott 4
want 1
wanted 1
was 9
wasnt 1
wasted 1
watrous 1
way 2
ways 1
wealthy 1
weapon 1
well 1
welladjusted 1
wellfed 1
were 1
wesleep 3
whatever 2
when 6
where 1
which 13
whitecollar 1
who 12
whom 1
whose 1
why 1
wife 3
will 6
with 14
within 1
words 1
workingclass 1
world 1
worse 1
would 2
yagai 1
yagaiist 1
year 1
years 1
yenergy 1
york 1
younger 1
yours 4
