25525356
/m/09rtbwc
/m/09rtbwc
Karen Traviss
maybe 2
maze 2
meanwhile 2
meet 1
melusar 4
member 2
members 4
memories 1
men 1
mercenaries 1
mereel 1
merely 1
meulsar 1
might 1
mij 1
mission 1
monitor 1
most 4
mouth 1
named 1
natives 1
nature 1
needed 1
needs 1
nevertheless 2
new 4
night 2
niner 10
no 1
nobody 1
nononsense 1
not 5
notably 1
now 3
null 1
nulls 2
ny 1
nyreen 1
objective 1
occupation 1
of 34
off 2
old 4
omega 1
on 13
one 5
only 4
operations 1
opposing 1
ops 1
or 5
order 6
ordo 5
organization 1
orthodox 1
othersincluding 1
otherwise 1
out 5
outer 1
over 6
ovolot 1
own 2
padawans 1
palpatine 3
parents 1
part 2
people 1
persona 1
pick 1
plan 2
planet 4
plans 2
pleasant 1
pointing 1
possible 1
power 1
priest 7
problem 1
process 1
promised 1
prudii 1
pull 1
purge 1
purpose 2
put 1
qail 1
ragtag 1
realizes 1
reason 1
receive 1
receives 1
recently 1
recruited 1
rede 3
reestablishing 1
regrets 1
reluctance 1
remain 1
remaining 2
render 1
renegade 2
replaced 1
replacements 1
republic 3
resistance 1
respect 2
return 1
reveal 1
reveals 1
revenge 1
reverse 3
reverseaging 1
rim 1
river 1
rogue 1
roly 1
romance 1
roof 1
rule 5
ruled 1
run 1
sabotage 1
safety 2
sake 1
same 1
sargeants 1
savage 1
scout 4
second 1
seeing 1
sends 1
sensible 1
separated 1
serve 2
set 2
severe 1
she 4
ships 1
short 1
shows 1
side 1
sides 1
simply 2
since 1
singlehandedly 1
sith 2
skim 1
skirata 22
so 2
society 1
soldiers 1
some 2
somewhere 1
son 3
sons 3
soon 1
spaatigrown 1
space 1
special 1
spinal 1
spot 1
spread 1
squad 2
squadsnow 1
stabbing 1
star 1
starts 1
station 1
stay 2
stealers 1
stragglers 1
structures 1
struggle 2
such 2
suicide 1
supplies 1
survive 1
suspected 1
sympathizers 1
sympathy 1
take 1
tallisibeth 1
tasked 1
terminates 1
test 2
than 1
that 16
the 84
their 3
them 4
themselves 1
then 1
they 5
theyve 1
thinks 1
this 2
those 1
thoughts 1
threat 3
three 2
threeman 1
thug 1
thus 1
ties 1
to 58
together 1
too 1
toss 1
toxin 1
trade 2
train 1
trained 2
tries 1
triggering 1
trooper 1
troopers 1
troops 1
turmoil 1
turmukan 2
two 2
under 6
underground 1
unfortunately 1
unit 1
unite 1
unknown 1
unleash 2
unto 1
up 3
used 1
users 1
uthan 7
vader 4
vau 1
very 1
via 2
view 1
viewed 2
virus 4
visit 1
vital 1
vollen 6
wants 1
wars 3
was 6
watch 1
watching 1
weeks 1
well 2
wellbeing 1
were 2
werent 1
what 4
when 3
where 2
which 2
while 1
who 12
whoever 1
whom 1
wife 2
will 3
willingly 1
wiping 1
with 14
within 2
without 1
working 1
worse 2
would 6
wouldnt 2
wounded 1
yelgo 1
yoda 1
zey 4
