18302404
/m/04cs5l3
/m/04cs5l3
Sergey Lukyanenko
successfully 1
such 3
supercomputer 1
superhuman 1
surprisingly 1
surroundings 1
synthesize 1
taii 1
take 2
taken 2
takes 3
taking 1
talk 1
temporarily 2
temporary 1
terminal 1
territory 1
test 1
that 20
the 113
their 6
them 1
then 1
there 2
they 2
thing 1
thinking 1
thinks 1
this 8
throne 1
through 2
time 2
to 65
too 3
tour 1
tourists 2
trace 1
transformation 1
transport 1
tries 1
true 2
truly 1
try 1
turn 1
turned 1
turns 2
two 3
ukraine 1
unable 1
undeniable 1
under 2
undercover 1
understand 1
understanding 1
understands 1
unformed 1
unfortunately 6
unique 1
unite 1
united 1
unneeded 1
unnoticed 1
untested 1
until 1
up 2
used 1
uses 2
using 1
usual 1
usually 1
utterly 1
valk 1
very 2
victor 1
virtual 3
visitors 1
wanted 1
wants 1
war 4
warrior 1
was 8
watchful 2
watson 1
way 2
weak 1
well 1
were 2
what 1
whatever 2
when 2
where 1
which 4
while 5
who 9
will 7
with 14
within 2
without 1
work 2
working 1
world 2
would 4
wounded 1
zeiso 4
zodiac 1
