5409030
/m/0dkk93
/m/0dkk93
Steve Lyons
dozen 1
dr 26
dreams 3
drive 1
drugs 1
duty 1
dying 2
earth 4
easily 1
effect 1
eighth 1
elements 1
emerges 2
encounter 1
energy 8
england 1
english 1
enough 2
enros 9
enter 1
era 1
eradicator 1
escape 2
escaping 1
evade 1
even 2
eventually 2
ever 1
everyone 2
evil 3
executed 1
existedand 1
explaining 1
extent 1
exterminates 1
extermination 1
fact 2
fades 1
failure 1
fault 1
fear 1
fellow 4
fiasco 1
fiction 2
fictional 11
field 2
fight 2
fights 1
finally 1
find 2
finding 1
finds 4
finish 2
fireball 1
first 2
flaw 1
flee 1
fleeing 1
flees 1
floods 1
focus 1
followers 6
foolish 1
for 17
force 3
forced 1
forcefield 1
forces 3
forget 1
forgets 1
form 2
former 2
fortunately 1
found 1
foundation 1
free 1
freeing 1
friends 1
from 13
frustration 1
future 3
galactic 4
gap 7
gave 1
generators 1
genocide 4
get 3
gets 1
getting 1
giant 1
give 1
given 1
gives 3
glebe 1
go 2
gone 2
good 1
green 3
grim 1
grounds 1
grow 1
guard 3
guards 2
guilt 2
guilty 1
guns 1
guntoting 1
had 1
hapless 1
happens 1
has 15
have 10
he 23
head 1
hed 2
hell 1
help 5
helpful 1
helping 1
helps 1
her 17
herself 1
hes 6
hides 1
hiding 1
him 14
himself 2
his 40
historical 1
hold 1
hope 4
hopes 1
horribly 1
horrific 1
horrified 3
hostile 1
however 5
human 1
if 2
illusory 1
imprison 1
imprisoned 1
in 33
incarnation 5
incident 1
increasingly 1
individual 1
inexplicably 1
influenced 1
inhabitants 1
innocent 1
inside 1
insists 2
instantly 2
interfering 1
interior 1
internecine 1
interrogation 1
into 12
intruders 1
irritates 1
is 28
isnt 1
issues 1
it 8
its 6
jason 37
jasons 2
join 2
just 6
kadiatu 1
kat 4
katlanna 5
katlannas 1
keep 1
keys 1
kidnap 1
killed 2
kills 1
knew 1
knocks 1
knowing 1
knows 1
land 3
lands 1
last 3
late 1
later 1
learn 1
leave 1
leaves 2
leaving 1
left 1
legitimise 1
leisure 1
let 1
lethbridgestewarts 1
light 1
like 2
live 1
lizard 5
lizards 1
locate 1
longer 2
looked 1
looking 1
lords 1
lowgrade 1
lying 1
machine 1
made 1
make 1
manifest 1
manipulation 1
many 1
materialisation 1
materialise 1
mean 1
means 1
meanwhile 3
mel 15
meland 1
memory 1
mercy 1
message 1
mind 3
miracle 17
mission 1
moment 3
moments 2
monster 1
monsters 3
months 1
morality 1
more 2
move 1
must 5
natives 1
nature 1
navigate 1
navigating 1
nearly 1
neat 1
need 2
needs 1
never 2
new 6
newcomers 1
newly 1
newspaper 1
ninety 1
no 5
nobody 1
notices 1
now 1
oblivious 1
observation 1
odd 1
of 53
off 6
on 7
once 2
one 5
ones 1
only 4
onto 1
opened 1
opportunity 2
oppressive 2
order 5
ordinary 1
out 7
over 5
overloads 1
own 4
palace 5
panics 2
part 2
parts 1
pass 1
passes 1
past 2
peace 1
people 3
perceived 1
percent 1
person 1
picks 1
picture 1
place 1
planet 3
planets 2
plans 1
plenty 1
point 2
pointless 1
politik 1
population 2
position 1
posted 1
poverty 1
power 2
powers 2
precedence 1
prepare 1
prepares 1
primitive 1
primitives 1
prison 8
prisoners 2
problem 1
process 1
promised 1
promises 2
promotion 1
proof 1
proper 1
prospects 1
protestors 1
providing 1
public 1
pursue 1
put 1
puzzled 2
queen 3
queens 1
quietly 1
rail 1
random 1
rather 2
raving 1
reach 2
real 4
realise 1
realises 2
really 1
rebel 4
rebels 4
recalls 1
recovers 1
refuses 2
regenerate 1
relatively 1
releases 1
religion 1
remaining 1
remove 1
reportsand 1
rescue 3
rescuing 1
research 1
reshaped 1
resist 1
resistance 1
responsible 1
restores 1
restoring 1
resurrect 1
resurrected 1
return 6
returned 1
returning 1
returns 2
reunited 2
revelation 1
rich 1
rid 1
rifle 1
right 1
roz 10
rozs 1
rule 1
ruler 2
sacrifice 1
sacrificed 1
sadly 1
save 2
saved 1
scraped 1
scratch 1
seals 1
searching 1
secretive 1
see 2
seep 1
sees 3
seize 1
sends 2
sense 1
sequel 1
servant 1
set 5
sets 1
seventh 2
several 1
shake 1
she 7
sheffield 4
shes 2
ship 1
shoots 1
short 1
shouts 1
shut 1
side 1
significance 1
silurian 1
simple 1
simplistic 1
since 1
sixth 5
slaughtered 1
smart 1
smash 1
so 4
soldier 1
solution 1
solved 1
some 1
space 1
spaceship 1
spare 1
sports 1
squabbling 1
squeeze 1
staff 1
stake 1
start 2
steal 1
steals 1
still 1
stop 2
stopgap 1
storm 1
storms 1
stranded 1
streets 1
stronghold 1
structure 1
student 1
succeeds 1
suffered 1
sun 1
superior 2
surface 1
surrounding 1
survive 1
survives 1
system 1
take 3
taken 1
takes 1
talk 1
talking 1
tardis 13
task 1
team 1
tear 1
temptation 1
terms 2
terrible 1
than 2
that 33
the 206
their 14
them 10
themselves 1
then 10
there 2
therefore 1
these 1
they 12
theyre 1
theyve 2
things 2
think 1
thinking 1
this 6
thoughtlessly 1
through 6
thus 5
time 6
timehopper 1
times 3
to 106
together 1
told 1
too 1
topple 1
tracking 1
train 1
transforming 1
transmat 1
travel 4
travels 2
tribal 1
tribesmen 1
tricked 1
tricks 1
tries 3
true 2
truly 1
try 5
trying 3
unable 4
unaware 2
uncertain 1
under 2
understands 1
undying 1
unenviable 1
unguarded 1
unit 2
universe 5
until 1
unwittingly 1
up 7
upon 2
upper 2
use 2
used 2
uses 2
usher 1
vacuum 1
vagaries 1
valeyard 2
vanish 2
vanishes 1
vanishesleaving 1
venture 2
violent 1
voice 1
waiting 1
waits 1
wanders 1
warning 1
warped 1
was 8
wasted 1
watch 1
way 3
ways 2
weak 1
weakness 2
weapons 1
welcome 1
well 2
were 1
what 1
when 10
where 3
which 9
while 3
whips 1
who 32
whos 1
why 1
wider 1
will 10
winifred 1
wipe 1
wiped 1
wishes 2
with 14
withheld 1
within 2
without 2
work 3
world 7
worry 1
worship 1
writer 1
wrong 1
wrongs 1
yet 1
young 2
