23469586
/m/07k5t0d
/m/07k5t0d
John Ringo
conducted 1
conference 2
confident 3
confined 1
confirmed 2
confirms 1
conspiracy 1
conspirators 4
consult 1
contact 5
contacted 1
contacting 1
contain 1
contamination 1
contemplate 1
contemplates 1
contemptuously 1
contend 2
content 1
continent 1
continue 4
control 5
controlled 1
controls 1
conveniently 1
conveys 1
convince 1
convinced 1
convoy 4
cooperate 1
cooperation 1
coopting 1
cord 26
cosmetics 1
cost 1
costas 1
costing 1
could 1
council 3
counterattacks 1
coup 3
couple 1
coupled 1
course 1
cove 2
cover 3
covered 1
covering 1
crafty 1
crank 1
crazy 1
creating 1
creature 1
creatures 1
cred 2
crew 5
crewmen 1
critically 1
crossing 1
cultural 1
cultures 1
curtail 1
customs 1
cut 1
dam 1
damage 1
dangerous 2
dara 3
database 1
daughter 7
dawn 1
days 2
de 1
deactivate 2
dead 3
deal 1
dealing 2
death 1
decapitates 1
decide 6
decides 5
decimates 1
decision 2
decisive 1
deck 3
decks 1
declares 1
decline 3
decrees 1
deemed 1
defeat 2
defeating 1
defenses 3
deftly 1
delegation 1
deliberate 1
delight 1
deluge 1
demand 2
demanded 1
demands 3
denat 9
depart 1
depredations 1
depth 2
designed 1
despite 6
despreaux 8
destroyed 1
destroying 1
detection 2
detonated 1
developments 1
diaspran 1
did 1
died 1
dies 1
different 2
difficulty 1
dinner 1
dire 1
disable 1
discomfited 1
discover 2
discovered 1
discovers 1
discuss 5
discussing 1
discussion 1
disengage 1
dismasted 1
dispatching 1
displeasure 1
disrupted 1
district 1
dna 1
do 4
dobrescu 6
doc 1
docks 2
does 5
doesnt 1
doghouse 1
dogzard 3
doing 1
done 2
doors 1
double 1
down 7
dragged 1
dressed 1
drops 3
due 1
dump 1
dumping 1
during 2
dying 2
dynastic 1
each 3
earl 2
earring 1
earth 1
easier 1
eastward 1
eaten 1
effective 1
either 2
elaborates 1
else 5
emerald 1
emperor 1
emphatically 1
empire 5
empress 12
encampment 1
enclave 1
encounter 1
encountered 2
end 5
endangering 1
ended 1
ends 2
engage 2
engagement 3
enjoyed 1
enormous 1
enough 3
enraged 1
entail 1
enter 1
enters 1
entire 3
entirely 1
entry 2
equally 1
erkum 1
eruption 1
erupts 1
escape 4
establish 1
even 4
events 1
eventually 4
every 4
everybody 2
everyone 1
evidence 4
exactly 1
examining 1
exception 1
exec 1
executive 1
exile 1
exit 2
expects 1
expeditions 1
experience 1
expired 1
explain 1
explaining 1
explains 6
explanation 1
explosives 2
extreme 2
extremely 1
eye 1
faces 2
facilities 1
fact 2
facto 1
failed 2
fails 1
fain 2
fallen 1
family 2
fanatic 1
far 8
farewell 1
fast 1
fatalities 1
fate 1
father 5
favor 1
fear 1
fearing 1
fears 2
feed 1
feelings 1
feels 3
female 3
few 8
fight 4
fights 1
figure 1
files 1
filled 1
finally 3
find 7
findings 1
finds 7
finish 1
finishes 1
fiorello 1
fire 11
firepower 1
first 7
fish 2
fitting 1
fleet 3
flooding 1
flotilla 4
fly 1
follow 2
followed 2
food 1
foolishness 1
foot 1
for 50
force 1
forced 2
forceful 1
forcefully 1
forces 5
forcing 1
foremast 1
formation 1
fort 2
fortifications 1
fortress 7
found 3
founded 1
free 1
freighter 1
frequenty 1
friend 1
from 27
front 1
full 3
fullcourt 1
functionary 1
furious 1
furiously 1
further 1
gaining 1
game 1
gaps 1
gastan 9
gaston 1
gate 2
gatehouse 4
gates 5
gathered 1
gathering 2
gear 1
general 1
genetics 1
geology 1
gestating 1
get 9
gets 1
getting 2
gianetto 1
giant 2
giovannuci 6
giovanucci 1
given 2
gives 2
glaring 1
gleeful 1
gleefully 1
go 4
god 7
goes 4
going 2
good 1
goods 1
goons 1
government 1
governor 8
grant 1
granted 2
great 1
greatly 1
greet 1
grenades 1
grews 1
groins 1
gronningen 2
ground 2
group 1
grows 1
guard 5
guards 15
guardsmen 1
guessed 1
guesses 1
guides 1
gun 1
gunfire 1
gunned 1
gunpowder 1
guns 1
hacking 1
had 13
half 3
hand 1
handed 1
handful 1
handshake 1
handshakes 1
hard 1
harpoon 1
harvard 1
has 22
hash 1
have 21
havent 1
having 5
he 60
head 8
headed 4
hear 1
hearing 1
heavier 1
heaviest 1
heavily 2
heavy 1
heir 1
held 2
hell 1
help 3
helping 1
helpless 1
hemh 4
hemm 1
her 19
hidden 1
hide 1
high 16
highly 4
hills 1
him 44
himself 9
his 80
hold 2
home 2
hometown 1
honor 3
hooker 2
hope 1
horizon 1
horrific 1
horror 1
hostile 1
hostility 1
hot 1
house 1
how 2
however 9
huddled 1
huge 1
human 6
humans 21
humiliate 1
hurl 1
ibi 2
identification 1
identified 1
identify 1
identity 3
idiocy 1
idiot 1
idle 1
idyllic 1
if 3
ignorance 1
illtempered 1
ima 2
immediate 1
immediately 5
immense 2
impact 1
impales 1
imperial 5
important 1
impose 1
impossible 2
in 86
including 1
incompetence 1
inconsistencies 1
increasingly 1
incurring 1
indefinitely 1
indicating 4
individuals 1
induces 1
infamous 1
infantry 1
infantryman 1
infers 1
inflicts 1
information 1
informed 1
initial 2
initially 2
injured 1
injuring 1
insertion 1
inside 2
inspection 4
inspiration 1
intel 2
intelligence 1
intended 1
intends 2
intense 2
intentions 1
interested 1
interesting 1
internal 1
interposes 1
interred 1
intervene 1
into 10
intrigued 1
introduces 1
invitation 1
irony 1
is 85
island 1
islands 1
isolating 1
it 39
items 1
its 6
jackson 3
jam 1
jewelry 1
jin 18
john 3
journey 2
judgment 1
julian 12
jumped 2
just 4
keeping 1
kerr 3
kick 1
kill 5
killed 7
killing 1
kindly 1
king 1
kirsti 14
knee 2
know 1
kostutic 1
kosutic 6
kranolta 3
krath 42
krindi 3
kvaern 2
kvaernian 3
kvaernians 1
laid 1
lake 2
language 4
languages 2
large 4
last 1
later 1
latter 1
laugh 1
laughter 1
launch 2
launches 1
leader 1
leaders 1
leadership 1
leads 1
lean 1
leaps 2
least 5
leave 4
leaves 1
led 2
ledge 1
left 4
legitimate 1
legs 1
lemmar 2
lemmaran 7
less 1
life 4
light 1
like 3
likely 1
limb 1
limited 2
line 1
linguistic 1
little 1
loads 1
local 10
locals 8
located 1
locates 1
lock 2
locked 1
long 5
look 1
looking 1
looming 1
looting 1
lorak 5
lord 1
lose 1
loss 2
losses 1
lost 1
loyalists 1
loyalty 2
luck 1
lucky 1
macek 1
madrid 1
main 2
mainland 2
make 5
making 3
man 1
manage 10
managed 3
manages 7
managing 1
maneuverable 1
mansul 6
many 8
marduk 4
mardukan 7
mardukans 7
marine 4
marines 31
markets 1
marriage 1
marry 2
marshad 1
massive 1
mating 1
matter 4
may 1
mayor 1
meantime 1
meanwhile 1
meet 2
meeting 2
meets 3
melt 1
member 2
members 1
mentions 4
mercenaries 1
mess 1
message 3
met 1
midway 1
might 6
military 2
minor 2
minutes 1
mission 2
mistake 1
modesty 1
moment 2
monomachete 1
months 2
more 10
most 5
mother 6
mountain 2
mountainside 1
mounted 1
mounting 2
mountmarch 3
mounts 1
mourn 1
move 2
much 6
mudh 5
must 2
naked 1
name 1
named 1
nanopacks 1
nave 2
navy 1
nco 3
near 2
nearing 1
necessary 2
need 3
needs 2
nervous 1
never 1
new 5
newer 1
next 1
night 1
nimashet 1
no 5
nobody 1
nods 1
none 2
nopet 2
not 18
noted 1
nothing 1
notice 3
notices 2
noticing 1
notify 1
now 7
nujam 2
number 1
numerical 1
objectives 1
obligated 3
obvious 2
obviously 1
ocasey 9
occurred 1
ocean 3
of 154
off 7
offered 1
office 1
officer 1
offworld 3
oil 1
old 1
omen 1
on 50
once 5
one 13
oneshot 4
oneshots 1
only 12
onto 2
open 5
openmouthed 1
opens 1
ops 1
or 10
orbit 2
order 1
ordering 2
orders 13
originated 1
other 14
others 4
out 33
outnumbered 1
outright 1
outside 3
over 9
override 1
overwhelm 1
own 6
pahner 35
part 1
particularly 1
parties 1
partners 1
parts 2
party 3
pass 3
passage 1
passengers 1
passes 1
passive 1
past 1
path 1
pedi 28
pedophilia 1
people 6
peoples 1
perimeter 1
permission 1
permits 1
permitted 1
perplexed 2
person 2
personally 2
personnel 2
petition 1
phosphorus 1
physical 1
picking 1
pike 1
pilots 1
pirate 4
pirates 5
pitchfork 1
place 3
places 2
placing 1
plan 6
planet 1
plasma 2
plead 1
pleased 1
pledges 1
plenipotentiary 1
plus 1
pocking 1
poertena 1
point 3
pointing 1
points 4
pol 1
politely 1
political 2
polity 1
population 2
port 13
portena 10
pose 1
position 2
possibility 1
possible 1
practice 1
practicing 1
preassure 1
predicament 1
predicted 1
pregnant 1
preparation 1
preparations 1
prepare 2
prepared 1
presence 3
present 1
presents 1
press 1
pressed 1
pressing 1
pretense 2
previous 1
previously 1
price 1
priest 9
priesthood 1
priests 3
primary 1
prince 3
prisoner 2
prisoners 3
private 1
privately 2
prize 1
probably 1
problem 3
problematic 1
problems 1
proceed 2
proceeds 3
process 3
professes 1
prolonged 1
promise 1
properly 3
proposal 1
proposes 1
propositions 1
protect 2
protected 1
protection 1
proverbial 1
provided 2
providing 1
public 2
pull 1
pulls 1
punitive 1
purchase 1
purpose 2
pursued 1
pursuit 2
put 2
qnkok 1
quarters 1
questionable 1
questioning 1
questions 1
quickly 3
quorum 1
radios 1
ragged 1
raided 1
raiders 2
raiding 2
raids 1
rain 3
raise 1
rake 1
rapidly 1
rarely 1
ras 1
rastar 2
raster 1
rather 2
reach 5
readings 1
ready 1
real 1
realize 1
realizes 1
realizing 1
really 2
rear 1
reason 4
reasons 1
recapture 1
receive 3
recent 1
recess 1
recognize 1
recognizes 1
recommends 1
recording 1
recovers 1
recreating 1
recruit 1
recuperate 1
refueled 1
refuse 1
refuses 3
regent 1
regimented 1
region 1
regions 1
reinforcements 1
relations 1
relationship 1
relayed 1
relegated 1
relents 1
relies 1
religion 1
reluctant 1
remain 3
remaining 3
remains 2
remarkably 1
remonstrate 1
removed 1
renounce 1
repeatedly 2
replace 1
replaced 1
replicator 1
report 4
reports 1
repulsive 2
request 1
require 1
requires 1
requiring 1
rescue 5
resistance 1
resisting 1
response 1
rest 4
restored 1
restrictions 1
result 2
resupplying 2
retain 1
retainers 1
retake 1
reticence 1
return 2
returning 2
reveal 1
reveals 3
ribs 1
richlyclad 1
ricocheting 1
riflemen 1
rifles 3
rigging 1
right 3
ripping 1
rise 1
rising 1
risk 3
river 1
robes 1
rogar 1
roger 96
roll 1
room 1
royal 1
runners 1
sacrifice 3
sacrificed 1
sacrifices 1
safely 1
sails 1
saint 3
saintjohn 1
saints 1
same 4
satchel 1
satisfaction 1
satraps 1
satrapy 1
save 4
saved 1
saving 1
saying 1
says 1
sayso 1
scab 1
scale 1
scans 1
scattered 1
schedules 1
score 1
scourge 2
scouting 1
sea 3
search 1
season 3
seasons 1
second 2
secretive 1
security 1
see 4
seeing 1
seeking 1
seems 3
seen 5
sees 1
seizing 1
selfdestruct 4
semihibernation 1
sena 1
sending 1
sends 2
senior 3
senses 1
sensitive 1
sent 2
seran 1
series 1
serious 3
seriously 3
servant 2
serve 1
servent 1
servents 1
service 1
serving 1
session 1
set 3
sets 1
several 3
severely 2
sgt 1
shadem 3
shake 1
sharpshooters 1
she 17
sheer 1
shell 1
shesul 2
shield 1
shin 19
ship 27
shipboard 2
ships 17
shopping 1
short 1
shortly 2
shot 3
shots 2
should 3
shoulder 1
shouting 1
shove 1
show 2
shut 1
shuts 1
shuttle 2
shuttles 1
sides 1
signal 1
signs 1
silver 1
similar 1
similarities 1
simply 1
since 9
single 4
sister 1
site 1
situation 4
size 1
skeptical 1
slave 1
slavery 1
slaves 1
sleeping 1
slim 1
small 1
smiles 1
smuggle 1
smuggled 1
snatching 1
snorts 1
so 9
societies 1
society 1
sold 1
solve 1
some 5
somehow 1
someone 1
something 4
somewhat 1
son 3
soon 4
sooner 1
soontobe 1
sor 10
sort 1
soul 1
source 1
space 3
spaceport 10
spare 1
speak 3
spear 1
special 1
species 1
speed 1
spitting 1
spoiler 1
spots 1
spreading 1
spy 1
squad 4
srem 1
staff 4
started 2
state 1
statement 1
states 4
stating 1
status 1
stay 3
steel 1
still 8
stop 3
stopped 1
storage 1
storm 3
storms 1
story 6
strain 1
strange 2
streets 1
strem 2
strength 1
stripped 1
strong 1
struck 1
stupidity 1
subcontinent 4
subtly 2
succeed 1
succeeded 1
succeeds 1
successful 1
such 5
sudden 2
suddenly 3
suggests 1
suits 3
sunk 1
supervision 1
supplies 3
supply 1
supports 1
sure 1
surging 1
surmises 1
surprise 2
surprised 3
surprises 1
surrender 6
survive 1
survived 1
surviving 2
suspicious 3
sustain 1
swearing 1
switches 1
swivel 1
swords 1
sworn 1
system 1
taboos 1
tactics 1
take 5
taken 2
takes 2
taking 2
targ 1
tattoos 1
teaching 1
team 5
teams 1
teb 16
telling 2
tells 10
temple 3
temu 13
tending 1
tense 1
than 7
thank 1
thanks 1
that 116
the 549
their 46
them 33
then 39
theocracy 1
theology 1
theories 1
there 9
thertik 1
these 2
they 61
theyd 1
theyll 1
theyre 2
thieves 1
things 4
this 10
those 3
though 6
threatens 1
threats 1
three 4
throat 1
throne 1
through 4
throughout 1
throwing 1
thrown 1
throws 2
tide 1
time 6
titles 1
tleen 3
to 262
tob 1
together 1
told 3
tone 1
too 7
took 2
toot 1
torn 1
torpidity 1
tosses 1
total 1
towards 6
town 2
trace 1
trade 4
train 1
trained 1
training 1
traitor 1
tral 1
tramp 1
translation 2
translator 1
transpired 1
travel 2
travelling 1
treason 2
treated 1
trek 2
tribe 1
tricam 1
tries 2
trip 1
troops 13
true 2
truly 1
try 1
trying 2
tub 1
turn 5
turns 6
turom 1
twins 1
twist 1
two 8
tying 1
unbeknownst 1
under 6
undercover 1
uneasy 1
unfazed 1
unfortunately 1
uniforms 1
unknown 1
unofficially 1
unquestionable 1
unscathed 1
unsuccessful 1
unsure 1
untenable 1
until 3
unusual 1
up 19
upcoming 1
upon 12
upperclass 1
upwind 1
use 3
used 3
uses 1
uterine 1
valet 1
valley 6
variables 1
various 2
vashin 1
vasin 3
very 3
vessel 2
viewed 1
village 1
violently 1
visit 1
visiting 1
voitan 1
volcanic 1
volcano 1
volley 1
volunteer 1
voyage 1
walked 1
wall 1
walls 4
want 2
wanted 1
war 2
warlord 1
warrior 2
warriors 5
was 11
washinghome 1
wasnt 1
water 1
waters 1
way 8
ways 1
we 1
wealth 1
weapon 2
weaponry 1
weapons 6
weaponstraining 1
week 2
well 5
wellplaced 1
werd 2
were 5
western 1
what 8
when 16
where 10
whether 2
which 9
while 23
white 1
who 44
whole 1
whom 3
whose 2
why 3
wife 1
will 18
willing 3
wind 1
winds 1
wishes 1
wishing 1
with 73
withdraw 1
withdrawal 1
within 1
without 5
witness 1
women 1
wonder 1
wonders 2
wont 1
woods 1
word 3
work 1
worry 1
worse 1
worshippers 2
would 4
wounded 2
wounding 1
wounds 2
wrench 1
write 1
wrong 1
xintai 2
yelling 1
yet 1
yield 1
ymyr 1
youngest 1
zuiko 1
