34266483
/m/0hzq8f8
/m/0hzq8f8
Lee Goldberg
extracted 1
fact 3
fall 2
falls 1
fame 2
family 1
famous 2
farmer 1
fatal 1
favor 1
feelings 1
feikema 5
fell 3
fever 1
few 6
field 1
figure 1
figured 3
filthy 1
final 1
finally 2
find 3
finds 2
fingernails 1
first 3
flakes 1
flickered 1
follow 1
for 27
forced 2
form 1
former 1
forward 1
found 3
frame 1
framing 1
francisco 1
from 31
front 2
furnace 11
gallery 1
gambling 5
game 2
garage 1
gator 18
gave 1
george 1
get 1
gets 2
gilman 11
gives 1
go 2
going 2
gold 21
golden 7
gone 1
good 2
gorman 18
got 3
gotten 1
grass 1
great 1
guard 6
guilty 1
gun 3
gunpoint 1
guns 1
guthrie 5
guy 1
had 13
halloween 1
hammered 1
hands 1
hank 2
happen 1
happened 9
happening 1
hard 1
harley 1
has 12
hates 1
have 17
having 2
he 45
head 3
hear 1
hearing 1
heist 2
held 3
help 2
helped 1
helping 2
her 10
herself 1
hidden 1
hiding 2
high 1
him 18
himself 2
hinting 1
hired 3
his 30
historian 1
historic 1
history 1
holding 1
holdup 2
holes 2
home 1
hoping 1
hospital 2
hour 1
house 6
housed 1
housing 1
how 3
however 4
husband 2
i 1
if 7
ill 1
important 3
in 62
incident 1
including 1
indeed 1
information 1
informs 2
injuries 1
inside 3
instead 3
intending 1
interest 3
interested 1
interesting 1
interestingly 1
interview 2
into 14
introduce 1
introduces 1
involved 2
involves 1
is 28
it 20
its 1
jackson 1
jake 3
job 6
journal 2
just 2
kansas 2
keen 1
keep 1
kelton 31
kill 4
killed 11
killer 7
killing 2
kills 1
knew 3
knocked 1
know 2
known 2
knows 1
last 2
late 1
later 5
layer 1
leading 1
leap 2
learn 2
learning 1
learns 1
leave 2
leaving 1
left 2
lenihan 2
leonard 2
less 1
lieutenant 1
life 1
lights 1
like 5
likely 1
line 1
lips 1
live 1
lives 2
living 1
load 1
loaded 1
local 4
locate 1
located 1
locomotive 12
lodged 1
log 1
lolly 1
look 2
looking 1
loose 1
loot 2
lung 1
lure 2
lydia 1
lying 1
made 6
main 2
make 3
makes 1
making 1
man 4
managed 1
manny 13
many 1
mark 2
married 1
masked 1
masks 2
mcelroy 7
meaning 1
mechanic 1
medium 1
meet 1
melting 1
men 2
mentioning 1
mentions 3
middle 1
midnight 1
might 3
migrate 1
migrating 2
mine 4
miner 3
miners 2
mining 6
minus 1
missed 2
mistook 1
mixed 1
model 1
modern 1
moment 1
momentary 1
money 6
monk 47
months 3
more 5
morning 1
most 4
mouth 3
move 1
moved 2
moving 1
mr 2
much 2
mug 1
muggings 1
murder 4
murderer 1
museum 14
must 1
mystery 1
named 5
namely 1
napkin 1
narrated 3
narrator 1
natalie 32
natural 1
needed 1
neither 1
never 3
next 4
night 4
nights 2
no 1
nonetheless 1
not 7
notes 4
nothing 1
notice 2
noting 1
novel 1
now 3
observes 1
observing 1
obvious 1
of 76
off 7
office 2
officers 1
old 6
on 17
once 2
one 9
ones 1
only 3
onto 1
open 1
opens 2
operation 3
operations 1
or 4
order 1
other 2
others 1
out 32
outside 2
over 4
overnight 1
overpowering 1
overwhelming 1
own 1
panic 2
parent 1
parked 1
parole 1
part 3
party 1
pass 1
passed 1
passenger 1
paychecks 1
pebble 2
people 2
perfect 1
perfectly 1
perimeter 1
period 1
person 1
photos 4
pick 3
pickup 1
pisspoor 1
place 4
placed 1
placer 1
placerville 1
plan 3
planned 2
planning 1
planted 2
platform 1
players 1
plus 1
pockets 1
point 2
pointofview 2
points 1
poker 1
police 5
pops 1
portaining 1
portions 1
pothole 2
powder 1
prearranged 1
prepares 1
present 2
prevent 1
prison 1
private 1
prologue 2
promise 1
property 2
proposing 1
prove 1
proves 1
public 1
pull 1
pulling 1
pursuing 1
put 5
puzzling 1
questions 1
race 1
rail 7
railroad 1
ralph 5
randisi 1
reach 2
reached 1
read 2
reading 1
reads 5
realizes 1
reason 1
reasons 1
received 1
recently 1
recovered 3
recovering 2
recruited 1
refers 1
regains 1
regards 1
rejoin 1
released 1
remaining 1
remembered 1
removing 1
renowned 2
reprieve 1
reputation 1
responsible 3
restaurant 1
result 1
resulting 1
retired 2
retirement 1
return 2
revealing 1
reveals 2
right 1
ripping 1
road 2
robbed 1
robber 2
robbers 6
robbery 17
rock 1
rocks 2
roof 1
rounds 2
routine 1
rumored 1
run 3
running 1
rush 2
sacks 5
sacramento 2
safely 1
salt 2
salting 1
samples 1
sampling 1
san 1
saw 1
says 1
scene 3
scheme 2
scrapped 2
search 1
searched 1
seconds 1
secret 1
security 3
see 3
seeing 1
seems 2
selling 2
sense 1
sensors 1
service 3
several 7
sfpd 2
shack 2
shaft 1
shafts 1
shape 1
shares 2
she 11
sheriff 2
shootout 2
shoots 1
shortened 1
shot 6
shots 1
shoulder 2
shows 2
signal 1
signed 1
simply 1
since 3
six 2
skeptical 1
sketch 1
skull 1
sleeping 1
sling 1
slit 1
slocum 11
small 2
smashing 1
snake 1
snatched 1
so 2
sober 1
solve 1
solved 1
solves 1
solving 1
some 7
somehow 2
someone 2
soon 1
soot 1
spatter 1
spending 1
spends 1
spent 1
spilled 1
splinters 1
square 1
squeaky 1
staged 1
staging 1
stakes 1
start 1
started 1
state 1
statement 1
station 2
stealing 1
steam 1
steering 1
stop 1
stopped 2
story 8
stottlemeyer 8
struck 2
struggles 1
struggling 1
stuff 1
stupor 2
substories 1
suddenly 2
suggest 1
support 1
supported 1
supposed 2
sure 1
surprise 1
survived 1
suspected 1
suspects 2
suspicion 1
swarm 2
swingaway 1
take 2
taken 3
takes 1
taking 1
talk 1
talked 1
tape 1
tar 1
teeger 1
telling 1
tells 3
testing 1
than 1
thanks 1
that 57
the 272
their 20
them 22
themselves 2
then 15
theories 4
theory 2
there 4
they 37
thing 1
things 3
third 1
this 7
those 1
though 2
threatened 1
three 2
throat 1
through 2
thrown 1
thunderbird 1
thurlo 4
tied 1
time 3
times 2
tiny 1
tip 1
tire 1
to 102
too 1
took 3
toss 1
tossed 2
towards 2
town 4
track 2
tracks 2
tract 1
trail 1
train 27
trap 1
treads 1
trickortreaters 1
tried 3
tries 2
trip 1
trouble 19
truck 1
try 1
trying 1
turn 2
turned 1
turns 5
twenty 1
twists 1
two 6
type 1
unhappy 1
unique 1
until 3
unusual 1
up 16
use 1
used 6
useful 1
using 1
vacation 1
very 3
visit 2
voicemail 1
volunteering 1
vultures 1
walk 1
want 1
wanting 1
was 41
wasnt 2
watching 1
watchman 1
way 4
wealthy 1
weapon 1
weapons 1
wearing 1
weeks 1
well 1
went 3
were 20
west 1
what 10
wheeler 1
when 17
where 10
whether 2
which 10
while 6
who 16
why 4
widely 1
wilder 1
windshield 1
with 12
withdraw 1
without 2
woman 1
wonders 2
work 1
worked 2
worried 1
worse 1
worthiness 1
worthy 1
would 12
wouldnt 1
written 1
years 6
yet 2
you 1
young 1
