6642870
/m/0gfvcs
/m/0gfvcs
Sergey Lukyanenko
learn 1
leave 1
left 1
lemak 4
less 1
let 1
life 2
lifespan 1
like 1
likelihood 1
line 2
liner 1
literally 1
live 1
locate 1
losing 1
luxury 1
machine 1
made 1
main 2
make 3
makes 1
man 3
manage 3
manages 1
many 2
masking 1
massive 1
master 2
matters 1
meanwhile 1
mechanical 1
mechanized 1
medical 1
meets 1
meklar 6
memory 1
merchant 1
middle 1
mind 1
mindwiped 1
misfortune 1
mission 4
more 1
morning 2
most 2
mother 1
much 1
mysterious 1
name 1
named 3
nature 1
nearly 1
necessary 1
need 2
neither 1
new 2
next 3
no 4
none 1
nor 1
normal 1
not 6
novel 4
obligation 1
obscure 1
obstacle 1
obtain 1
of 25
off 3
offer 1
officer 1
officers 3
on 18
once 2
one 5
only 5
opposing 1
opts 1
or 3
orbit 2
order 2
orders 1
orion 1
other 2
others 1
out 7
outfit 1
ovald 1
over 1
own 2
pact 1
paradise 1
parasites 1
passage 1
passengers 2
past 1
pay 1
payment 2
person 1
place 1
plan 1
planet 10
point 1
pose 1
power 2
powerful 1
prepare 1
prequel 1
preserve 1
prevent 1
previous 1
prior 1
probably 1
problem 1
proceeds 1
professional 1
provide 1
psilon 1
psilons 1
public 1
pulled 1
purchasing 1
puts 1
quarantine 1
quickly 1
quiet 1
race 5
races 1
raise 1
rank 1
rather 1
reach 1
reaching 1
realizes 1
reason 3
recognizes 1
recruited 1
reflects 1
refuses 1
reincarnated 3
reincarnating 1
reincarnation 1
reincarnations 2
remain 1
reptile 1
resources 1
responsible 1
retired 1
retrieve 2
retrieved 1
reveals 4
rifle 1
rights 3
ruled 1
sabotage 1
safely 1
sakkra 1
second 2
secret 1
secretly 1
secrets 1
security 3
sedimin 3
seeking 1
seem 1
sell 1
senator 1
sent 1
several 1
shadows 1
shapeshifters 1
she 3
shegal 2
shield 1
shields 1
ship 9
shiptoship 1
shoots 1
short 1
shortening 1
shot 1
should 1
shuttle 2
silicoid 3
silicoids 2
since 1
sister 2
small 1
snake 1
so 2
soldiers 2
some 2
someone 1
son 5
soon 1
soupedup 1
space 1
special 1
speed 1
station 1
still 2
stop 4
stopped 1
story 1
strength 1
strike 1
stroke 1
subconscious 1
subsequent 1
subsequently 1
succeed 1
such 1
suddenly 1
suicide 1
super 1
superb 1
supreme 1
surprised 1
surrender 1
syndicate 1
system 1
tachion 1
take 1
taken 1
takes 3
tauri 1
teenager 2
terra 2
test 1
than 3
that 25
the 96
their 12
them 11
then 2
there 3
these 1
they 8
think 1
thinks 1
this 3
three 1
threshold 1
thus 1
tide 1
time 3
to 75
tommy 8
torture 2
tortured 1
towards 1
travelling 1
travels 1
trick 1
tries 1
trigger 1
trinary 1
troopers 1
troops 1
true 6
truth 1
trying 4
tube 1
turn 1
turned 3
twelvefootlong 1
two 6
unbeatable 1
uncertain 1
under 1
unexplained 1
unfortunately 1
universe 4
universes 2
unlike 1
unlimited 1
until 1
up 3
upside 1
ursine 1
uses 1
vague 3
van 20
viacheslav 1
virtual 1
waiting 1
wakes 1
walk 1
wants 1
war 7
was 13
way 4
weapons 1
wearing 1
were 1
when 3
where 4
which 3
while 7
who 4
whose 2
wing 1
wiped 1
wish 1
with 14
within 1
without 1
working 1
world 2
would 1
zone 2
