21342874
/m/05f88_9
/m/05f88_9
Andrey Livadny
earlier 2
earth 2
eastern 1
effect 1
either 1
eject 2
ejecting 1
eliminate 1
emglan 2
emglans 2
empathic 3
employment 1
enamored 1
enemies 1
enemy 2
engineer 1
engineers 1
enough 1
entering 1
enters 1
entire 2
equipment 1
escape 4
escaping 1
etc 1
even 1
everybody 1
examining 1
exclusively 1
exodus 1
expecting 1
expedition 1
experiences 1
experiments 1
explains 2
face 1
faces 1
faizullah 13
fallen 1
falling 1
far 3
father 1
fear 1
fed 1
fight 4
fighter 6
fighters 2
find 1
finds 2
fire 1
first 2
five 1
flawlessly 1
fled 1
fleet 2
flora 25
fly 1
flying 1
following 2
food 1
for 8
force 4
forced 4
forces 6
former 1
four 3
friend 1
friends 1
from 17
fuel 3
full 1
fully 1
functions 1
galactcaptain 1
galactic 1
galaxy 2
ganian 1
ganians 2
ganio 7
general 1
genetic 1
get 2
getting 1
giant 3
girl 1
give 1
given 3
go 4
goes 1
going 1
gone 1
gour 5
grail 1
great 1
greeted 1
grid 3
group 1
guest 1
had 1
hangar 1
harammin 3
harammins 1
harmful 1
harramin 1
has 7
have 10
having 1
he 32
head 6
heal 1
hearing 1
heavily 1
heavy 2
helmet 1
help 1
her 13
herself 1
highyield 1
him 9
himself 4
his 33
holy 1
home 1
homeworld 1
honor 1
hope 4
hopes 2
hopliteclass 1
hoplites 2
hostile 1
hours 2
house 3
however 5
human 3
humans 2
hyperdrives 1
hypersphere 5
ie 1
if 1
imitating 1
immortal 2
immortality 2
implanted 1
in 17
including 4
inexperience 1
infant 1
information 2
inhabitants 2
insane 1
insects 1
inside 1
insideout 1
inspect 1
instead 1
intends 1
interpret 1
intersect 1
into 6
invention 1
invisible 3
invites 1
is 36
isolation 1
it 9
ivan 32
javgeth 1
join 2
jump 3
just 1
keep 1
kelgan 9
key 1
kill 4
killing 1
knowing 2
knowledge 1
known 1
knows 2
lacking 1
large 1
largest 1
last 2
late 1
later 2
launch 2
lead 1
leads 1
learn 1
leave 1
leaving 1
let 2
letting 1
life 1
line 1
lines 2
listen 3
literally 1
living 2
local 2
locals 1
location 1
long 3
looking 1
lorgen 3
lose 1
loses 1
losses 1
lost 2
love 1
low 1
lymel 1
machines 2
made 2
maintenance 1
makes 1
man 2
manage 2
managing 1
maneuver 1
manually 2
many 3
mass 1
match 1
matter 1
meanwhile 2
meeting 1
member 1
members 1
men 1
menial 1
mental 1
message 1
metamorph 2
metamorphs 3
microorganisms 1
middle 1
miles 1
million 2
millions 1
mind 1
minutes 1
missiles 1
missions 1
mode 1
modules 1
monthly 1
more 2
morning 1
most 1
mostly 1
mutant 1
mutating 1
mutation 1
mutations 2
name 3
named 1
nearby 1
needs 1
neural 2
never 3
newfound 1
next 2
nick 1
nicknamed 1
nicolai 1
night 1
nightly 1
nive 3
no 3
none 1
normal 1
not 9
nothing 1
notices 2
novel 1
now 2
objects 1
odds 1
of 67
off 2
ohara 1
old 2
on 12
one 6
only 4
onto 1
open 1
options 1
or 2
orbit 2
orbital 1
orchestrated 2
ordered 1
orders 1
other 1
others 1
out 10
outside 4
outsider 1
outsiders 1
over 2
overhears 1
overwhelming 1
own 2
paid 1
pair 1
panic 1
paradise 2
past 1
patrol 1
pays 1
peace 1
persists 1
person 3
personally 1
phalanxerclass 1
phantom 3
phantomclass 1
pieces 1
pilot 3
pirate 1
pirates 1
place 1
plan 1
planet 6
planets 1
plateau 1
please 1
pod 2
portal 3
portals 1
possess 1
power 4
predator 1
prevents 1
problem 1
protect 3
protected 1
protecting 1
protocols 1
punish 1
puts 1
quick 1
quota 1
races 1
raid 1
rapidly 2
rate 1
reads 1
realize 2
realizes 2
realizing 2
reasons 1
recovering 1
reducing 1
refuses 3
relaying 1
remained 1
remembering 1
remembers 1
remove 1
repairs 1
replies 1
rescues 1
research 1
respective 1
restart 1
result 1
retrieve 1
return 1
returning 1
reunited 2
reveals 4
revenge 1
richard 2
rifle 1
risk 1
rubble 1
running 1
runs 1
ryben 3
safe 3
salvaged 1
sand 1
satisfied 1
satt 11
satts 4
saves 1
scans 1
seal 2
secret 1
see 2
seeing 1
sees 1
send 3
sending 2
sends 2
sense 2
senses 1
sent 1
service 5
servmachines 4
set 3
setting 1
settled 2
settlers 1
several 3
shadow 3
shadows 1
shafts 1
shape 1
shapeshifters 2
shapeshifting 1
she 9
shelter 1
ship 4
ships 2
shodan 1
shooting 1
shortly 1
shot 2
shudders 1
shut 2
side 1
sidebyside 1
signatures 2
single 1
site 3
situation 1
slow 1
sniper 1
so 1
society 1
some 3
someone 2
son 1
space 1
spacesuit 1
special 1
spend 1
spreading 1
squad 1
standard 1
star 1
stars 1
starts 1
state 1
stationary 1
stay 1
still 1
stolen 1
stops 1
story 1
strange 1
stranger 1
strike 2
structure 1
structures 1
subspecies 2
succumbs 1
such 3
suddenly 1
suns 1
survive 1
survives 1
surviving 1
survivors 2
suspicions 1
sustains 1
system 2
systems 1
take 2
takes 2
taking 1
tamantsev 9
targets 1
technology 1
telepaths 1
tells 1
temporary 1
test 1
than 1
that 30
the 194
their 10
them 4
theory 1
there 2
they 13
thing 1
thinking 1
third 1
this 4
those 1
thought 1
threatens 1
three 2
through 3
throws 1
time 2
to 104
together 2
too 3
touch 1
towards 1
towed 1
training 1
traitors 1
transitions 1
traveling 1
travels 1
tricks 1
tries 1
troops 1
true 1
trusts 1
trying 2
turn 2
turns 1
two 1
unable 1
unarmed 1
under 2
underestimate 1
understands 1
underwent 1
unexpected 1
unfold 1
unfortunately 2
unique 1
unlike 1
unmanned 1
unmarked 2
until 3
up 5
upon 5
use 1
used 3
uses 3
using 3
valtorn 2
varying 1
vehicle 2
viewed 1
visions 1
visited 1
visual 1
wait 1
walking 1
wall 4
wants 2
war 1
warrior 5
was 9
watching 1
way 1
well 1
were 1
what 1
when 2
where 2
which 4
while 6
who 10
whom 1
why 1
wild 1
wilderness 1
will 3
win 1
wingman 1
wish 1
with 17
without 1
witnesses 1
woman 2
woods 1
word 2
work 1
world 2
would 1
wounded 2
wreckage 1
year 1
years 4
yet 1
yield 1
young 1
