4129042
/m/0bkncd
/m/0bkncd
Karen Traviss
initiate 1
inside 1
intention 1
interpreted 1
interviews 1
intimidate 1
into 8
is 47
isenj 8
island 3
isnt 1
issues 1
it 15
its 2
itself 1
iussan 1
jejeno 1
josh 8
journalist 1
jurej 1
just 1
keep 2
keeping 1
keeps 1
kept 1
kill 3
killing 1
kills 1
know 3
knowing 2
known 1
knows 5
landing 2
landmass 1
late 1
leader 1
learn 1
learning 3
learns 6
leave 1
left 3
leg 1
let 4
lets 1
lights 1
lindsay 20
live 1
living 3
locations 1
long 1
longer 1
looking 1
looks 1
lost 1
made 2
make 3
makes 2
malcolm 1
male 1
man 1
manage 1
manages 2
manipulating 1
marines 2
martriarch 1
material 2
matriarch 3
matriarchs 2
matters 1
means 2
meanwhile 1
meet 2
meeting 3
meets 1
memories 1
mentally 1
mention 1
message 1
mestin 3
michallat 1
might 1
military 1
mind 2
minister 1
minor 1
misery 1
missiles 1
mission 1
mixed 1
mohan 2
mold 1
monitoring 1
more 5
most 1
mother 1
moving 1
much 2
must 3
nature 1
near 1
necessary 1
need 3
needs 3
negotiations 1
negotiator 1
never 1
neville 1
nevyan 4
new 1
newfound 1
no 3
nose 1
not 10
nothing 1
now 1
nuclear 2
nukes 2
objective 1
objectivity 1
obtained 1
occupants 1
ocean 1
of 52
off 5
offer 1
offered 1
offering 1
okurt 3
on 17
onceonly 2
one 2
only 7
opens 1
or 3
orbit 1
order 1
orders 1
original 1
other 6
others 1
out 7
outcome 1
over 2
oversee 1
own 2
pajatis 1
parachute 1
pass 1
passed 1
past 2
peace 1
permission 1
personal 2
personally 1
persuade 1
pharmacologist 1
physical 1
pieces 1
pilot 2
place 2
plan 2
planet 2
plans 5
poison 1
poses 1
position 2
possibility 1
possible 1
pow 1
power 1
preserve 1
prevent 1
primetime 1
prisoner 1
process 1
project 1
prompts 1
public 3
punished 1
put 3
quick 1
qureshi 3
rage 1
rayat 7
reaches 1
react 1
realize 1
realizes 1
really 2
reason 1
reasoning 1
rebuild 1
received 1
receives 2
record 1
recovered 1
refuses 1
relationship 1
release 2
relocate 1
relocated 1
remains 3
repercussions 1
reporters 1
requests 1
requirement 1
resilience 1
resorted 1
response 1
responsible 1
rest 1
retains 1
returned 1
reveals 2
revenge 1
right 1
rights 1
route 1
royal 2
safe 1
safety 1
salted 1
sample 3
saw 1
say 1
scent 1
screaming 1
search 1
secret 1
secure 1
see 3
seeing 2
seeks 1
seem 2
sees 1
send 1
sensitive 1
sent 1
set 2
shan 56
sharing 1
she 26
ship 2
shot 1
shows 1
shuttle 4
signal 1
significance 1
single 1
situation 1
skin 1
slow 1
so 2
society 2
soften 1
some 7
someone 1
something 2
son 3
sort 1
sorting 1
space 3
speak 1
spread 1
star 1
starting 1
starts 1
station 1
stay 2
still 3
stop 1
stored 1
story 2
strengthen 2
stronger 1
struggles 1
subdued 1
subsequent 1
such 1
suit 1
suits 2
support 1
supposed 1
surface 3
surprisingly 1
suspicion 1
symbiot 1
sympathize 1
take 5
taken 4
takes 2
talks 1
target 1
team 2
tell 1
telling 2
tells 5
temporary 1
than 1
that 45
the 141
their 14
them 10
themselves 1
then 7
there 3
these 2
thetis 2
they 24
things 1
this 13
those 1
though 4
thousands 1
threat 1
threatening 1
through 2
throw 1
throws 1
time 6
timers 1
tissue 1
to 128
too 1
took 1
torn 1
tour 2
towards 1
transfer 2
transport 1
trapped 1
travel 1
treehuggers 1
tried 1
tries 2
trouble 1
try 2
trying 3
turn 1
turns 2
ual 4
umeh 4
unclear 1
unconsciously 1
underground 1
until 1
up 8
upon 2
upset 1
use 3
used 2
uses 1
using 2
ussissi 6
very 2
vijissi 6
visit 2
visits 2
vorhi 1
waiting 1
want 1
wants 1
war 1
was 9
watch 1
water 2
way 1
weapons 2
well 3
were 5
wessej 7
wesshar 8
what 5
whatever 1
when 10
where 8
whether 1
which 1
while 1
who 3
whole 2
why 2
will 9
with 27
without 2
word 1
work 1
working 1
world 5
would 2
wounded 1
wrap 1
wrong 1
year 1
