27177274
/m/0bwlrjs
/m/0bwlrjs
Alan Ayckbourn
harvest 1
has 33
hated 1
have 11
having 6
he 13
headmaster 2
heads 1
health 1
hear 1
heart 2
hed 1
help 2
helping 1
hepplewick 1
her 42
herself 5
hiccups 1
high 1
him 16
himself 3
hints 1
his 16
holiday 3
home 5
hopeless 1
hoping 1
hospital 1
hotel 2
house 4
however 1
hurt 1
husband 2
if 4
ignore 1
ill 1
imaginary 1
imagine 1
import 1
impressed 1
impression 1
improved 2
improving 1
in 34
including 1
incompetent 1
india 1
inedible 1
inside 1
instead 3
instructions 1
interrupted 1
interview 1
into 8
involve 1
is 71
it 9
jealous 2
job 2
journalist 1
journey 1
just 1
keep 2
kitchen 1
knocks 1
know 1
ladder 1
laid 1
last 1
late 1
later 26
latest 1
lbw 1
learn 1
learned 1
leave 4
leaves 1
leaving 1
left 4
lessons 1
lets 1
life 5
lights 2
like 1
line 1
lionel 44
listen 1
literary 1
live 1
living 1
local 1
locked 1
locks 1
longlost 1
longterm 1
look 1
looking 1
looks 1
losing 1
lost 2
love 4
loyal 1
made 1
madness 2
magazine 1
make 3
makes 2
man 1
many 1
marital 1
marriage 4
married 4
marry 1
mass 1
master 1
match 3
meanwhile 3
meeting 3
members 1
memory 2
men 1
mental 1
midnight 1
might 1
miles 52
mind 1
missing 1
mist 1
moment 1
mood 1
more 2
morning 2
most 1
mother 1
move 2
moved 1
much 2
named 1
nature 1
nearby 1
need 1
needles 1
needs 1
neither 1
never 1
nevertheless 2
new 1
news 1
no 2
nobody 1
nose 2
not 6
now 6
of 40
off 6
offers 1
old 3
on 26
one 4
only 2
openair 1
opportunity 2
other 6
out 15
outfit 1
over 3
overjoyed 1
own 5
packet 1
packing 1
pageant 2
part 1
party 2
pass 1
passing 1
past 1
patio 1
paving 1
pe 1
pelted 1
pelting 1
perform 1
performance 1
perhaps 1
personal 1
persuades 1
plans 3
play 2
playing 1
point 2
preparations 1
prepares 1
preparing 1
pressure 1
private 3
problem 1
prodigal 1
producing 1
production 1
professes 1
promise 1
promised 2
promises 2
promising 1
properly 1
protest 1
proves 1
pub 1
pupils 2
put 1
putting 2
rain 1
rare 1
ready 2
reality 1
reassurances 1
receiving 1
recommends 1
recounting 1
recounts 1
recovered 1
recuperating 1
rediscover 1
refused 1
refuses 1
regimen 1
rehearse 1
reignite 1
reject 2
rejection 1
rejects 1
relationship 4
relegated 1
remain 1
remains 2
replies 1
resigned 1
resists 1
resort 1
respective 1
rest 1
return 3
returned 2
returns 4
reveals 2
rings 1
road 1
role 1
roman 1
romance 1
round 4
rowena 28
run 1
running 3
sack 1
sad 1
salvage 2
sandwiches 2
say 2
says 1
scene 1
school 11
seaside 1
second 2
seconds 2
seduce 1
see 2
seek 1
selfimproving 1
send 1
sense 2
sentimental 1
service 1
set 1
settle 1
several 2
sharing 1
she 32
shed 13
sheep 1
shelter 2
should 1
simple 1
sits 2
sleep 1
sleeping 1
smoke 1
sneaky 1
so 4
sober 1
solo 1
some 3
something 1
soon 1
sort 1
speak 2
spend 1
spending 1
spent 1
spies 1
spirits 1
sponges 1
sports 1
spring 2
squash 1
staff 1
stage 2
stand 2
start 6
started 1
starting 2
starts 1
stay 1
stays 1
step 1
stick 1
still 6
stocks 1
stop 2
strain 1
straw 1
stressed 1
strike 1
struggling 3
success 1
successful 1
succession 1
sudden 1
suddenly 1
suffered 1
suggesting 2
suggestion 1
suggests 2
suit 1
sunny 1
support 1
sure 1
suspected 1
sylvie 43
table 1
tablecloth 1
take 6
takes 3
taking 2
talk 2
talks 1
taxi 1
tea 2
teacher 1
teachers 1
tears 1
teas 1
teasdale 4
teasdales 2
tell 1
tells 5
temper 1
temptation 1
tent 2
terrace 1
terrorised 1
than 1
thanksgiving 1
that 28
the 105
their 13
them 6
then 1
they 6
things 1
this 2
thoughts 2
thrilled 1
through 1
throws 1
tidying 1
time 8
to 137
toby 58
together 8
tomatoes 1
took 1
totally 1
track 1
trampled 1
transformation 1
trash 1
tremor 1
tries 1
trip 1
triumph 1
trousers 1
try 1
trying 1
tuition 3
turn 1
turns 2
two 2
umpiring 1
unable 1
uncomfortable 1
unimpressed 1
unmarried 1
unsubtle 1
until 1
unusually 1
up 10
upset 1
utterly 1
various 1
verbal 2
versus 1
very 2
vicar 1
village 6
vip 1
visit 2
waiter 1
waiting 1
walk 5
walking 2
want 1
wants 2
waste 1
wasting 1
wedding 4
weekends 1
weeks 8
well 3
wet 1
what 1
when 3
where 4
which 1
while 4
who 7
whole 2
whom 1
will 3
winter 1
wish 1
with 35
wives 1
woman 3
women 1
working 1
worse 1
would 2
wouldnt 1
wrap 1
wrist 1
wrong 1
year 1
years 18
yes 1
young 1
