13726089
/m/03cgcrk
/m/03cgcrk
Junot Díaz
make 1
making 1
manages 1
manny 4
many 1
maritza 3
married 2
marries 1
medical 1
meet 3
meeting 1
meets 3
members 1
men 1
mentions 1
miami 1
miggs 1
might 1
mistreated 1
misunderstanding 1
money 1
mongoose 2
months 2
more 1
most 1
mostly 1
mother 13
moves 1
musicians 1
name 1
named 5
narration 1
narrative 1
narrator 4
negative 1
never 2
new 4
night 1
nine 1
no 2
not 6
novel 7
numerous 1
nurse 1
nursed 1
obregn 1
occasionally 1
of 51
off 2
often 2
oil 1
okay 1
old 2
older 2
oldest 1
olga 2
on 4
one 4
only 3
opens 2
opponents 1
or 5
order 1
oscar 45
oscars 1
other 3
out 6
outcast 2
outside 2
over 3
overweight 1
own 1
pages 1
part 4
persistent 1
person 3
perspective 1
physically 2
picked 1
pimentel 1
place 1
plans 2
point 1
polanco 1
pompadour 1
poor 2
popular 1
postcollege 1
power 1
pray 1
prayer 1
pregnant 3
presumably 1
probable 1
proceeds 1
prostitute 1
protect 1
pujols 2
quickly 5
raised 1
reader 3
reading 1
rebellion 1
received 1
redentor 1
referred 1
reflecting 1
regard 1
reiterates 1
rejecting 1
relationship 8
remind 1
republic 4
request 1
rescue 1
rescued 1
rescues 1
resembling 1
resigns 1
resists 1
responsible 1
restaurant 1
result 1
resulting 1
results 1
returns 8
revealed 3
revealing 2
reveals 1
review 1
road 1
rock 1
roleplaying 1
roommate 1
rumors 1
run 5
running 1
runs 3
rutgers 2
safe 1
said 1
same 4
sat 1
save 1
saved 2
scars 1
scholarship 1
school 5
schools 1
science 2
second 1
section 5
sees 1
senior 1
sent 2
series 1
serves 1
seven 2
severely 1
sexual 1
shakes 1
she 28
shoot 1
shop 2
shore 1
short 1
shortly 2
simply 1
sister 1
sisters 1
situation 1
six 1
slandering 1
slave 1
small 1
so 3
social 1
solomon 1
some 2
someone 1
something 1
soon 1
sophomore 1
specifically 1
speculates 1
speech 1
spend 1
spending 2
spends 2
spots 1
stands 1
start 1
states 1
still 2
stops 2
stories 1
story 5
successful 2
such 1
suggests 1
suicide 1
summer 1
supposedly 1
sure 1
suspicious 1
take 2
taken 2
takes 2
talk 1
talks 1
teaches 1
teased 1
teenager 1
tell 1
telling 2
tells 1
ten 2
thanks 1
that 24
the 99
their 4
them 4
then 3
there 4
therefore 1
they 7
thing 1
thinking 1
thinks 1
third 2
this 16
though 1
three 1
through 1
thrown 1
time 11
titular 1
to 78
together 1
told 2
torn 1
torture 1
transferring 1
traveling 1
tricked 1
truck 1
trujillo 7
trunk 1
try 1
trying 1
turn 1
turns 2
twentyseven 1
two 9
ugly 1
ultimatum 1
uncle 1
unclear 1
under 2
unhappy 1
united 1
unknown 1
unlucky 1
unnamed 1
until 2
up 5
usually 1
verbally 1
very 3
virginity 1
visits 1
waitress 2
want 1
was 10
waves 1
way 2
weeklong 1
weeks 1
well 4
were 1
what 1
when 11
where 3
wherein 1
which 5
while 2
who 2
whom 2
whose 2
wife 1
will 3
with 33
woman 1
word 1
works 1
world 3
worth 1
would 1
write 2
writes 1
writing 2
ybn 6
year 3
years 1
york 1
you 2
young 2
yunior 12
zafa 1
zafaa 1
