1062803
/m/042qmf
/m/042qmf
Franz Werfel
heroic 1
high 1
highest 1
him 5
himself 5
his 34
historic 1
history 1
hold 1
holocaust 1
horrors 1
house 1
houseboy 1
hovsannah 1
how 2
however 4
humanitarian 1
hunchaks 1
husband 1
i 3
idealized 1
ie 1
if 1
ii 1
ill 1
imperial 1
important 4
impulse 1
in 51
include 1
included 1
including 1
incomprehensible 1
indeed 3
informs 1
inquire 1
inshaat 1
inspires 1
instead 1
instituted 1
instruct 1
intended 2
intercession 1
interlude 1
internal 1
internment 1
interrupted 1
into 6
introduced 2
introduces 2
invasion 1
involved 1
is 33
iskuhi 8
iskuhis 1
isolates 1
istanbul 2
it 14
its 6
jealous 1
jemal 1
johannes 3
journalist 1
juliette 8
juliettes 1
july 1
jump 1
kaimikam 1
kept 1
kevork 1
kilikian 2
kill 1
krikor 2
labor 2
land 2
landscapemusa 1
large 1
larger 1
last 3
late 2
later 2
latter 1
leader 1
leadership 1
leads 1
learning 1
learns 1
leave 2
leaves 2
lebanon 1
lecture 1
led 3
left 4
leo 1
lepsius 6
lepsiuss 2
levant 1
library 1
life 2
like 1
likelihood 1
limousine 1
little 2
live 1
livestock 2
local 1
loner 1
long 4
looks 1
looming 1
loss 1
loud 1
love 4
loyal 1
magic 1
magnificent 1
maimed 1
make 2
makes 1
making 1
many 2
march 3
maria 1
maris 1
marisall 1
marriage 1
mass 2
massacres 1
massive 1
matters 1
may 1
mdir 2
me 2
meaning 1
means 1
meanwhile 2
mediterranean 1
meeting 1
member 1
members 1
men 1
mention 1
mercantile 1
mesopotamian 1
microcosm 1
military 4
minister 1
miserable 1
mission 3
missionary 1
more 8
moses 1
most 2
mountain 2
moves 1
mt 1
much 3
munitions 1
murdered 1
musa 17
muslim 2
muslims 1
narrative 1
nationalists 1
native 1
natural 1
nature 1
naught 1
navies 1
nazi 1
neutral 1
nevertheless 1
new 1
news 1
nineteenth 2
no 1
nomans 1
noose 1
not 9
note 1
notorious 1
novel 8
november 1
now 3
nurhan 1
nursing 1
objections 1
objective 1
observes 1
of 103
off 3
offensego 1
officer 2
old 2
older 1
ominous 1
omniscient 1
on 24
one 6
only 3
open 1
openly 1
opens 3
operator 1
or 2
orchard 1
order 2
orders 1
organizes 1
orphan 1
oskanian 3
other 7
others 1
ottoman 15
ottomans 3
out 4
outside 1
outsiderhero 1
over 1
overarching 1
overhears 1
pagan 1
palestine 1
paradisiac 1
paralyzed 1
paris 1
parties 1
party 1
pasha 6
pashas 2
passage 2
passionate 1
passports 1
past 1
pastand 1
pastor 2
paternal 1
pathologically 1
patriot 1
patrol 1
peace 1
people 4
peopleand 1
peril 1
person 1
physician 1
pious 1
place 2
placenames 1
plan 1
plane 1
plateau 2
pleasant 1
pogromlike 1
point 1
points 1
police 1
politics 1
polyfocus 1
port 1
portrayed 1
poses 1
power 1
powers 1
prefatory 1
pregnant 1
prepare 2
prepares 1
presence 2
present 1
presented 1
press 1
prevents 1
priest 1
problem 1
professional 1
progress 2
progressive 1
propaganda 1
propertied 1
propitious 1
protestant 2
proud 1
prove 2
province 1
public 1
published 2
punctures 1
purchased 1
purpose 1
quasiferal 1
question 1
radical 1
raid 1
rainer 1
rampage 1
ranging 1
rape 1
read 2
readers 1
readings 1
real 4
realization 1
reason 3
reasons 1
recent 1
reconnects 2
records 1
recovers 1
red 1
redhaired 2
refuge 1
refugee 1
refugees 4
refuses 1
regard 1
regular 1
reinforced 1
reinforcements 1
relationship 2
relief 1
religious 1
remain 1
remainder 1
remains 1
repelled 1
replenish 1
reporters 1
represent 2
represents 1
reprisals 1
reputation 2
rescued 1
resentful 1
resentment 1
reserve 1
resettled 1
resist 1
resistance 2
resisting 1
resolve 1
responding 1
result 1
resulting 1
results 1
resume 1
resumes 1
return 2
returned 2
reveals 1
reveries 1
revising 1
revolution 2
rewrote 1
rifaat 2
rifles 1
rifts 1
right 2
righteous 1
rilke 1
rise 1
rival 1
role 1
roots 2
rout 1
ruled 1
rumors 1
russian 1
safely 1
said 1
saptiehs 2
sarkis 1
sato 1
satos 1
scale 1
scene 1
schoolteacher 1
sea 2
seamlessly 1
seasoned 1
second 1
secret 1
seeing 1
seek 1
seeks 1
seen 1
sees 2
seize 1
seized 1
selected 1
selfparody 1
sentence 1
serious 1
seriously 2
served 3
set 2
setbacks 1
settle 1
seven 1
several 1
shelling 1
ships 5
short 1
show 2
sic 1
sick 1
sight 1
sighted 1
sights 1
since 1
sister 1
sites 1
skirmishing 1
smoke 2
snatch 1
snipers 1
sniping 1
so 4
socialist 1
socialize 1
society 3
solace 1
soldiers 2
something 1
son 4
sons 1
soon 2
south 1
speaking 1
spectator 1
spiritual 1
spotted 1
spring 2
spy 1
square 1
stand 2
start 1
starving 1
state 1
states 1
status 1
stay 1
stephan 11
stephans 2
steps 1
still 1
stores 1
story 3
strengthand 1
strengths 1
struggle 1
style 1
subsequent 1
such 2
suffered 2
suffers 1
sufi 2
suicide 1
summer 1
supplies 2
support 1
supporter 1
suppressed 1
suppression 1
surround 1
survivors 1
suspicions 1
suspicious 1
swamp 1
sympathetic 2
syria 1
taburi 1
taken 1
talaat 4
tale 1
teacher 1
telephone 1
tell 1
tells 1
tent 1
ter 4
terrace 1
terrain 1
test 2
that 28
the 254
their 11
them 3
theme 1
then 1
there 1
these 1
they 7
thieves 1
thinks 3
this 7
those 2
though 1
three 5
through 3
throughout 3
tighten 1
time 3
tire 1
titled 1
to 74
together 1
tolstoys 1
tomasian 1
tomasians 1
too 6
tour 1
town 2
traced 1
traditional 1
translation 1
travel 1
treated 1
trickling 1
tries 1
trip 1
triumvirate 2
troops 1
turk 1
turkey 1
turkeys 2
turkish 12
turkmen 1
turks 9
turksand 2
twentiethcentury 1
two 6
typhus 1
unconcerned 1
underestimate 1
united 1
until 2
up 6
uprising 2
various 1
verbatim 1
victim 1
victories 1
victory 1
vienna 1
view 2
village 1
villagers 1
villages 3
violent 1
virtual 1
vision 1
visvis 1
vocal 1
volumes 1
volunteered 1
wailing 2
want 1
wants 1
war 10
warship 1
was 6
watch 1
waves 1
way 1
ways 1
weaknesses 1
wealthy 1
weapons 1
well 13
were 1
werfel 8
werfels 3
west 1
western 2
westernized 1
westespecially 1
what 3
when 7
where 2
which 13
while 1
whirling 1
who 12
whole 1
whose 1
wife 3
will 5
wing 1
winter 1
wished 1
with 23
withdraw 3
within 1
witnessed 1
witnesses 1
witnessing 1
women 2
working 1
world 4
world34 1
wounded 1
writer 1
writing 4
written 1
year 2
yoghonoluk 4
young 5
zeitun 2
zones 1
