3961878
/m/0b8vrc
/m/0b8vrc
William Rowley
pinched 1
pities 2
pity 1
placate 1
place 4
plan 1
planning 1
plans 2
plate 1
play 3
playing 2
plays 1
please 1
pleasurable 1
pocket 2
pockets 1
poetry 1
points 2
pond 2
poor 3
possession 1
power 2
practice 1
pray 1
predicament 1
prefers 2
pregnant 3
prepares 1
present 1
presume 1
pretends 1
prevented 1
princes 1
prison 2
prisoner 1
private 1
procure 2
produces 2
production 1
profess 1
professed 1
promised 3
promises 8
proof 2
property 7
prosean 1
protect 1
protesting 1
prove 2
proven 1
provenance 1
proverbs 1
proves 1
provide 2
public 3
pulls 2
puritan 1
pursues 1
pushed 1
put 3
puts 1
questions 1
quite 2
rake 1
ratcliffe 6
ratcliffes 1
rather 5
reads 1
ready 1
realizes 2
reappears 1
reason 2
recent 1
recite 1
recommences 1
recompense 1
reduced 1
reenters 4
referred 1
referring 1
refers 1
refuses 4
regarded 1
regarding 1
regrets 1
regular 1
reject 1
relatively 1
reluctant 1
reluctantly 1
remain 2
remarking 1
remarks 1
remember 1
repair 1
repeats 1
replaced 1
report 3
require 1
resolve 1
responds 1
responsible 1
result 2
return 1
reveal 1
reveals 1
revenge 4
ribs 1
rid 1
ride 1
riding 1
right 2
risk 1
rival 2
road 3
rogue 1
role 1
room 1
ropes 1
rotten 1
rubs 1
ruin 1
ruined 2
rumor 2
run 1
running 3
runs 1
ruse 2
same 2
satisfied 1
sawyer 40
sawyers 4
say 3
saying 1
says 51
scandalized 1
scaring 1
scene 14
scheduled 1
scholarly 1
scolds 2
scorn 1
seal 1
searches 1
searching 1
second 5
secret 1
secure 1
security 1
see 4
seems 3
seen 2
sees 4
seize 1
selfconscious 1
selman 1
send 4
sensual 1
sent 2
sergeants 1
servant 9
servants 2
serve 1
service 1
servingman 1
sets 2
setting 2
sex 2
shame 1
shameful 1
shapes 1
she 62
ship 1
short 1
shortly 1
should 5
show 1
shrugs 1
shunned 1
shut 1
sick 1
sickness 1
sight 1
sign 1
signified 1
simply 1
sin 3
since 1
sir 14
sister 1
sits 2
skepticism 1
slyly 1
so 3
soaking 1
social 3
soliloquy 1
solvent 1
somber 1
some 9
somehow 1
someone 1
somerset 2
somerton 18
somertons 1
something 2
son 4
soon 7
sort 4
soul 2
souls 1
sound 1
sounding 1
sounds 1
speak 1
speaks 1
speech 2
spell 2
spirit 7
spiritkatherine 1
spirits 1
spot 1
spouting 1
stabs 2
stage 1
stake 1
standing 2
stands 1
stares 1
starts 1
status 1
stay 2
sticks 4
still 4
stomach 1
story 1
straightforward 1
strange 1
strapped 1
straw 5
strikes 1
strongly 1
stuffy 1
style 1
subtle 1
subtly 1
such 3
suck 1
sudden 2
suddenly 3
suggesting 1
suggests 1
suit 1
suitor 5
suitors 4
sum 1
summon 3
summoning 1
sunset 1
superficial 1
superstituosly 1
surety 1
surgeon 1
susan 30
susans 5
suspecting 1
swear 1
swears 1
swerve 1
sympathetic 1
synopsis 1
tail 1
take 4
taken 1
takes 1
talking 1
taste 1
teaches 1
teasing 1
tell 1
tells 30
ten 1
term 1
terms 2
than 7
thanks 1
that 106
the 190
thee 1
their 11
them 5
themselves 2
then 3
there 3
thereby 1
therefore 2
theres 1
these 4
they 22
thing 1
things 2
think 1
thinks 3
this 5
thorney 18
though 4
thought 1
thousand 1
three 2
throat 1
through 2
throws 1
thunder 1
thus 1
tickles 1
ties 1
time 3
times 2
to 175
toads 1
together 1
told 2
tone 1
tongues 1
too 4
torment 3
tormenting 2
touch 2
touches 1
town 1
tragedy 1
travel 1
treat 1
treatment 1
tree 1
trick 2
tried 1
tries 6
trouble 1
troubles 2
troupe 1
true 1
truly 1
try 1
trying 1
turn 1
turning 1
turns 1
two 3
typical 1
uncle 2
unclear 1
uncomfortable 1
uncontrollable 1
unfairly 1
unhappy 1
universal 1
until 1
untrustworthy 1
up 12
upcoming 2
update 1
upon 3
upright 1
urge 1
urges 1
us 1
use 3
uses 1
usually 1
vain 1
vanishes 1
views 1
vigorously 1
villain 1
visit 2
vow 1
vows 3
wait 2
waits 2
wakes 1
walks 1
waltham 1
wandering 1
want 1
wanton 1
wants 3
warbeck 22
warm 1
warmly 1
warn 2
warns 2
warrant 3
was 5
wasnt 1
we 2
wealthy 1
wearing 1
wed 1
wedding 1
weeps 1
welcome 2
well 4
went 1
were 4
wet 1
what 2
when 8
whenever 1
where 3
wherever 1
which 3
while 1
white 1
who 13
whom 1
whore 1
whose 3
why 4
widow 1
widows 1
wife 11
wild 1
will 41
winfred 1
winifred 31
wishes 1
witch 11
witchcraft 3
witches 5
with 38
without 2
wives 2
woman 2
womans 1
women 1
wonders 1
word 1
words 1
work 5
world 2
worries 1
worry 1
worse 1
would 2
wounds 1
write 1
writes 1
written 1
wrought 1
yet 1
yokel 1
young 1
younger 1
your 1
youth 1
