27360780
/m/0bx_0s_
/m/0bx_0s_
Karen Traviss
sets 1
setting 1
seventeen 1
severed 1
severely 1
shavad 1
shells 2
ship 1
shooting 1
shore 1
shortly 1
siege 1
sign 1
simply 1
size 1
small 3
sniper 2
snipers 2
someday 1
something 1
son 2
soon 2
sovereign 1
spar 1
spewing 1
spotted 1
squad 3
stalk 1
stalks 6
start 1
started 1
steady 2
step 1
still 2
stolen 1
stored 1
storylines 1
stranded 12
stroud 3
struggle 2
submarine 1
submarines 2
submerges 1
subordinate 1
suddenly 1
suggesting 2
supplemented 1
supplies 1
supply 3
surface 1
surfaces 1
surrender 1
survive 1
sweep 1
tak 2
take 1
taking 2
technology 1
tells 1
ten 1
tensions 1
tentacle 1
tentacles 1
than 1
that 16
the 165
their 5
them 12
themselves 1
then 1
there 3
they 9
third 1
this 4
though 1
thought 1
threatening 1
three 1
through 1
throughout 1
time 3
to 64
together 1
told 1
top 1
torpedoes 1
total 1
towards 1
trade 1
trap 2
traps 1
trawler 1
trawlers 2
treating 1
tree 2
trescu 3
troops 1
turns 1
two 3
uir 12
uncover 1
under 1
undersized 1
underwater 2
unidentified 1
up 2
urban 1
uses 1
vasgar 3
vectes 6
vehicle 1
very 3
vessels 1
veterans 1
victor 1
victory 1
vote 1
vows 1
wanton 1
war 2
wars 1
was 1
water 2
way 3
weakened 1
weapons 2
weeks 1
welcomes 1
welcoming 1
well 1
what 1
where 1
which 8
while 3
who 1
wife 2
with 20
withdraw 1
wondering 1
word 1
wreckage 1
years 2
