381491
/m/021ncg
/m/021ncg
Colleen McCullough
he 30
heard 1
heart 1
hefty 1
help 1
her 38
here 1
hierarchy 1
high 1
him 16
himself 4
his 24
hobby 1
hold 1
home 2
homestead 1
honeymoon 1
hoping 2
however 4
humdrum 1
if 1
impales 1
important 1
impression 1
in 28
including 1
independent 1
induced 1
injuries 1
innocent 1
insulting 1
intelligent 1
intention 1
interest 1
interests 1
into 3
irish 1
is 28
island 1
isolated 1
it 5
itinerant 1
its 1
itself 1
james 1
jealousy 1
jims 1
job 2
join 1
joins 1
just 1
justine 8
keenly 1
killed 2
killing 1
kindly 1
kiss 1
know 1
labour 1
labourer 1
largely 1
last 1
later 3
lawyer 2
learn 1
learns 4
leaves 6
leaving 2
lengths 2
letter 1
liberate 1
life 2
lifestyle 1
lightning 1
like 2
little 8
live 2
livein 1
lives 1
living 1
long 5
looks 1
lost 1
love 4
loved 1
lovers 1
loves 1
luke 7
machiavellian 1
magic 1
magnitude 1
main 1
mainly 1
makes 5
making 1
man 4
many 1
marriage 1
married 2
marries 1
marry 3
mary 11
matters 1
mdash 1
meanwhile 3
meets 2
meggie 33
meghann 1
men 3
mentor 2
mercenary 1
merely 1
might 2
million 3
mingled 1
minor 1
mistake 2
modern 1
money 1
months 1
more 4
mortified 1
most 2
motherly 1
motives 2
moves 1
much 1
mud 1
mueller 1
muellers 2
multinational 1
murder 1
must 2
mythical 1
named 1
names 1
near 1
nephew 1
never 1
new 8
night 1
no 3
none 1
north 1
not 6
noticed 1
notices 1
now 6
numerous 1
objects 1
obsessed 1
of 35
off 3
offering 1
often 2
old 3
older 1
on 8
once 1
one 4
oneill 1
only 4
order 1
other 4
others 1
out 1
outback 1
over 1
overtures 1
own 4
paddy 15
paid 1
parish 1
party 2
passion 1
passionate 1
patrick 1
patsy 1
peaceful 1
people 2
perfect 2
pities 1
place 2
plan 2
plane 1
plans 1
platonic 1
politician 2
poor 1
pounds 2
prefers 1
pregnancies 1
pregnant 2
preparing 1
priest 5
prison 1
prominent 1
promising 1
proves 1
provides 1
punishment 1
pursue 1
quarrel 1
queensland 1
question 1
quickly 1
quietly 1
rainer 4
ralph 36
ranch 1
rapid 2
real 1
realises 2
really 1
rebellious 1
rebuffed 1
rebuffs 1
receives 2
recognize 1
record 1
redgold 1
redhaired 1
refers 1
refuses 1
regards 1
relationship 5
relegated 1
religionher 1
remain 1
remains 1
remote 1
renew 1
rescuing 1
resemblance 2
resembles 1
resents 1
resort 1
rest 1
result 1
return 1
returns 3
revealed 1
reveals 2
ripens 1
rise 1
roman 1
romantic 1
rome 1
rosepink 1
rumour 1
runs 1
saving 1
savings 1
say 1
scandalised 1
searches 1
seduce 1
see 2
seek 1
sees 2
send 1
separate 2
settle 1
seventeen 1
seventysecond 1
several 2
sex 1
sexual 1
share 1
she 20
sheep 1
sheer 1
shocked 1
shorter 1
shortly 2
shows 1
shrugs 1
sings 1
sister 1
size 1
skinflint 1
so 1
sole 1
some 1
someone 2
something 1
son 5
song 1
soon 4
sorrow 1
spends 1
spider 1
station 1
still 1
stole 1
strangely 1
strictly 1
strikes 1
strikingly 1
strong 1
struggle 1
stu 2
stuart 1
subtle 1
such 1
suffers 1
sugarcane 1
sure 1
surviving 2
swimming 1
takes 3
tells 3
tempting 1
tends 1
terms 2
than 4
that 10
the 66
their 7
them 3
themselves 1
then 1
there 2
these 2
they 4
thinks 1
thirteen 2
this 1
thorn 2
three 2
thwarts 1
time 1
title 1
to 60
toil 1
town 1
trade 1
tragedy 1
trees 1
tries 1
true 4
truth 1
turn 1
twentieth 1
twin 1
two 3
unaware 2
unbeknown 1
uncle 1
unhappiness 1
unlike 1
unnoticed 1
until 1
unwillingly 1
up 2
urge 1
urges 1
use 1
usual 1
vacationing 1
vast 1
verge 1
very 1
vie 1
violently 1
virtually 1
visits 4
vows 1
wages 1
wants 1
was 1
way 2
wealth 2
wealthy 1
weeps 1
what 2
when 5
whereabouts 1
while 2
who 9
whole 1
whom 1
wife 1
wild 1
will 8
with 14
without 1
womanhood 1
women 2
worker 1
works 1
worth 1
wounds 1
writes 1
years 2
young 3
zealand 1
