15203231
/m/047gpqx
/m/047gpqx
Jim Butcher
seems 1
send 1
sends 1
senior 4
sent 1
sentence 1
sergeant 1
sgt 1
she 15
shoots 2
should 1
side 1
sight 2
since 2
sixteen 1
slaves 1
small 1
so 4
somehow 2
someone 2
something 1
son 1
spell 3
spent 1
splattercon 1
st 3
stalls 1
stand 1
standoff 3
start 1
starts 1
station 2
stern 2
stop 1
succumbing 1
suffering 1
suggests 1
summer 8
summerwinter 2
summoner 2
supernatural 1
surrenders 1
survived 1
survivors 1
suspect 1
tags 1
take 1
taken 1
takes 3
talks 1
teen 1
teenage 1
tell 1
tells 6
temporal 1
that 21
the 118
theater 2
theaters 1
their 3
them 12
themselves 1
then 2
there 2
they 16
theyre 3
theyve 2
this 2
thomas 6
three 1
through 3
time 2
tire 1
to 62
together 1
tomorrow 1
too 2
took 1
top 1
tor 1
toward 1
track 3
tracking 1
trail 2
training 3
traitor 1
treason 1
trespassing 1
trial 4
tried 1
try 1
turning 1
two 2
unchanged 1
under 2
unknown 1
use 2
used 1
uses 2
using 5
vampire 1
vampires 7
van 1
victim 1
violated 1
vote 2
voted 1
votes 1
want 1
wants 3
ward 1
warden 2
warns 1
was 5
web 2
wellspring 1
were 1
what 2
when 6
where 1
which 2
while 4
whines 1
white 3
who 2
why 3
widow 1
will 5
winter 8
wintersummer 1
with 12
withdrawal 1
without 2
wont 1
work 1
world 1
would 2
year 2
younger 1
