3852201
/m/03bzfsh
/m/03bzfsh
William King
presence 1
preslayer 1
previous 1
pride 1
priestess 1
prince 1
princes 1
process 1
promises 1
promising 1
prophecy 2
protecting 1
providing 1
pure 1
purposes 1
pursue 1
pursued 1
pursues 1
quest 2
quiet 1
raiding 1
raise 1
ransom 1
rape 1
raped 1
reach 2
reached 1
reaching 1
ready 1
realising 1
realizes 1
realizing 1
reason 1
receives 1
reclaim 1
recognizes 2
regenerate 1
remaining 1
remembering 1
repair 1
replies 1
reply 1
resanctified 1
rescue 1
rest 3
restore 1
restored 1
restores 1
returns 2
reveal 1
reveals 1
revenge 2
riders 3
riding 1
ring 4
road 1
room 1
roomthe 1
rotting 1
roving 1
ruined 4
ruins 2
run 1
sacrifice 1
sacrifices 1
safe 1
same 1
save 2
saving 1
say 1
says 1
score 1
scout 1
seal 1
search 1
searching 1
second 1
secrets 1
see 2
seeing 1
seeking 1
seem 1
seizes 1
sends 2
separated 1
series 1
servants 1
set 2
setting 1
settle 1
settlement 1
several 1
shaman 2
shapeshifter 1
she 8
shortly 2
shoulders 1
siege 2
singlehandedly 1
sitting 1
skaven 1
slaanesh 3
slaaneshi 1
slain 1
slaughter 1
slayer 1
slaying 1
slingstone 1
slow 1
small 1
snow 1
so 2
soldiers 2
sole 1
something 1
son 2
soon 1
sorcerer 6
sorceress 1
soul 1
spared 1
spectral 1
spell 2
stabbed 1
stalking 1
standing 2
starting 1
states 2
steal 1
stealing 1
still 1
stirring 1
stolen 1
stones 1
stories 1
story 11
strangles 1
stronghold 1
struck 2
student 1
study 1
suffering 1
surviving 1
survivor 1
survivors 2
swears 1
swiftly 1
switches 1
sword 3
tainted 2
take 3
taken 2
takes 3
tavern 3
tearing 1
templars 1
terrible 1
texts 2
than 1
that 28
the 230
their 16
them 16
themselves 3
then 7
there 1
they 40
thing 1
this 4
though 3
three 5
throat 1
through 7
throws 2
thugs 2
thus 1
time 1
to 81
together 2
tomb 4
tombs 2
toward 1
towards 1
tracks 2
transfer 1
trap 1
trapper 1
trappers 1
travel 2
traveling 1
travelling 1
treasure 4
tries 2
troll 6
true 1
turned 1
twisted 1
tzeentch 1
ulric 2
uncharacteristic 1
undead 2
under 1
unfortunately 1
university 1
unless 1
unnaturally 2
until 2
up 4
upon 1
use 3
uttering 1
valaya 1
very 1
vicious 2
viciously 1
victory 1
village 10
villagers 5
villages 1
von 5
voorman 4
vow 1
vows 2
wake 1
warn 1
warns 1
warpstone 2
warrior 1
warriors 1
was 6
wastes 1
watches 1
way 7
were 6
werewolf 3
what 3
when 2
where 3
which 5
while 2
whilst 1
who 18
whose 1
why 1
wife 4
will 3
winter 3
wiping 1
with 25
wits 1
wolf 4
wolves 3
woman 3
wont 1
word 1
works 1
world 1
worse 1
would 1
wounds 1
years 1
young 3
zauberlich 2
zealous 1
