4118354
/m/0bk2rz
/m/0bk2rz
Piers Anthony
front 1
gain 2
gathering 1
get 1
ghosts 1
girl 2
give 1
given 1
gives 1
glory 2
gone 2
good 5
gotten 1
government 1
great 1
grounds 1
group 3
guises 1
had 6
harm 3
harmed 1
has 15
haunted 1
have 1
having 1
he 22
heads 1
healing 2
heals 1
hearing 1
heart 1
heightened 1
help 3
her 11
herd 1
here 1
hideously 1
him 13
himself 1
his 21
honor 2
hope 1
hopes 3
however 2
human 3
humans 3
humfrey 8
hurl 1
if 4
illusions 1
illusory 1
immediately 1
immigrate 1
imminent 1
in 20
includes 1
including 1
incredibly 1
indeed 1
inflows 1
inform 1
information 3
instead 1
intelligence 3
intelligent 1
interest 1
interfered 1
into 7
invade 1
inversely 1
iris 9
is 30
isthmus 1
it 6
its 4
itself 1
jealousy 1
journey 3
just 2
kill 3
king 15
kings 1
kingship 1
know 2
lack 1
land 3
last 2
later 1
launches 1
learns 1
leave 2
leaves 1
left 1
lengths 1
life 2
likes 1
location 2
long 1
looks 1
loses 1
love 3
loyal 1
lured 1
magic 13
magical 11
magician 9
magiciancaliber 3
make 4
making 3
man 1
manages 2
marries 1
marry 3
matured 1
meets 3
mercy 1
month 1
more 1
moved 1
mundane 1
mundanes 1
mundania 5
must 3
named 1
nature 1
necessary 1
needs 1
neverending 1
nevertheless 1
new 1
next 2
no 2
nonmagical 1
north 2
not 4
note 2
nothing 1
novel 1
now 2
nullify 1
obligated 1
obtain 2
occurring 1
of 56
offer 2
offers 3
official 1
officials 1
offspring 1
on 10
one 2
only 3
onto 1
or 1
other 2
out 3
outside 1
over 3
overthrow 1
palace 1
particular 1
pass 1
passed 1
passes 1
past 2
peacefully 1
people 1
perilous 1
periodic 1
permanently 1
person 1
phase 2
phases 1
pit 1
place 1
plants 1
plead 1
plot 1
possess 3
possesses 3
power 3
powerful 2
prepared 1
presence 1
presumably 1
pretty 1
prevent 2
prevented 2
prime 1
produce 1
promised 1
prove 1
providing 1
pure 1
pursued 1
put 1
quite 1
ranges 1
realised 1
realize 1
realizing 2
recent 1
refuses 4
regions 2
relatively 2
remain 2
renege 1
requirement 1
researcher 1
residence 1
residents 1
resists 1
restart 1
restore 2
retrieve 1
return 2
returns 1
reviews 1
right 1
roland 1
roogna 4
royal 1
runins 1
sabrina 2
safely 1
same 3
save 1
saved 2
saving 1
saying 1
scheming 1
scrying 1
sea 1
see 2
seems 1
sends 1
senility 1
sense 1
sentence 1
separates 1
separation 1
series 1
seriously 1
set 1
sets 1
setting 1
settle 2
settlement 1
several 2
she 9
shield 4
shieldstone 2
signed 1
since 1
slave 1
so 3
soldier 1
some 3
soon 2
sorceress 2
source 3
spared 1
special 2
spot 1
started 1
state 1
stay 1
stayed 1
still 3
storm 4
storms 1
strict 1
stupid 1
stupidbeautiful 1
successor 1
such 2
suitable 1
summon 1
surrounding 1
swept 1
sword 1
swordsman 1
take 3
talent 6
talents 1
task 1
tells 1
temporarily 1
temptation 1
than 1
that 31
the 105
their 2
them 5
then 7
there 4
thereafter 1
they 5
this 7
three 2
throne 5
through 5
thrown 1
time 3
title 1
to 75
told 1
transformer 1
transforms 1
trap 1
traveling 1
trent 34
trial 1
trio 4
truce 1
trying 1
two 4
ugly 1
unable 1
unique 1
unknown 1
until 1
up 4
upon 1
use 1
used 1
useless 1
using 1
usurp 1
variety 1
various 1
vary 1
via 1
village 1
violating 1
vulnerable 1
wall 1
wants 2
was 10
washing 1
way 7
well 3
went 1
what 1
when 3
which 2
while 3
whirlpool 1
who 8
whose 2
wilderness 3
will 6
willing 1
wins 1
wished 1
with 12
without 1
woman 3
women 1
word 1
work 2
worried 1
would 3
wounded 1
wynne 3
xanth 23
years 4
yet 1
zombies 1
