18132988
/m/04cw816
/m/04cw816
Pam Muñoz Ryan
2005-10-01
{"/m/0dwly": "Children's literature"}
judge 3
just 1
keep 1
keeps 1
kept 2
kid 1
kids 7
kill 1
kind 1
kindness 1
knew 4
know 3
knowing 2
known 2
knows 1
land 1
las 4
last 1
later 5
law 1
leave 4
leaves 1
leaving 3
left 3
leftovers 1
lemon 5
len 6
let 2
lie 1
life 8
like 4
likely 1
lion 2
lioness 2
lists 1
little 2
live 5
lived 2
lives 3
long 1
look 2
looking 1
losing 1
lost 3
lot 2
louder 2
love 2
loved 2
loving 2
lynn 8
made 2
magic 1
makes 1
making 3
man 1
managed 1
many 3
marriage 1
mary 6
means 1
meant 2
meanwhile 1
meet 1
men 1
mexican 5
mexico 5
might 3
mind 3
mistakes 1
moment 1
monday 1
money 1
monkey 1
mood 4
morales 2
more 6
motel 1
mother 10
mothers 1
mouse 2
move 2
moving 1
much 1
mysteriously 1
name 1
named 2
naomi 74
narrates 2
nature 1
near 2
nearby 1
needs 1
neighbors 5
never 4
new 1
next 3
niece 1
night 3
no 1
nobody 1
not 2
nothing 1
notices 1
now 9
oaxaca 1
of 34
off 1
officer 1
old 1
on 12
once 1
one 7
only 4
or 1
order 1
ordering 1
orders 1
out 2
outlaw 3
over 3
owen 40
own 3
packed 1
parents 3
park 2
participate 1
past 1
peaceful 2
people 2
perfect 1
physically 1
place 1
play 1
played 3
pointed 1
police 2
polyester 1
posadas 1
possession 1
precious 1
priests 1
promised 2
promises 1
protect 1
protectiveness 1
protectiveoutstretched 1
puerto 1
quest 1
question 1
questions 2
quietly 1
radishes 2
raise 1
ran 1
rancho 1
rarely 1
rather 1
reader 1
ready 1
realized 3
realizing 1
really 4
reappears 1
reasons 2
referring 2
refers 2
refuses 1
refusing 1
regular 1
relatives 3
remember 1
remembering 1
renamed 2
rescued 2
responsible 1
return 3
returned 3
reunited 1
revealed 1
right 2
rightful 1
room 1
rubn 3
runs 2
sadness 1
said 2
santiago 14
sapphire 2
saving 1
saw 2
saying 3
says 1
scars 1
school 7
sea 1
seat 1
second 1
seemed 1
seems 1
seen 2
sees 1
separate 1
seven 3
sewn 1
she 59
shirt 1
shopping 1
shows 1
side 3
since 5
sit 1
situation 1
skyla 39
slapped 1
slaps 1
smart 1
so 2
soap 2
soledad 3
some 1
someday 1
someone 1
something 4
son 1
soon 1
sorts 1
speaking 1
speaks 1
special 1
starts 1
status 1
stay 4
still 3
stir 1
stories 1
story 1
successfully 1
such 1
sudden 1
suddenly 3
supposed 2
sure 2
swings 2
take 8
taken 1
takes 2
taking 2
talk 1
tape 1
teachers 1
teaching 1
tearful 1
teenager 1
tell 4
telling 3
tells 10
terri 8
terrified 1
than 1
thanksgiving 2
that 49
the 82
their 11
them 11
themselves 1
then 4
there 4
they 19
things 9
thinking 1
thinks 2
thinning 1
though 2
thought 4
threatened 2
threatens 2
threats 1
three 3
thrilled 1
thrilling 1
through 1
tijuana 1
time 2
to 82
together 1
told 7
took 2
trailer 4
tree 5
trio 1
troubled 2
true 1
truth 2
try 2
trying 1
turn 1
turns 1
two 3
unable 1
universe 1
unless 1
unlike 1
unstable 1
until 2
up 7
upset 1
used 1
uses 1
vegas 3
very 1
violence 1
visit 2
voice 3
volunteered 1
waiting 1
wake 1
want 3
wanted 4
wants 1
was 26
wash 1
wasnt 3
way 1
wearing 1
wedding 1
week 1
welfare 1
well 2
went 5
were 5
werent 1
what 6
when 20
where 5
which 13
while 1
whirlwind 1
who 11
whole 1
whom 1
why 1
widowed 2
wild 1
wildest 1
will 3
win 1
wingsdue 1
winning 1
with 39
without 1
woman 1
won 2
wondered 1
wont 1
worked 1
worried 1
worries 1
worrying 1
worse 4
would 7
wouldnt 2
wrong 1
years 7
zamora 2
