256471
/m/01m06z
/m/01m06z
Frederick Forsyth
rumor 2
rushes 1
safety 1
said 1
same 1
schedule 1
scotland 3
scrambles 1
search 1
secrecy 1
secret 4
sections 1
security 3
seduced 1
series 2
service 5
set 1
she 2
shoots 2
short 1
shot 4
should 1
silenced 1
silencer 1
similar 1
since 1
sis 1
slimness 1
small 1
snatches 1
sniper 2
someone 1
soontobedemolished 1
sound 1
south 1
spanish 1
special 6
specialized 1
sports 1
spot 1
squad 1
staff 2
states 1
stationed 1
staying 1
steals 1
step 1
still 1
stolen 1
stopped 2
storms 1
stream 1
street 1
submachinegun 1
subordinates 2
subsequent 1
suburb 1
succeed 2
suggest 2
suggests 1
sum 1
summoned 1
summons 1
superficially 1
superintendent 1
surname 1
surprise 1
suspicious 1
switzerland 1
taken 2
takes 2
talk 1
target 1
telephones 1
tells 1
temporary 1
terrorist 1
terrorists 3
than 1
thanks 1
that 18
the 184
their 4
them 4
then 3
they 4
things 1
third 1
this 1
thomas 10
three 2
through 5
thus 1
time 5
to 61
together 1
told 1
top 1
topclass 1
tourist 1
tourists 1
train 1
traitor 1
travelling 1
travels 2
trujillo 3
trunk 1
turns 2
two 3
unarmed 1
under 4
underground 1
unexpectedly 1
united 1
unknown 3
unmarked 1
unnamed 1
until 1
unwittingly 1
up 5
upon 1
use 1
using 1
veteran 4
veterans 1
vicious 1
vienna 1
visiting 1
volunteers 1
wage 1
walking 1
war 3
was 6
wasnt 1
way 3
what 3
whatsoever 1
when 10
where 5
whereabouts 1
which 4
while 3
who 11
whom 1
whose 1
will 1
wiretapped 1
with 15
withdraws 1
without 1
woman 1
wonder 1
wont 1
word 3
work 1
world 1
yard 1
year 1
yelling 1
yet 2
young 1
