8626818
/m/027bkfl
/m/027bkfl
Nadine Gordimer
kittens 2
knew 1
know 1
knowing 1
knows 1
language 2
larger 1
last 1
later 4
learn 2
leave 1
leaves 2
left 1
let 3
liberal 1
life 4
like 3
listen 2
lives 1
long 1
longer 2
losing 1
love 1
lydia 2
make 2
makes 1
making 1
man 2
many 1
markings 1
martha 6
maureen 26
means 1
measure 1
meat 2
men 1
menstruating 1
mentioning 1
mentions 1
missing 1
mistress 1
money 1
month 1
more 1
morning 2
most 1
mother 1
move 1
murderers 1
must 2
mwawate 1
nation 4
native 1
needed 1
never 3
new 2
newborn 1
news 3
next 2
night 3
no 6
not 8
nothing 1
novel 4
nowhere 1
nude 1
nyiko 2
occupants 1
of 13
offers 2
on 9
once 1
one 3
only 3
opens 1
or 1
order 1
other 4
others 1
out 2
outraged 1
over 3
overturned 1
own 4
owns 1
part 1
partake 1
party 1
pass 1
passenger 1
past 2
pay 1
penis 1
people 1
permission 1
photograph 1
photographer 1
phrases 2
picture 2
pig 1
placing 1
play 2
police 1
poor 1
powerless 1
predicament 1
presence 1
provides 1
questioned 1
questions 1
radio 2
rain 1
reach 1
read 1
realize 1
realizes 3
really 2
recall 1
recalls 3
rejecting 1
relationship 2
remembers 1
replies 1
restrictions 1
retaliates 1
retrieve 1
return 5
returns 1
reveals 1
revolution 1
revolutionaries 1
right 1
risking 1
roots 1
royce 2
ruin 1
run 1
running 2
runs 1
saviours 1
saw 1
say 1
saying 2
says 7
scene 1
school 2
scolds 1
search 1
seasons 1
see 1
sees 1
sensed 1
servant 4
set 1
she 26
shifts 1
shocks 1
shoot 3
shooting 1
shop 1
shops 1
shotgun 1
should 1
since 2
situation 3
smale 2
smales 7
small 3
smaller 1
so 1
socializing 1
something 1
sometime 1
south 2
speak 2
speaks 1
spinach 1
spoiled 1
standing 1
startled 1
status 1
stay 3
stealing 1
still 2
story 1
struggle 1
struggles 1
stung 1
subservience 1
suggestion 1
suggests 2
summoned 1
supplies 1
system 1
taken 1
talking 2
talks 1
tank 1
tea 1
teach 1
tell 2
telling 2
tells 4
tender 1
than 1
that 32
the 114
theft 1
their 21
them 8
themselves 1
then 5
there 2
these 1
they 18
things 1
thinks 1
this 3
though 3
thought 1
threeday 1
through 1
time 4
times 2
to 57
tone 1
too 2
took 1
toward 1
transgression 1
treatment 1
tries 4
trip 3
trouble 2
truck 1
two 1
understood 2
unidentifiable 1
unknown 1
unsuccessfully 1
up 3
upon 2
used 1
useless 1
vehicle 4
victor 3
victory 1
village 9
villagers 3
violence 1
violently 1
visit 2
wakes 1
walking 1
want 2
wants 2
war 1
warthog 1
warthogs 3
was 8
water 2
ways 1
went 2
were 3
what 3
when 6
where 2
which 3
while 1
white 5
whites 3
who 7
why 2
wife 3
will 15
with 21
without 2
women 5
word 1
words 1
work 2
worked 2
working 2
workplace 1
worries 1
would 1
years 3
