101521
/m/0prr3
/m/0prr3
Niccolò Machiavelli
obligated 1
obligation 1
observe 1
observes 1
occupied 1
of 124
off 1
offered 1
officials 1
often 2
old 6
older 1
oligarchy 2
on 22
once 4
one 24
ones 5
oneself 1
only 13
open 1
opening 1
openly 1
opinion 1
opinions 1
opponents 1
opposite 2
opposition 1
options 1
or 24
order 9
ordered 1
orders 1
organization 1
orsini 2
other 13
others 5
otherswhich 1
otherwise 4
ottoman 1
our 1
out 6
over 4
overly 3
own 14
papal 2
part 2
particular 1
particularly 2
parts 1
passage 1
past 1
pattern 2
pay 1
peace 2
people 19
peoples 1
perceived 1
perfecting 1
periods 1
persian 1
personal 2
pervades 1
physical 1
physically 1
pick 1
piece 1
places 2
placing 1
plague 1
plan 1
plans 1
plot 1
pnbsp217 1
point 4
pointed 1
points 5
political 3
politics 5
pope 3
populace 2
position 3
positive 1
possess 1
possible 2
possibly 2
posts 1
potentially 1
power 22
powerful 3
powers 2
practicing 1
praetor 1
pragmatic 2
praised 2
precisely 1
predecessor 1
preparation 1
prepare 1
prepared 2
present 1
presentations 1
presents 1
prestigious 1
previous 1
prince 70
princedom 6
princedoms 5
princely 1
princes 12
principalities 2
private 1
problems 2
profession 1
project 1
promises 1
proper 1
properly 1
property 2
prophets 1
proposes 1
protect 3
provides 1
province 1
prudence 3
prudent 2
puppet 1
purely 2
purpose 1
purposes 1
pursuing 1
put 1
qualities 3
question 1
quickly 3
quite 1
races 1
raise 2
rapacious 1
rash 1
rather 4
reach 1
reaction 1
ready 1
real 1
reason 1
reasonable 1
reasoning 1
reasons 1
rebel 1
rebellious 1
recent 3
recently 1
recognizable 1
recognize 2
recommends 1
recover 1
referring 1
refers 2
reflected 1
reform 1
reforming 1
regard 3
regarding 2
regardless 1
regime 3
regimes 1
reign 2
relatively 1
reliable 2
reliance 1
relies 1
religion 1
religious 1
rely 1
remarks 1
removing 1
renaissance 1
republic 3
republican 1
republics 5
reputation 6
reputations 1
reputed 1
require 1
required 1
resist 2
resistance 1
resistant 1
resources 2
respect 3
respected 2
rest 1
results 1
revolves 1
reward 1
rise 2
risen 1
rises 1
rising 1
risk 3
risks 1
rivals 1
river 1
rivers 1
road 1
roman 1
romans 1
rome 1
ruin 1
ruined 1
rule 3
ruled 1
ruler 4
rulers 2
ruling 1
ruthlessness 1
safely 1
safer 1
said 3
same 2
satisfied 1
satisfy 1
say 1
saying 1
says 9
scipio 3
season 1
second 2
secretive 1
section 2
secular 2
secure 5
secures 1
security 1
see 1
seeing 1
seem 1
seems 1
seen 2
select 1
selection 1
selfdeception 1
selfsufficient 3
senators 1
seneca 1
sentence 2
servants 1
several 1
shall 1
she 1
should 38
showed 2
showing 1
shows 2
shun 1
side 2
siege 3
signal 1
similar 4
simpler 1
simply 2
since 1
single 1
situation 1
skill 2
slowly 1
so 7
soldiers 3
solely 1
solution 1
some 6
somebody 1
someone 2
something 2
sometimes 3
sought 1
sound 1
source 1
spain 1
speaks 1
spending 2
spirit 1
stand 2
standing 1
stands 2
start 1
started 1
starts 1
state 6
stated 1
states 5
stato 1
status 1
still 1
strategy 1
strength 3
strengths 1
strike 2
stroke 2
strong 2
stronger 2
strongly 1
structure 1
structured 1
struggles 1
study 3
subject 3
subjects 10
succeed 1
successes 1
such 10
suffer 1
suggesting 1
suits 1
summarized 2
summarizes 1
supplies 1
support 2
supported 2
supporters 1
supporting 1
supports 1
supposed 1
supreme 1
sure 1
surrounding 1
suspicious 1
sweat 1
synonyms 1
syracuse 2
tacitus 2
take 3
taken 2
takes 1
taking 2
taxes 1
tend 2
territories 4
territory 1
than 16
that 80
the 217
their 37
them 11
theme 1
themselves 2
then 8
there 6
thereafter 1
therefore 4
thereof 1
these 10
they 32
thing 2
things 3
think 1
thinker 1
thinks 2
this 37
those 16
though 3
thought 3
thoughts 1
three 2
thrones 1
through 10
throughout 2
thus 4
time 13
times 3
to 184
too 1
tool 1
top 2
torrential 1
totally 1
toward 1
towards 1
traditional 8
traditionally 2
trained 1
treating 1
treatment 1
troops 2
true 1
truly 2
trusting 1
truth 1
truthful 1
truthfully 1
try 2
trying 1
turk 1
turn 1
turns 2
two 9
type 5
types 10
typically 1
tyranny 1
tyrant 1
tyrants 1
ultimately 1
unaristotelian 1
uncontrolled 1
uncountable 1
under 2
understand 3
understands 2
understandwhich 1
undisciplined 1
unfamiliar 1
unite 1
united 2
unless 2
unlikely 2
unmade 1
unnecessarily 1
unstable 1
unusual 3
up 3
upon 5
use 4
used 2
useful 1
useless 3
uses 2
using 4
utmost 1
various 2
ventures 1
verit 1
very 7
vi 1
via 1
vice 1
vices 1
victim 1
virtue 9
virtues 1
virtuous 5
wanted 1
wants 2
war 4
warns 3
warring 1
was 19
watched 1
way 9
ways 2
we 1
weak 2
weakness 1
wealthiest 1
well 3
wellfortified 1
wellknown 2
went 1
were 7
what 8
when 11
where 3
whether 7
which 15
while 1
whim 1
who 32
why 1
wicked 2
wickedness 1
will 26
willing 2
win 3
wisdom 2
wise 6
wiser 1
wish 2
wishes 1
wishing 1
with 15
withdrawn 1
within 1
without 3
withstand 1
woman 1
women 2
won 1
word 8
words 2
work 3
worked 1
works 4
worry 1
worst 1
would 5
write 1
writers 1
writes 5
writing 1
writings 1
written 2
wrote 1
x 1
xenophon 1
yet 2
you 13
younger 1
your 9
yours 1
