3759894
/m/09zh6m
/m/09zh6m
John Gardner
falls 2
fatalistic 1
fear 2
fearing 1
feed 1
feel 1
feeling 1
feels 2
fervent 1
few 1
fifteen 1
fight 3
fights 2
figure 1
filled 3
finding 1
fine 1
finn 1
finnsburg 1
firesnakes 1
firm 1
flaming 1
flee 1
fleeing 1
flees 2
followed 1
for 6
foreboding 1
foremost 1
foreshadowing 1
fragment 1
frightened 1
from 10
frustrated 2
frustration 1
funeral 2
furiously 1
further 1
futility 1
gain 1
gains 1
geat 2
geats 1
given 1
gives 1
gleefully 1
gods 1
goes 1
government 1
grabbed 1
grabbing 1
great 2
greater 1
greeted 1
grendel 47
had 2
half 2
hall 5
hand 1
hands 1
hardness 1
hart 6
has 8
have 3
having 1
he 39
hear 1
hears 1
helmings 1
helpless 1
her 1
heroic 1
him 16
himself 4
his 34
hope 1
horse 1
however 1
hrothgar 10
hrothulf 3
huge 1
human 2
humanity 2
humans 5
hygelac 1
hygmod 4
ideas 2
if 1
illustrious 1
impervious 1
in 22
including 1
ingeld 1
inhabited 1
insane 1
instead 1
internal 1
into 6
is 19
it 2
its 3
joy 1
jumps 1
just 1
justice 1
juxtaposed 1
keeping 1
kill 1
killing 3
king 1
knowing 1
lack 1
lair 1
later 5
leader 3
leading 2
leads 2
leaves 1
leaving 3
left 1
length 1
life 1
lips 1
listening 1
literal 1
live 1
logic 2
loneliness 1
lore 1
lost 1
lovers 1
lust 1
main 1
make 2
making 2
man 1
manages 1
manner 1
many 1
mead 1
meaningless 1
meant 1
mechanical 1
mediocrity 1
men 2
mercy 1
mixed 1
mock 1
mockingly 3
monotheism 1
monster 4
moonlight 1
morbid 1
more 1
most 1
mother 7
move 1
moves 1
mute 1
mysterious 1
myth 1
named 4
nature 1
negotiations 1
nephew 1
night 1
nightfall 1
nihilistic 1
no 1
noble 1
noises 1
nomadic 1
not 9
notes 2
notices 1
novel 1
of 50
off 2
offers 1
old 1
omniscient 1
on 5
once 3
one 3
only 4
opening 1
opportunity 1
or 2
ork 3
other 2
out 3
outside 1
over 1
overwhelmed 1
pain 1
passes 2
pathetic 1
peace 1
peasant 1
peasants 1
people 3
perception 1
perpetual 1
philanthropy 1
philosophy 1
plays 1
poet 1
poetic 1
politics 2
pool 1
possesses 1
power 6
predict 1
prevents 1
previously 1
priest 2
priests 1
prominence 1
protection 1
puddle 1
puzzled 1
questioning 1
raids 1
ram 1
reaction 1
reacts 1
reader 1
real 1
reality 2
realize 1
realizes 2
realizing 1
rebukes 1
red 1
relates 1
relationship 1
religion 2
religious 1
reminisces 1
repeats 1
reply 1
responds 1
rest 1
resulted 1
retreats 1
returning 1
returns 2
reveal 1
revealed 1
reveals 2
riches 1
rips 1
rise 2
risen 1
rival 1
role 1
ruled 1
runs 1
saved 1
scene 1
scop 1
scyld 1
sea 2
second 1
seduces 1
see 2
seeing 1
seem 1
seems 1
seen 1
sees 1
sensation 1
sense 2
senseless 1
sentries 1
series 1
set 1
shaper 8
she 3
shefing 1
simply 1
since 1
sing 2
sings 1
sister 1
sitting 1
sky 2
slams 1
slip 1
so 1
society 1
song 1
songs 1
speak 1
spirit 1
spotted 1
state 1
statement 1
statements 1
still 2
stop 1
story 1
stupidity 1
subsequent 1
surrounded 1
system 1
taciturn 1
takes 1
tale 2
tales 1
talks 1
tantamount 1
teaches 1
tears 2
tells 2
terrible 1
terrorizing 1
that 23
the 117
thegn 3
thegns 2
their 6
them 3
themselves 1
then 8
theological 1
theories 1
there 1
these 1
they 3
thinking 2
this 3
those 1
though 3
threaten 1
threatens 1
three 1
through 2
thus 2
title 1
to 47
toss 1
total 1
totally 1
translation 1
trapped 1
travellers 1
tree 2
try 2
twelveyear 1
two 2
unable 1
unchanging 1
understand 2
understanding 2
uneasy 2
unferth 7
unintelligible 1
unnaturally 1
unrelenting 1
unusual 1
up 3
upon 3
upper 1
vague 1
venturing 1
verge 1
version 1
view 2
viewing 1
violence 2
violently 1
visitors 3
wake 1
wakes 1
walls 2
war 2
warfare 1
warrior 1
warriors 1
was 1
watches 2
watching 1
way 1
wealtheow 4
weapons 1
wedged 1
were 1
what 2
when 4
where 1
whether 1
which 7
while 5
who 6
whole 1
whom 1
why 1
widespread 1
wife 1
will 1
with 18
witnesses 2
woman 1
wondering 1
word 2
wordlike 1
words 1
world 1
would 2
wounding 1
wrestle 1
wrestles 1
wrist 1
year 1
years 1
yet 1
