8543450
/m/02778k_
/m/02778k_
Margaret Weis
go 5
goes 2
going 2
gone 1
grants 1
great 1
greater 1
group 1
guild 1
had 1
haggard 1
halt 1
hand 3
haplo 30
hard 1
harmony 1
has 19
hatches 1
have 6
he 41
head 1
heal 1
heals 1
heartrune 1
help 1
helper 1
helps 1
her 6
herself 1
high 3
him 20
himself 6
hiring 1
his 30
historic 1
history 2
home 2
honor 1
honormdash 1
hopeful 1
hostilities 1
how 1
however 5
hugh 16
hughmdash 1
human 4
humangalleyslave 1
humanmdash 1
humans 4
hurt 1
idea 1
idealistic 1
identity 1
if 2
illegitimate 1
immediately 2
imperanon 2
impossible 1
in 18
incredible 1
inflamed 1
inform 1
injured 1
injuries 1
inspired 1
instincts 1
instructions 2
intended 1
intends 1
intention 1
into 3
invincibility 1
invited 1
iridal 11
is 35
island 1
ismdash 1
isnt 1
it 10
its 3
itselfnbsp 1
jarre 13
job 2
join 1
jumps 1
just 1
keeper 3
keepers 3
kenkari 1
kickseywinsey 5
kill 7
killed 2
king 5
kir 1
knew 1
know 2
knows 1
labyrinth 2
labyrinthmdash 1
labyrinthnbsp 1
lady 1
laid 1
land 1
lands 1
last 1
launching 1
lead 1
leader 3
leading 1
leadingmdash 1
leaping 1
learn 2
least 1
leave 2
leaves 3
led 1
left 2
less 1
life 3
lifemdash 1
lifesblood 1
liked 1
limbeck 8
line 1
living 1
long 1
longer 2
look 2
lord 2
loses 1
lost 1
love 1
loyal 1
lying 1
machine 1
magic 2
magical 1
make 1
makes 2
making 1
manages 1
marks 1
massive 1
mausoleum 1
meantime 1
meanwhile 1
meet 1
meeting 1
memory 1
mensch 2
mentally 1
met 1
middle 1
midfight 1
monastery 1
mood 1
more 1
mortal 1
mother 1
moves 1
much 2
must 5
mutual 1
myopia 1
name 1
named 1
nature 1
naturemdash 1
necromancy 3
need 1
neither 1
nerve 1
never 1
nevertheless 1
new 2
news 1
nexus 1
no 6
non 1
none 1
not 4
now 3
occupation 1
of 36
off 2
on 16
once 2
one 8
ones 1
only 3
onto 2
opened 1
opens 1
opposed 1
optimistic 1
orders 2
other 4
others 1
out 5
overhears 1
overlooks 1
own 3
paralyze 1
parents 1
particularly 1
passage 1
past 1
patryn 1
peace 2
people 1
personal 1
phantom 2
physically 1
picks 1
place 1
plan 2
possible 1
possibly 2
powerful 1
pregnant 1
presence 1
presumably 1
prevent 1
prince 3
privately 1
promised 1
promptly 1
proof 1
protect 2
prove 2
pryan 1
pulling 1
punishment 1
pursuing 1
put 1
puzzle 1
queen 4
quick 1
quickly 2
quite 1
racewide 2
rank 1
reach 1
realize 1
realizing 1
realm 1
realmmdash 1
rebellion 3
receive 1
recognizes 1
recorded 1
recurring 1
red 1
redeyed 1
reesahn 4
religious 1
remains 1
remembering 1
reminds 1
reminiscences 1
report 1
repository 1
represent 1
rescue 4
rescues 1
rescuing 1
response 1
retrieve 1
return 3
returned 1
returning 1
returns 1
revealing 1
reveals 1
revived 2
revolt 1
rise 1
room 2
royal 2
rumors 1
runes 1
rushes 1
said 1
samah 4
sangdrax 6
sangdraxmdash 1
sanguine 1
sartan 4
save 1
saved 1
saves 1
says 1
secondhighest 1
secret 1
secures 1
see 3
seeks 1
seen 1
sees 2
send 1
sequiturs 1
serpent 3
serpentelves 1
serpents 3
seven 1
several 1
shambling 1
she 4
shed 1
ship 4
should 1
shout 1
shut 1
sidebyside 1
sides 2
sight 1
sign 1
since 3
sinks 1
sitting 1
skurvash 1
slave 1
slaying 1
slip 1
slowly 1
slumming 1
sneak 1
so 6
sole 1
somber 1
some 1
something 1
somewhere 1
son 4
soul 5
souls 1
spell 1
spied 1
spirits 1
standing 1
started 1
starting 1
statue 1
stephen 10
still 1
stop 1
stopped 2
strain 1
strange 1
strangled 1
strengthens 1
strings 1
stumbling 1
submersible 1
succeeds 1
success 1
summon 1
summons 1
superior 1
supposed 1
supposedly 1
sure 1
surrender 2
surviving 1
sustain 1
sword 1
symbol 1
take 4
taken 3
takes 3
tale 1
talking 1
tears 1
teleports 1
tell 1
tells 2
terms 1
terror 1
terrormdash 1
than 2
thankfully 1
that 22
the 131
their 13
them 4
then 3
there 4
theremdash 2
they 15
theyre 2
this 8
though 1
three 2
throne 2
through 2
thus 1
time 3
tired 1
to 88
together 1
togethermdash 1
too 1
tortured 1
totally 1
trap 1
treachery 2
trian 3
true 4
trusts 1
tunnels 1
turns 1
two 1
unable 2
under 1
understandably 1
understanding 1
unfortunately 1
unfound 1
until 1
up 2
use 1
used 1
uses 2
using 1
value 1
vengeance 1
versus 2
very 2
vessel 1
vision 1
wait 1
walk 1
wanders 1
want 4
wanted 1
wants 4
war 1
warn 1
warned 1
wars 1
was 3
way 3
welf 2
well 1
wet 1
what 4
when 4
where 10
which 4
while 1
who 11
whom 1
whose 2
why 2
will 7
willing 1
wings 1
with 13
without 2
wizard 1
woman 1
work 4
world 1
worlds 1
would 2
wouldnt 1
written 1
wrong 1
xar 9
years 1
you 1
zifnab 4
