13097186
/m/02z6c4l
/m/02z6c4l
Ashok Banker
indirectly 1
indra 1
indrajit 5
inevitable 1
infested 1
information 1
ingenious 2
injuring 1
inner 1
instilling 1
intense 1
intentionally 2
into 8
invasion 1
invincibility 1
is 27
issues 1
it 9
jambavan 3
jatarupas 2
jaya 1
join 1
joins 2
justified 1
karma 1
keeping 1
key 1
kill 2
killed 1
killing 3
kills 1
king 1
kingdom 2
knew 2
knocked 1
know 1
kumaras 1
kumbha 3
kumbhakarna 6
kumbharakshasa 1
lady 1
lakshman 3
lakshmana 8
lands 1
lanka 10
latent 1
latter 1
leaves 1
leaving 1
led 1
left 1
legitimate 1
legs 1
level 1
life 1
lifts 1
line 3
lines 1
literally 1
little 1
lives 1
lizardrakshasas 2
long 1
lose 1
loss 2
losses 1
lost 2
lure 1
lush 1
machines 1
made 1
main 2
mainda 1
making 1
manages 1
mandaradevi 1
mandaravanars 1
mandodhari 6
many 1
matched 1
meanwhile 3
medical 1
meeting 1
mercy 1
mere 1
millions 1
mindset 1
misdeeds 1
morale 1
more 6
mortally 1
most 2
mount 1
mountain 1
mountains 5
mowed 1
mowing 1
much 1
must 1
nearly 1
necessary 1
needs 1
never 1
nevertheless 3
new 2
nick 2
no 2
not 7
note 1
novel 1
now 1
nowhere 1
numbers 1
numerous 1
occur 1
ocean 5
odds 1
of 86
off 6
officers 1
old 1
on 12
once 5
oncoming 1
one 2
only 5
onto 1
oppose 1
opposing 2
or 1
order 4
other 3
out 9
outside 1
over 2
overjoyed 1
overseeing 1
own 1
pacified 1
pain 1
palace 2
palaces 1
part 2
passes 1
path 1
personal 1
physicians 1
pits 1
pitted 1
plain 2
plains 1
plane 1
platoons 1
play 1
pleading 1
pleads 2
plow 1
potential 1
power 2
powerful 3
powers 1
practically 1
prevents 1
process 2
promises 1
prompting 1
public 1
pulastya 1
pull 1
purpose 1
pushpak 1
put 1
queen 1
race 1
races 1
rage 3
raise 1
raising 1
rakshasa 1
rakshasas 5
rakshasavanar 1
rama 35
ravana 21
ready 1
real 1
realize 2
realizes 2
realm 2
reanimates 1
reanimating 1
reasoning 1
reawakened 1
recall 1
reduced 1
refresh 1
refuses 1
refusing 2
regiment 3
regiments 1
rejoicing 1
release 1
relents 1
reluctantly 1
remake 1
remarkably 1
renewed 1
represented 1
requests 1
rescued 1
resolves 2
responsible 1
rest 1
resurrected 1
resurrection 1
retorts 1
return 5
returned 1
reveals 3
revelation 1
revive 1
revived 1
rides 1
rises 3
risk 1
roars 1
route 1
royal 1
run 1
salvation 1
sanctioned 1
save 1
scores 1
scrutiny 1
sea 1
search 1
seconds 1
secret 1
secretly 1
section 1
selfdefense 1
sense 1
sensing 1
sent 1
serpent 1
serve 1
severely 1
shaken 1
shakti 10
shattering 1
she 4
sheer 1
shiva 1
shocking 1
short 1
shot 1
shoulders 1
shown 1
shrewdly 1
sick 1
sides 1
siege 2
significant 2
simple 2
simply 1
single 2
singlehandedly 2
sita 13
size 3
slaughters 1
sleeve 1
slices 1
slightly 1
slowly 1
slumbers 1
snakes 1
so 3
soldiers 1
some 1
something 1
son 1
sons 1
soon 2
sorcerously 1
spare 1
spear 1
speeding 1
sperm 1
spies 1
spots 1
states 5
stating 1
stragglers 1
strategies 1
strategy 2
strength 2
stronger 1
submission 1
sugreeva 2
support 1
surface 1
surpanakha 3
surprise 1
surprised 1
surprisingly 1
surveying 1
sustaining 1
swath 1
systematically 2
tactics 2
take 1
takes 1
taking 1
takshak 2
taunts 1
tearfully 1
telling 1
tells 4
tending 1
tenth 1
term 1
test 2
than 2
thanks 1
that 36
the 148
their 9
them 12
themselves 1
then 1
they 10
this 4
those 1
threatens 2
through 6
throughout 1
throws 1
tidal 3
time 5
to 70
tormenting 1
total 2
towards 1
treacherously 1
trees 1
tribe 2
troops 1
trusted 1
two 5
unable 2
unarmed 1
uncharacteristically 1
under 4
undergo 1
underneath 1
understanding 1
unfair 1
unfortunately 1
unleashes 1
unleashing 1
unliving 1
unmoved 1
unrelenting 1
up 5
upanishadic 1
upon 4
use 5
used 2
uses 3
using 6
vaikuntha 1
vajradanta 1
vanar 8
vanars 4
vanquishing 1
varuna 3
vast 1
vendetta 1
verge 2
very 1
vibhishan 5
victorious 2
vigour 1
vijaya 1
violated 1
vishnu 3
volcanic 1
vows 1
waiting 1
walled 1
walls 2
war 7
warning 1
warns 1
warriors 3
was 12
watches 1
watching 1
water 1
wave 4
weaker 1
weaknesses 1
weapon 2
weapons 3
wearing 1
whales 1
what 1
when 2
whether 2
which 8
while 2
who 8
why 1
widow 1
wife 1
will 4
willing 1
winning 1
wipe 2
wishes 1
with 14
within 1
without 1
witnessed 1
witnessing 1
world 1
worth 1
would 2
wounded 1
wounds 1
writhe 1
years 1
younger 1
