3267449
/m/092b58
/m/092b58
Leon Uris
lead 1
leader 2
leaders 2
leadership 1
leads 1
left 1
legion 3
life 6
like 1
likeminded 1
little 1
live 1
lives 1
locals 1
longer 2
loss 1
lot 1
lowkey 1
lust 1
luxurious 1
maan 3
made 1
maintains 2
make 2
makes 2
manage 2
mandate 1
manshiya 1
many 2
mass 1
mayor 1
mecca 1
mechanic 1
meet 1
meeting 3
meets 1
members 1
men 1
military 1
moderate 1
moderates 1
moderating 1
modest 1
mohammad 1
money 1
mood 1
more 1
mother 2
mount 1
move 1
mr 1
mudhil 1
mufti 1
murder 1
muslim 1
nablus 3
nada 2
name 1
national 1
nations 3
natural 1
nearby 1
need 1
negotiate 1
negotiates 1
neightborhood 1
new 1
night 1
no 3
not 4
novel 3
november 1
nuri 1
obvious 1
of 44
off 1
offer 2
offered 1
old 1
on 8
one 2
only 2
operating 1
opportunities 2
opulent 1
out 1
overtake 1
owner 1
owns 1
palestine 2
palestinian 3
palestinians 3
participation 1
partition 1
pass 1
passage 1
passivity 1
people 1
permanently 1
personal 1
persuade 1
peters 1
pilgrimage 1
pitch 1
plan 1
plans 2
plight 1
political 1
position 2
possible 1
pragmatism 1
previously 1
prince 1
proclaiming 1
promise 3
protect 1
protects 1
proudly 1
pursuit 1
qualities 1
qumran 3
radio 2
rape 2
reach 1
ready 1
reality 1
reasonably 1
reciprocal 1
refugee 2
refugees 1
region 1
relatives 1
repelled 1
represent 1
representative 1
represented 1
represents 1
repulsed 1
residents 1
resolution 2
resourcefulness 1
respect 1
rest 1
result 1
return 2
returns 1
revenge 2
revenges 1
rich 1
ringleaders 1
rise 1
rival 1
run 1
sabri 1
salama 1
sale 1
salmi 1
samaria 1
satisfying 1
saudi 1
school 1
sea 1
search 1
secretly 1
seeks 1
seems 1
sees 1
sets 1
settle 1
settled 1
settlers 1
share 1
she 2
sheik 2
shemesh 1
shepherd 1
ship 1
should 1
sister 1
sisterinlaw 1
situation 1
skills 1
sold 2
solution 2
some 1
son 7
soukori 1
speeches 1
spite 1
st 1
stands 1
starts 1
state 1
stepmother 1
stifling 1
still 1
stolen 1
strategic 1
strength 1
strike 1
strip 1
struggles 1
suffers 1
summarily 1
summoned 1
support 2
supposed 1
syria 1
tabah 6
taji 3
take 1
takes 2
talk 1
talks 1
teacher 1
teenager 1
tell 1
telling 1
temptation 1
tensions 1
tenuous 1
tested 1
that 8
the 96
their 16
them 4
themselves 1
these 3
they 19
third 1
this 2
threatened 1
threats 1
three 2
through 2
throughout 1
time 2
times 1
to 55
tolerance 1
town 2
traditional 2
traditions 3
traits 1
transjordans 1
travels 2
triangle 1
troops 1
truck 1
trust 1
try 2
tulkarm 1
two 2
unable 1
undercover 1
united 3
unproductive 1
until 1
up 2
use 1
using 1
valuable 1
value 1
values 2
vatican 1
village 4
villagers 4
virgin 1
visits 1
wahhabi 1
wander 1
warriors 1
wary 1
weather 1
welltrained 1
west 1
when 2
where 5
whereby 1
which 2
while 2
whips 1
who 9
whom 1
wife 1
willing 1
with 22
witnesses 1
women 1
work 1
workable 1
worsens 1
would 2
yassin 1
year 1
years 1
youngest 2
youth 1
zurich 4
zyyad 1
zyyads 1
