1510010
/m/056x2w
/m/056x2w
Nancy Kress
place 2
plan 3
plane 1
plans 1
plant 1
pleases 1
plus 2
pm 1
point 2
points 2
poised 1
poisoning 1
political 2
poor 1
possibly 1
pour 1
pouring 1
prebonded 1
pregnant 2
premature 1
premises 1
presence 1
presentation 1
presidential 1
pretending 1
priority 1
privately 1
problems 1
process 1
prodigious 1
products 1
profit 1
programmed 1
project 1
prologue 1
prone 1
proof 3
propaganda 2
proprietary 1
proves 1
provide 1
providing 1
prowl 1
proximity 1
publicly 1
que 1
radiation 1
rather 2
reader 2
ready 1
real 1
realizes 3
realizing 1
receive 1
recent 1
reciprocated 1
recording 1
recourse 1
recreational 1
red 4
reduced 1
refuses 2
regard 1
regimen 1
register 1
registered 1
religious 2
remaining 2
remarkably 1
reminds 1
replies 1
reply 1
reporters 2
reports 1
reproductions 1
research 1
researcher 2
researchers 2
resident 1
restless 1
returns 2
revealed 2
reveals 3
reverse 1
reverseengineer 1
reverser 1
right 1
robots 1
rogers 1
rouchefoucauld 1
run 1
russian 1
safe 1
safely 1
salvation 1
sanctuary 7
sans 1
saunders 2
says 1
scan 1
scans 2
school 1
scientist 1
scurries 1
se 1
search 2
second 1
security 1
see 3
seizures 1
selene 2
self 1
semireligious 1
send 1
sends 1
sense 1
sent 2
separate 1
serge 1
serrano 3
seventeen 1
sharifi 11
sharifimdashand 1
she 40
shockey 3
short 1
shows 3
sick 2
since 2
sister 1
sisters 1
six 1
sixteen 1
skyrocketing 1
sleepers 1
sleepless 3
slumming 1
smart 1
sneak 1
so 5
solana 5
solidarity 1
some 4
somehow 1
someone 2
something 1
son 1
soon 1
sort 1
soul 1
species 1
specifically 2
speed 1
spending 1
spent 1
spread 2
starting 1
state 1
stay 1
steal 1
still 1
stimuli 1
stockpile 1
stopped 1
straight 1
strength 1
struggle 1
strukov 6
stupid 1
submit 1
substance 1
succeeds 1
successfully 1
such 1
suffers 1
superior 1
superiority 1
supers 3
supersleepless 3
supervisor 1
supplicants 1
supply 1
supplying 1
sure 1
syringe 6
syringes 11
syringesmdash 1
system 1
systems 1
tailored 1
take 4
takecharge 1
takes 7
taking 3
tale 1
tally 1
teaching 2
technical 1
techniques 2
tell 2
tells 1
tentech 2
terminal 1
terrified 1
tess 1
tessie 1
test 1
tested 1
testing 1
tests 1
than 2
that 31
the 134
their 11
them 9
themselves 3
then 7
there 4
theresa 19
thermonuclear 1
these 2
they 11
things 1
think 1
third 1
this 7
thomas 1
though 5
thousands 1
three 1
through 6
thurmond 1
time 3
timeactivated 1
timid 1
tiny 1
to 93
too 1
toor 1
top 1
train 1
transmission 2
transmissions 1
transmitted 1
trauma 1
treated 1
triad 1
triads 1
tribe 7
tries 1
trios 1
trojan 1
tromp 1
truest 1
trying 1
turner 1
two 3
unaccustomed 1
unchanged 3
under 2
undergo 1
underline 1
underlines 1
uneducated 1
unfortunately 1
unit 1
unless 1
until 4
unwashed 1
up 3
us 1
use 3
used 1
vacility 1
various 1
very 1
vicki 15
vicky 1
victoria 1
views 3
virus 5
visions 1
visit 2
visits 2
vital 2
vote 4
voters 1
votes 1
vrai 1
walk 1
want 1
wanted 1
wants 1
wares 1
was 2
wasted 1
watch 2
watches 2
way 4
wayland 2
we 1
weak 1
weapon 6
wearily 1
well 1
wellprotected 1
were 2
what 5
whatsoever 1
when 2
where 6
which 9
while 3
who 9
whom 1
why 3
will 7
willoughby 1
winthrop 1
wired 1
with 17
within 1
without 2
woman 1
wont 1
work 1
working 2
works 3
world 4
worst 1
would 3
writing 1
xenophobia 1
ycone 1
years 2
yet 1
you 1
young 2
yshielded 1
yshields 1
