9366759
/m/02863v2
/m/02863v2
Geraldine Brooks
desecrates 1
desolate 1
despair 1
desperate 1
desperately 1
despite 2
destined 1
devil 2
dictates 1
did 2
die 1
died 1
dies 5
dig 1
digging 1
directs 2
discovering 1
discuss 1
disembark 1
disloyalty 1
dismisses 1
displaced 1
disregard 1
distract 1
disused 1
do 5
doctor 1
doctors 1
does 5
door 1
down 1
dragged 1
dress 1
drive 1
dropping 1
drown 2
drowns 2
drunkard 1
duchy 1
due 4
dug 1
during 8
duties 1
dying 2
each 2
earl 2
ease 1
education 1
elaborate 1
elinor 10
elizabeth 14
eloped 1
embrace 1
emerald 1
emergencies 1
employer 1
encounter 1
end 1
ended 1
enough 2
entered 1
entertainments 1
epilogue 1
error 1
especially 1
estranged 1
ethics 1
eventually 3
everyone 1
excellent 1
exception 1
excursions 1
explaining 1
exposure 1
extensive 1
extortionate 1
eyam 3
fabric 1
failure 1
fall 2
fallen 1
falls 1
family 4
fatal 1
father 8
fatherinlaw 1
fears 1
fevered 1
few 3
fifteen 1
final 1
find 3
finding 1
finds 1
fine 1
fire 2
first 2
firstborn 1
fittingly 1
five 1
flee 2
flees 1
fleet 1
flight 1
flock 1
flooded 1
floor 1
folly 1
for 29
forgave 1
forgets 1
former 1
formulates 1
fornicate 1
fornication 1
fortunate 1
found 3
four 1
fourteen 1
free 2
freely 1
fresh 1
frith 6
from 11
fruit 1
full 2
fully 3
further 1
furthers 1
garden 1
gave 1
genoese 1
gentry 2
george 1
get 1
girl 4
girlhood 1
given 2
gives 2
glass 1
go 3
going 1
gold 1
goodbye 1
goods 1
governess 1
gowdie 4
gowdies 2
gown 2
grave 2
gravedigging 1
graves 1
great 3
greatly 1
greed 1
greek 1
green 1
greeted 1
grievously 1
guilty 1
had 14
half 1
hall 1
hand 1
hands 1
happen 1
happened 1
has 5
having 3
he 33
heart 1
heaven 1
heavy 1
heed 1
heir 1
held 1
hell 1
help 4
helped 2
helps 1
her 106
herbalists 1
herself 2
him 16
himself 4
hires 1
his 17
history 1
hold 1
home 3
homes 1
horrified 1
horrors 1
horse 1
hours 1
house 4
household 2
housekeeper 1
however 3
husbands 1
hysteria 1
if 1
ill 4
illness 2
immediately 4
impaled 2
impalement 1
impressed 1
in 41
incident 2
included 1
incoherent 1
income 1
incompetent 1
infant 2
infanticide 1
inform 2
informs 2
ingratiates 1
inn 1
innkeeper 2
instead 2
insufflation 1
insult 1
into 6
introduced 1
introduction 2
iron 1
ironic 1
is 41
islam 1
it 7
its 2
jamee 1
jamie 2
jesus 1
jewellery 2
josiah 1
journeyman 1
joy 1
judgment 1
keen 1
keep 2
keeping 1
kept 1
killing 1
kinder 1
kitchen 1
knew 1
knowing 2
knowledge 2
known 1
kunya 1
labour 2
lace 1
landed 2
large 1
later 3
latin 1
lead 1
leads 2
learn 1
leave 2
leaves 5
leaving 1
led 1
left 4
less 3
letter 2
letters 1
licence 1
life 1
literacy 1
little 3
live 3
lives 1
living 1
local 2
london 4
long 1
longer 1
looking 2
lord 1
love 1
loving 1
lynched 1
madness 1
man 3
manure 1
many 1
market 1
marriage 4
married 1
marry 1
marrying 1
matter 1
may 3
medical 1
meeting 1
meets 2
mem 3
member 1
michael 2
micheal 1
midwife 1
midwifery 1
midwifing 1
midwived 1
midwives 1
might 1
mind 1
mine 4
mines 1
mining 1
ministered 1
miss 4
mistakenly 1
mob 1
models 1
moments 1
mompellion 14
mompellions 1
money 1
more 3
morning 2
most 2
mother 9
mourning 1
mr 13
mrs 2
much 1
mulls 1
murder 1
murderers 1
murders 1
music 1
muslim 1
must 1
name 4
named 1
naming 1
narrates 1
narrator 1
natural 1
near 1
nearly 1
needs 2
neighbour 1
neighbours 1
never 1
newborn 2
news 1
next 6
niece 2
night 1
no 6
nor 1
north 1
not 17
novel 4
now 6
number 1
oath 1
occasionally 1
of 93
offences 1
offer 1
offered 1
offers 5
old 2
omen 1
on 10
once 6
one 6
only 6
opened 1
opening 1
opportunity 1
or 3
oran 3
ordered 1
orphan 1
other 4
others 1
out 5
over 4
overnight 1
own 7
painful 1
parish 2
part 2
partially 1
particularly 2
peakmines 1
peakrill 1
pelted 1
people 1
perform 1
persuades 1
philosophy 1
physically 1
physick 4
pick 1
pigs 1
pillow 1
pit 1
placed 1
plague 13
plan 1
pleadings 1
pleased 1
plot 1
ploy 1
plymouth 2
pneumonia 1
point 2
poor 1
port 2
ports 1
possessions 1
possibility 1
possible 2
possibly 1
postpones 1
practical 1
prayer 2
prepared 1
presently 1
previous 2
prices 1
priest 1
prison 1
problems 1
production 1
pronounces 1
proposes 1
provisioned 1
psalm 2
punished 1
punishment 1
puritan 2
puritans 1
purse 2
quaker 2
quarantine 3
quarters 2
questioners 1
quickly 3
quiet 1
raised 1
reaches 1
read 1
reads 1
realise 1
realises 1
reappears 1
reason 1
reawaken 1
rebukes 1
receives 1
recently 1
recites 1
recommends 1
rector 11
rectoress 4
rectors 1
rectory 4
reflects 1
refusal 1
refuses 1
regardless 1
relatives 1
remedies 1
reminded 1
reminds 1
repent 2
report 1
reports 1
rescues 1
respite 1
rest 1
return 1
returns 3
reveals 1
reverts 1
risk 1
road 2
rocks 1
rooms 2
rotten 1
sacrifice 1
sacrificed 1
sadd 1
said 1
sake 1
satisfactory 1
satisfy 1
say 1
says 1
scarring 1
scope 1
scout 1
sea 2
searching 1
season 1
seat 1
see 3
seeds 2
seeing 1
seek 1
seeking 1
seeks 1
segregation 1
seize 1
selfimposed 1
selfish 1
selfishness 1
selfquarantine 1
selling 1
sends 1
sent 2
serves 1
several 2
sex 1
sexton 2
shaft 1
shares 1
she 68
sheep 1
sheltered 1
ship 1
shipwreck 1
shocked 1
shocks 1
should 4
shrouds 1
simple 1
sin 2
since 2
sins 1
situation 1
skeleton 1
skilled 2
slept 1
small 2
so 7
some 1
son 6
sons 3
source 1
spate 1
spells 1
spirit 1
spiritual 1
spread 2
spreading 1
spreads 1
stabbing 1
state 1
stays 1
stepmother 3
still 1
stop 2
story 1
studied 1
study 2
such 2
suggested 1
suggestion 1
suggests 1
suicide 1
suitor 1
summertime 1
summoned 1
sunday 2
superior 1
superstitious 1
support 1
surrogate 1
survival 1
survived 1
suspected 1
sustainment 1
tailor 1
take 7
taken 2
takes 1
taking 2
talk 1
taught 1
tears 2
tell 2
tells 4
test 1
testifying 1
than 3
thank 1
that 42
the 188
their 12
them 7
themselves 2
then 5
there 2
these 1
they 12
thievery 1
thing 1
things 1
thinking 1
thinks 1
this 10
those 1
three 4
through 3
throughout 1
throw 1
thus 1
time 3
to 103
token 1
told 2
tom 1
town 5
tried 1
trimmed 1
trying 1
tumour 1
turn 1
turns 1
two 5
umm 1
unacceptable 1
unburied 1
understand 1
understanding 1
understands 1
unguarded 1
unspoken 1
until 2
up 3
upon 7
uses 1
variety 1
venetian 1
venezia 1
viccars 9
victims 1
view 1
views 1
village 11
villagers 2
violated 1
vocation 1
voyage 2
walk 1
wanted 1
wants 1
warning 1
was 12
washes 1
water 1
waves 1
way 2
we 1
week 1
weeks 2
well 3
were 1
wetnurse 1
what 2
whatever 1
when 6
where 5
whereas 1
which 12
while 1
who 11
whom 2
whose 1
why 5
widow 6
widowhood 1
wife 3
wild 1
will 3
wisely 1
wishes 1
wishing 1
witch 1
with 31
within 2
without 2
wives 1
woman 2
womb 1
women 2
woolen 1
word 1
words 1
work 6
worked 1
working 1
works 1
worldly 1
would 4
writings 1
year 3
years 5
york 1
you 2
youngest 1
your 1
