6132795
/m/0frx8l
/m/0frx8l
J. J. Connolly
2000-04-06
{"/m/0lsxr": "Crime Fiction"}
hears 2
heathrow 1
her 4
here 1
heroin 2
hideout 2
high 1
higher 1
hilarious 1
him 7
himself 2
his 29
histories 1
hold 1
holding 1
home 1
homosexual 1
hook 1
hope 1
hospital 1
hostage 2
hotel 2
hour 1
house 3
how 1
hurst 3
if 5
immediately 1
impatiently 1
imprisoned 1
in 37
including 2
influential 1
information 2
informer 2
informs 1
initiated 1
injuries 1
installments 1
interrupts 1
into 9
intrigued 1
introduced 2
investigation 1
invited 1
invites 1
involved 1
involving 1
is 26
isstarting 1
it 7
jeremy 3
jerry 2
jilted 1
jimmy 20
job 2
just 2
keeping 1
kidnapped 1
kilburn 2
kill 4
killed 4
kills 1
king 1
kinky 6
klaus 7
knew 1
known 3
larry 1
late 2
layer 1
leader 1
leading 1
leads 1
learn 1
leave 1
leaves 2
leaving 1
left 1
less 2
lessthanpunctual 1
lies 1
life 1
like 1
line 1
little 2
live 1
liverpool 2
living 2
local 2
located 1
locating 2
london 8
long 1
look 1
looking 1
looks 1
lost 2
loveland 2
lower 1
lowquality 1
lowranking 1
loyal 1
luck 1
lures 1
made 1
make 1
makes 1
making 1
man 6
manages 2
mansion 1
many 2
marijuana 1
matters 1
may 1
me 1
meet 2
meeting 3
meets 2
member 3
members 1
men 3
mentions 1
mi5 1
middle 1
mike 1
million 5
mister 2
money 2
moonlighting 1
more 2
mort 2
mortimer 5
mortimers 1
morty 19
moves 2
moving 1
mr 1
much 2
multiple 1
murder 4
murdered 1
murderous 1
my 1
mysterious 1
name 3
named 3
names 1
narrator 68
nature 1
nazi 1
nearly 1
neonazi 1
netherlands 1
new 1
news 1
next 2
night 1
nightmare 1
nobby 1
nonexistent 1
north 1
northern 1
not 4
now 3
number 3
of 41
off 2
offhandedly 1
officers 1
official 1
old 2
on 10
one 6
options 1
or 3
order 1
orders 1
organize 1
out 5
outfit 1
outoftheway 1
outside 1
over 2
overdose 1
owed 1
own 2
owned 1
pair 2
pakistani 1
pal 3
panic 1
panics 1
paranoia 1
paranoid 1
park 2
partner 1
party 1
pepi 1
pepper 1
picked 1
pills 20
place 1
planning 1
plate 1
plays 1
police 9
pornography 1
pornshop 1
posing 1
possession 1
possessions 1
possibility 1
pounds 3
powerful 1
prefers 1
previously 1
price 10
primrose 1
prison 3
private 1
prized 1
probably 1
problems 2
proceeds 1
producing 1
promises 1
promising 1
promptly 1
purchase 2
purpose 1
quality 1
quarter 1
quickly 2
quiet 1
rage 4
raid 1
raided 1
rank 1
rarified 1
real 1
realizes 1
realizing 1
reason 1
receive 1
recently 1
recording 3
recover 2
regional 1
releasing 1
remaining 1
reporter 1
restaurant 2
result 2
retire 2
retires 1
return 1
ridicules 1
righthand 1
robbery 1
run 3
rundown 1
runs 1
ryder 2
same 1
scene 2
scheme 1
security 1
see 3
seemingly 1
seized 1
sell 2
send 2
sends 1
sent 1
sentence 2
sentences 1
serious 1
serve 1
served 1
sets 1
several 1
sex 3
shanks 4
she 1
shipment 2
shipped 1
shit 4
shooting 1
shop 1
shortly 1
shot 1
showering 1
since 1
six 2
slasher 3
slovenly 1
small 2
smuggler 1
sneaks 1
sniper 2
socialite 1
some 3
son 1
southeast 1
speaking 1
speaks 1
speech 1
spent 1
spots 1
spray 1
squad 1
starts 1
state 1
steadily 1
steal 2
steel 1
stolen 1
stop 1
story 5
strictly 1
strong 1
subtly 1
successful 1
suicide 1
summoned 1
sure 1
surreptitiously 1
sydney 7
take 8
taken 2
takes 2
taking 1
tall 1
tammy 6
task 1
tasked 1
tasks 2
team 2
television 1
tell 1
telling 2
tells 7
temple 9
terry 1
testify 1
than 2
that 41
the 181
their 5
them 10
themselves 1
then 9
there 3
therefore 1
they 12
thieves 1
thinking 1
thinks 1
this 2
three 1
through 1
time 1
times 1
tiptoes 1
to 85
tokyo 1
took 1
torture 1
totteridge 1
toys 1
trade 1
train 1
transpires 1
transported 1
trevor 11
troubled 1
trust 1
trying 1
tuck 5
turned 1
turns 2
two 7
tyson 1
unconcerned 1
unfortunately 1
unidentified 1
unknown 1
unleashed 1
unnecessarily 1
until 2
up 3
upon 5
us 2
use 1
used 2
van 5
various 1
venezuela 2
very 3
viciously 1
victim 1
visited 1
visits 2
wait 1
waiting 1
wants 1
warehouse 1
was 10
way 2
we 2
wealth 1
wealthy 1
weeks 2
welcome 1
well 1
were 4
what 4
when 7
where 5
which 6
while 4
who 17
whom 2
will 4
with 30
without 1
witnessed 1
work 1
worked 1
world 1
worth 2
would 3
wrist 1
wrong 2
yahoos 9
year 2
years 4
yet 1
you 4
youd 1
young 2
youre 2
youve 1
