1506060
/m/056mfh
/m/056mfh
Edmond Rostand
siege 1
signals 2
singlehanded 1
sir 1
situations 1
slap 1
slowly 1
smuggling 1
so 3
society 1
soldier 1
someone 1
soon 1
soul 1
spain 2
spanish 4
speak 4
spy 1
stage 2
stand 1
stands 1
starving 1
stay 1
steadfastly 1
still 1
storms 1
story 1
strongwilled 1
subject 1
such 1
suggests 1
supervises 1
symbolic 1
take 2
takes 1
tale 1
talents 1
talk 2
talking 1
talks 1
tall 1
teases 1
teasing 1
tell 6
telling 1
tells 14
temper 1
than 1
thanks 1
that 30
the 87
theater 2
theatre 1
their 3
them 4
then 8
they 4
thing 1
thinking 2
thinks 1
this 7
through 1
thrust 1
thugs 1
times 1
to 81
tries 1
triumphantly 1
truly 1
truth 3
try 1
trying 1
twice 1
two 1
ugliness 1
ugly 2
unconditional 1
under 3
unsigned 1
until 2
upset 1
urges 1
urging 1
usual 1
valvert 3
various 2
victory 1
viscount 1
visit 1
visited 1
voice 1
vows 1
wait 2
waiting 2
waits 1
wants 1
war 4
warm 1
warn 1
warns 1
was 3
way 3
wedding 2
weep 1
well 1
went 1
were 1
what 3
when 10
where 1
which 1
while 8
whispering 1
who 6
whom 3
wife 1
will 6
wins 1
wit 1
with 18
woman 2
woo 1
wooing 1
words 1
world 1
would 3
wounded 1
wounding 1
write 1
writing 1
written 1
years 1
young 1
yourself 1
