950220
/m/03spdr
/m/03spdr
Robert Jordan
rolan 1
role 1
root 1
rule34 1
rumors 2
saidin 2
saldaea 1
same 1
sammael 2
says 1
scattered 1
seal 1
seanchan 13
sedai 8
seem 1
seems 1
sees 1
seize 1
self 1
semirhage 6
send 1
sensing 1
sent 2
series 2
sevanna 1
several 2
shadow 2
shaido 6
she 6
shienar 1
should 1
side 2
sign 1
since 3
sister 1
sisters 4
sisters3 1
size 1
skirmishes 1
slain 1
so 1
someone 1
somewhat 1
south 1
speak 1
spread 1
started 1
state 1
stead 1
stedding 1
steel 2
storm 1
strictly 1
strife 1
struggled 1
stump 2
subsequently 1
successfully 1
suitability 1
supply 1
supporter 1
suroth 2
surprise 1
surprised 1
sweetness 1
sword 1
taim 2
take 2
taken 1
takes 1
talmanes 1
tam 2
tar 1
tarabon 1
tarmon 3
telaranrhiod 1
telling 1
terrible 1
territory 1
thanks 1
that 14
the 139
their 6
them 5
then 4
therava 1
therin 2
they 2
this 4
thom 1
though 1
thread 1
threat 1
throne 2
through 1
throughout 1
ties 1
time 3
times 1
title 1
to 64
too 1
tow 1
tower 9
trakand 2
trap 1
travel 1
travels 3
treacherous 1
tricks 1
trolloc 2
trollocs 1
truce 2
tuon 7
tuon3s 1
two 2
tylee 1
undermining 1
unfortunately 1
universally 1
unknown 1
unsuccessfully 1
unusual 1
up 2
upon 1
use 1
using 3
valda 3
valon 1
via 1
victory 1
visit 1
volume 1
wake 1
walking 1
war 1
was 3
waste 1
water 1
waygates 1
ways 2
were 1
wheel 1
when 3
where 1
which 6
while 5
white 7
whitecloaks 4
who 3
wife 2
will 2
wise 2
wish 1
with 22
within 1
working 1
world 2
world3s 1
worldrocking 1
wrestle 1
