24342325
/m/07s70t2
/m/07s70t2
Patrick Ness
it 11
ivan 1
james 1
join 1
joining 2
journal 1
jump 1
just 1
keep 2
keeping 1
keeps 1
kidnapping 1
kill 3
killed 1
killer 1
killing 5
kills 3
kisses 1
knew 1
knife 2
knowing 1
knowledge 2
knows 1
labelled 1
land 5
landed 1
landing 1
lands 1
language 2
large 1
last 1
later 2
launch 3
launches 4
leader 2
leadership 1
learning 1
leave 4
leaves 1
leaving 3
lee 2
left 3
let 1
letting 1
like 4
lines 1
listen 1
little 2
longer 1
look 1
loses 1
losing 1
lost 1
lures 1
made 1
main 1
manage 1
manages 2
manchee 1
manipulate 1
many 1
march 1
marches 1
matter 1
mayor 52
mayors 1
me 2
meanwhile 3
medicine 2
meet 2
meets 1
memories 3
men 1
messages 1
messenger 1
met 1
midst 1
might 1
missile 2
missiles 3
mistakes 1
mistress 7
mixed 1
mixture 2
moment 1
more 4
morning 2
most 2
mother 1
mothers 2
mounted 1
move 1
much 1
murder 2
narrative 2
near 2
nearby 1
nearly 3
need 1
negotiating 1
negotiations 2
never 1
neverending 1
new 11
next 3
nicknamed 1
night 1
no 2
nobody 1
noise 18
noises 1
not 12
notices 2
novel 1
now 6
number 1
numbers 1
objects 1
obliterated 1
observe 1
ocean 4
of 39
off 4
offers 1
okay 1
old 2
on 15
once 1
one 11
only 3
onto 1
open 1
openly 1
opens 1
operate 1
ordered 2
ordering 2
orders 1
organic 1
other 1
out 5
outgunned 1
outraged 1
outskirts 1
over 5
overwhelmed 1
own 2
part 1
parties 2
party 1
pathways 3
peace 9
people 4
person 2
picks 1
plan 2
planned 1
plot 1
pointtopoint 1
position 1
pour 1
power 1
praises 1
prefers 1
prentiss 1
prentisstown 5
preoccupied 1
present 1
previous 1
previously 1
prior 1
probe 4
probes 1
process 2
promised 1
proven 1
provides 1
pushes 1
quickly 3
quietens 1
quieter 1
random 1
reach 1
reached 3
read 4
reading 2
real 1
realised 1
realises 1
realising 1
recedes 1
recognises 1
recognizes 1
recovers 1
refugees 1
refuses 4
regret 2
relaunched 1
releases 2
remaining 3
remedies 1
remember 1
remembering 1
remixes 1
repeating 1
replay 1
resents 1
resign 1
respond 1
resume 1
retort 1
retreat 1
return 10
returned 1
returning 1
returns 4
reveal 1
revealing 3
reveals 2
revenge 1
reward 1
ride 2
rider 1
rifle 2
risk 1
river 1
running 1
runs 1
safety 1
said 1
same 5
save 3
saved 2
saves 1
says 2
scene 1
scheduled 1
school 1
scope 1
scout 6
sea 1
searches 1
second 1
seconds 1
secret 1
see 1
seeing 1
seeks 1
sees 4
selfcontrol 1
selfdiscipline 1
send 3
sending 1
sends 4
sent 3
separate 1
separating 1
seriously 1
set 1
settle 1
settlement 1
settler 1
settlers 2
several 1
shaken 1
she 19
ship 5
shock 1
shocked 2
shoot 2
shooting 1
shoots 2
short 1
shot 2
should 2
show 1
showing 1
side 1
sight 1
silence 2
silences 1
similarly 1
simone 6
simply 1
since 1
site 1
skill 1
sky 22
skys 1
so 2
softly 1
soldier 1
soldiers 5
some 1
something 2
son 1
soon 1
sort 1
source 3
spackle 28
spackles 4
speak 2
speech 3
splits 1
square 4
stage 1
starting 1
starts 1
state 1
statement 1
stationary 1
stealing 1
steals 1
stick 1
sticks 1
still 1
stop 1
stops 2
store 1
strapped 1
strategically 1
stronghold 1
subconsciously 1
such 2
suddenly 1
suicide 1
supervision 1
supply 1
surprise 2
surprised 1
survey 1
surviving 1
survivor 1
swearing 1
swept 1
switches 2
sworn 1
take 2
taken 1
takes 3
talk 3
talks 1
tank 1
target 2
targets 2
tate 1
taught 1
teaches 1
telling 1
tells 6
ten 1
terms 1
testing 2
thanks 1
that 49
the 259
their 4
them 5
then 16
there 1
they 7
thing 1
thinks 3
thirteen 1
this 14
though 4
thought 1
thousands 1
threaten 1
threatens 1
through 3
thus 1
ticky 1
time 2
times 1
to 97
todd 56
todds 7
together 1
tomorrow 1
too 1
tower 1
town 6
transfer 1
treat 1
trick 1
tries 1
trust 3
trustworthy 2
try 1
turning 1
turns 1
two 9
unable 1
undermined 1
unleashes 1
unsure 3
until 4
unwanted 1
up 9
used 2
uses 2
using 4
utilising 1
vaporizes 1
various 1
vengeance 1
viewpoint 1
viola 38
wakes 3
walking 1
want 2
wants 1
war 7
warning 1
warns 2
was 5
watched 1
watches 1
water 7
waterfall 1
wave 2
way 3
weapon 4
weaponry 3
weapons 1
what 1
when 9
where 3
which 5
while 5
whilst 1
white 3
who 10
why 2
wilf 3
wilfs 1
will 11
wins 1
wishes 1
with 21
without 3
women 1
working 2
world 3
would 5
wrist 1
wrong 1
years 1
