2272664
/m/06_wyt
/m/06_wyt
Jacqueline Carey
queen 5
rahab 1
raise 2
raised 1
rapes 1
reach 2
realizes 1
realliance 1
realm 1
reason 1
receive 1
receives 2
refused 1
refuses 2
refusing 1
relationship 1
reluctantly 1
replies 1
rest 1
retreating 1
return 5
returns 1
reveal 1
reveals 1
rhinoceros 1
rhinoceroshide 1
ride 1
rival 1
room 1
route 1
row 1
royal 2
ruler 1
rulers 1
rulership 1
rushed 1
saba 2
sabean 1
sacrifice 2
sacrificing 1
sanctuary 1
save 1
saw 1
scarring 1
scars 1
search 1
secluded 1
see 2
seem 1
sees 2
sent 1
serenissima 1
severe 1
shahrizai 1
sharpened 1
she 36
ship 1
should 1
shrinking 1
sibeal 1
since 1
sink 1
siovale 1
siovalese 1
sister 1
skin 1
skotophagoti 3
slaughter 1
slavers 1
small 1
so 3
solace 1
some 2
sometimes 1
son 3
soon 2
sort 1
sources 1
spits 1
spread 1
spring 1
stabs 1
stage 2
standoff 1
stay 2
still 1
stop 1
stopping 1
stow 1
straight 1
straits 2
strangely 1
suffered 1
survivors 1
symbolizes 1
sympathy 2
taint 1
take 3
taken 2
takes 2
taking 1
talks 1
task 1
tells 3
temple 2
temples 1
ten 3
tentative 1
terre 5
terrible 1
than 2
that 33
the 130
their 15
them 9
then 2
there 4
these 3
they 19
third 1
this 11
those 1
though 2
throne 3
through 4
throws 1
time 3
times 1
tisaar 1
to 70
too 1
toward 1
town 1
traditional 1
traitors 1
travel 7
tribe 4
trickery 1
tried 1
true 2
truly 1
trust 1
tsingani 2
turning 1
two 1
unable 1
unarmed 1
under 2
understand 1
until 3
up 1
upon 3
upset 1
use 1
uses 2
using 1
utter 2
vahmycam 2
valere 1
various 1
vengeful 1
verreuil 3
version 1
very 2
vile 1
visible 1
visions 1
visits 1
wants 1
warriors 1
was 1
way 2
well 2
what 1
when 2
where 2
which 2
while 2
who 4
whom 1
whore 2
whose 1
will 12
wings 1
with 17
without 1
witnessed 1
women 5
world 1
worship 1
would 1
wrath 1
years 2
your 1
ysandre 5
zenana 8
