27712654
/m/0cnz32j
/m/0cnz32j
Edith Pargeter
herbarium 1
him 8
himself 1
his 36
hobble 1
holy 1
home 2
honest 1
hoped 1
horseback 1
hot 1
house 2
how 1
hugh 12
hugonin 2
i 3
if 3
immediate 1
impulsive 1
in 32
inability 1
inseparable 1
instead 1
intervenes 1
iron 2
is 21
issues 1
it 4
its 1
journey 2
june 2
keep 1
kent 1
kind 1
king 4
kneel 1
knight 1
knocks 1
know 1
large 2
late 1
later 2
latest 1
lawful 1
lawfully 1
lead 1
leads 1
learn 1
leave 1
leaves 3
leaving 2
left 5
leg 1
legatine 1
liege 2
life 3
light 1
like 1
line 1
local 1
london 4
look 1
looking 1
looks 2
lord 3
lost 1
loud 1
luc 8
lucmatthew 1
lucthat 1
made 1
make 2
makes 1
man 2
manapplies 1
marriage 1
married 1
mass 1
massages 1
master 1
matilda 1
matthew 13
maud 3
may 2
me 2
meal 2
meant 1
meet 1
meets 1
melangell 9
men 4
mentions 1
merchants 1
message 1
messenger 2
messengers 1
met 2
meverel 3
midday 1
middleaged 1
miles 1
minds 1
miracle 3
miracles 1
missing 2
mission 1
moment 1
moments 1
money 1
monk 3
monks 2
mother 1
motivated 1
murder 2
murdered 1
must 2
my 1
nab 1
name 3
named 1
near 1
nearing 1
neck 2
nephew 1
net 2
neutral 1
never 1
news 2
no 1
nobility 1
noble 1
none 1
north 1
not 4
notices 2
novice 1
now 3
numbers 1
occasion 1
of 37
off 2
olivier 15
on 16
once 1
one 2
opens 1
opposite 1
or 3
others 1
out 3
over 2
overhears 1
overland 1
own 3
oxford 1
pain 1
part 1
party 2
past 2
paul 1
pays 1
peace 1
penitential 1
performed 1
peter 1
pilgrims 3
place 1
pleased 2
poer 1
politely 1
politics 1
powerful 1
praise 2
pray 2
prays 1
prepares 2
presence 1
presides 1
pressure 1
prior 1
prison 1
proceeding 1
procession 1
promises 1
promising 1
protected 1
pulled 1
pursuing 1
pursuit 1
puts 1
queen 4
quick 1
quickly 1
quite 1
radulfus 4
rage 1
rainald 1
rather 1
reacts 1
reassured 1
recalls 1
recovered 1
recovery 1
refuses 1
release 1
relief 1
relieving 1
reliquary 2
remains 1
removed 1
repaired 1
replaced 1
replies 2
reports 1
request 2
requesting 1
requests 2
resembles 1
rests 1
retreated 1
return 3
returned 2
returns 2
rhun 9
ring 4
road 1
robert 1
round 1
route 2
saddened 1
safepassage 1
said 1
saint 6
sanction 1
save 2
saying 1
says 3
scene 2
scrip 2
search 2
secrets 1
see 2
seek 3
seeks 1
sees 1
sending 1
sends 1
separately 1
service 1
sets 1
shared 1
shares 1
she 1
sheriff 1
shoes 1
shoulders 1
shouts 1
shoving 1
showing 1
shrewsbury 7
side 1
sides 1
silence 1
simeon 2
sister 2
sleep 1
slight 1
slip 1
small 1
softened 1
soil 1
some 3
son 2
soul 1
southwest 1
st 6
stabbed 1
stairs 1
states 1
stay 1
stays 1
stephen 2
steps 1
stolen 1
stop 1
such 1
suddenly 1
suffers 1
suit 1
supporters 1
supporting 1
suspicious 2
taciturn 2
take 1
taking 1
tale 1
talk 1
teen 1
tell 1
telling 2
tells 4
than 1
that 15
the 99
their 5
them 6
then 1
these 4
they 3
thieves 3
third 1
this 8
thoroughly 1
those 1
three 4
throats 1
through 1
throws 1
time 1
tip 1
to 65
together 3
too 1
town 1
trades 1
tradesmen 1
trail 1
tranquilly 1
travelled 1
tree 1
tries 1
turned 2
turns 1
twilight 1
two 4
unarmed 1
under 2
unseen 1
untwist 1
unusual 1
up 4
vengeance 2
very 1
vow 2
vowed 1
wait 1
wales 4
walk 1
walking 1
walks 1
wanted 1
wants 2
war 2
wards 1
warn 1
was 2
watching 1
ways 1
weakness 1
wearing 2
weaver 1
weeks 2
weight 1
wellbred 1
welsh 1
west 1
what 1
when 4
where 3
which 1
while 5
who 11
whole 1
whom 1
widow 1
wife 1
will 4
winchester 3
winifred 5
wish 1
with 17
without 1
won 1
word 1
words 1
work 1
worked 1
working 1
would 2
wrongly 1
you 1
young 4
