188071
/m/019q_s
/m/019q_s
James Clavell
piracy 1
pit 2
placate 1
place 1
placed 1
plans 2
planted 1
plot 2
point 2
political 1
politically 1
pope 1
portugal 3
portuguese 5
power 6
powerful 3
precarious 1
prepare 1
presence 2
present 1
preserve 1
president 1
prevent 1
priest 4
priests 2
principal 1
principally 1
prison 3
prize 1
prized 1
profits 1
pronounce 1
prophecy 1
protestant 3
provides 1
proving 1
purpose 1
puts 1
questioning 1
quickly 1
rabble 1
reach 2
reaches 1
realm 1
recovered 1
recurring 1
reducing 1
referring 1
regent 2
regents 9
rehooding 1
relations 1
release 1
religion 1
religious 1
repays 1
replacement 1
representatives 1
required 2
rescues 1
resignation 1
resigns 1
resist 1
respect 3
respectfully 1
response 1
rests 1
retainer 1
return 3
returns 1
revealed 1
reveals 4
riches 1
right 2
rips 1
rival 3
rodrigues 6
roman 1
room 1
ruining 1
rule 1
ruse 1
safely 1
sail 1
sailing 1
sailor 1
samurai 8
save 2
saved 1
saves 2
saw 2
saying 1
says 1
sea 2
seas 1
secretive 1
secretly 1
section 1
seeing 1
seek 2
seemed 1
sees 1
sekigahara 1
sending 1
sends 1
sentences 1
seppuku 4
seriously 1
service 1
serving 1
shameful 1
she 7
ship 12
shipwrecked 1
shocked 1
shogun 1
show 1
shows 1
side 2
silence 1
silk 1
similar 1
since 3
situation 1
six 1
skills 1
slips 1
slowly 1
so 4
society 2
sophisticated 1
spain 1
spanish 3
spanishportuguese 1
spend 1
spots 1
spreading 1
stamps 1
standard 1
stands 1
start 1
states 2
status 1
stay 2
still 1
storm 2
stronghold 1
struggle 1
stunned 1
submission 1
submit 1
subsequent 1
such 1
suggestion 1
suicide 4
summons 1
surprised 1
surviving 1
survivors 2
swept 1
swim 1
sworn 1
taiko 1
take 1
taken 3
takes 2
taking 1
tame 1
targets 1
taught 1
tell 1
tells 2
temporarily 1
term 1
territory 1
than 1
that 19
the 151
their 12
theirs 1
them 15
themselves 1
then 1
there 1
therefore 2
these 1
they 6
this 9
threat 2
threatened 2
three 1
through 3
thrown 2
throws 1
ties 1
time 1
tip 1
title 1
to 102
together 1
tong 1
too 2
toranaga 47
toranagas 1
torn 3
trade 2
traditional 1
train 2
translate 2
translation 1
translations 1
travel 1
travelers 1
treachery 1
trial 2
tries 1
trust 1
truthful 1
turn 2
turning 1
uncle 1
uncles 1
uncouth 1
under 1
underage 1
understanding 1
unforeseen 1
unlikely 1
unsuccessfully 1
until 2
up 3
upon 2
using 1
valuable 1
various 1
vassal 2
vassals 1
vast 2
ventured 1
version 1
very 1
vessel 1
villagers 1
visits 1
vulgar 1
warrior 1
warship 1
was 3
waters 1
wave 2
way 3
ways 1
wealth 1
weapon 1
what 2
when 6
which 2
who 12
whose 1
wife 1
will 4
willingness 1
winning 1
with 18
within 1
word 1
world 1
worth 1
would 3
xenophobic 1
yabu 15
year 1
yedo 1
young 1
