9347120
/m/0285dxr
/m/0285dxr
William Brinkley
meet 1
melora 17
men 5
mendoza 1
merely 1
merit 2
midafternoon 1
miffed 1
million 1
mimeograph 1
mind 2
missives 1
money 2
monstrous 1
month 2
morey 1
morning 2
most 3
mr 11
much 2
music 1
name 1
named 1
nanto 1
nash 14
native 6
nautical 1
naval 5
navy 10
near 1
nebraska 1
never 3
new 5
news 4
newspaper 1
newspapers 1
next 1
nicely 1
night 1
no 2
noah 2
nocturnal 1
not 2
note 1
noticeable 1
noting 1
novel 1
number 1
numbered 1
nurse 2
nurses 1
o 1
obsessed 1
oddballs 1
odious 1
of 72
officer 6
officers 10
old 1
on 20
one 5
oneroom 1
only 5
opening 1
opera 1
operation 1
opportunity 1
orchestrated 1
order 1
ordered 2
orders 1
other 3
others 2
out 8
outraged 2
overnight 1
own 1
pair 2
pale 1
panties 1
participating 1
particularly 2
party 2
passionate 1
pawn 1
penchant 1
pending 1
pendleton 6
pennant 1
per 1
permanently 1
person 1
personal 1
personality 1
personally 1
personnel 1
persuaded 1
pfc 1
philanthropy 1
phony 1
picked 1
places 1
planned 1
plans 1
play 1
playerthere 1
pleasant 1
pleasantries 1
poke 1
polite 1
politicians 1
pompous 1
pool 1
position 1
postwar 1
pratt 3
predilection 1
president 1
press 1
prevent 1
princeton 1
produce 2
producer 1
promptly 1
protect 2
protest 1
protracted 1
proves 1
proximity 1
public 13
publicity 1
publisher 2
punishes 1
purchasing 1
puritanical 1
quarters 2
queen 1
questions 1
quick 1
quonset 1
racket 1
radio 2
rages 1
raid 2
ratiobut 1
ration 1
rationed 1
rations 1
reaches 1
reaction 1
reactions 1
readership 1
really 1
reasonable 1
rebuild 1
recalling 1
recently 1
recruited 1
redrug 1
refusing 1
regulations 2
relations 13
relationship 3
relieved 1
reluctantly 1
remain 1
replace 1
reporter 1
required 1
researching 1
resemble 1
resign 1
resignation 1
responds 1
rest 1
return 2
returned 2
returns 1
reunites 1
revises 1
rewarded 1
rice 1
rip 1
ripwell 8
risk 1
romance 1
room 3
roommate 1
ross 1
rosters 1
route 1
rudder 1
rules 1
run 1
running 1
runs 1
said 1
sailor 4
sailors 1
saying 1
school 3
schoolhouse 4
schoolteacher 1
sea 3
seagoing 1
seattle 2
second 2
secretly 1
section 2
seeking 1
sees 2
seguro 3
selfimportant 1
send 1
sends 2
sense 1
sent 1
sequential 1
service 1
session 1
sets 1
sex 1
sextant 2
sexual 1
shack 1
she 5
sheets 1
shima 1
ship 1
ships 1
shirt 1
shoemaker 5
show 1
shows 1
siegel 41
siegelunlike 1
sightseeing 1
similar 1
simple 2
sir 1
sitting 1
situation 1
six 2
skilled 1
sleep 1
slips 1
small 1
so 1
soap 2
social 1
socialize 1
some 1
someone 1
something 1
sometime 1
sophisticated 1
soul 1
souvenir 2
speaking 1
spontaneous 1
stages 1
stammer 2
states 5
stateside 1
stationed 2
stay 1
stays 1
stereotypically 1
still 3
stock 1
stories 3
story 1
storyline 1
stranded 1
strictly 1
succeeds 2
success 1
successful 1
suggesting 1
superior 1
suspicious 1
suspiciously 1
swatting 1
swimming 1
sydney 1
sydneyafter 1
symbolized 1
sympathetic 2
system 1
t 1
tantalizing 1
target 2
tarzan 1
task 1
tasked 1
tattooed 1
taunting 1
tea 3
teacher 2
technical 1
tells 1
temporary 1
ten 2
tennis 1
tennisplaying 1
that 16
the 175
their 4
them 4
themselves 1
then 1
they 2
thinking 1
this 1
thomas 5
thoroughly 1
those 1
thousand 1
three 1
through 1
throwing 1
time 1
times 1
to 89
together 1
told 1
tone 1
tongueincheek 1
tossing 1
tour 4
towards 1
town 2
traditional 1
transferred 1
transferring 1
treatment 2
tries 1
truman 1
tulura 13
tuluran 2
turns 3
two 8
typical 1
tyson 8
ugly 1
unable 1
unauthorized 1
unaware 1
uncomfortable 1
uncouth 1
undignified 1
unexpectedly 2
uniform 2
united 2
until 1
up 4
upheaval 1
use 4
used 1
using 5
uss 2
utterly 1
v 1
various 1
veritable 1
very 2
vice 1
views 1
viking 1
village 1
violation 1
vip 2
visit 1
walks 1
wanders 1
wanting 1
wants 3
war 8
warned 1
warning 1
wars 1
warship 1
washington 1
water 1
wealthy 1
week 1
weekly 1
weight 1
went 1
wet 1
wheelbarrow 1
when 11
where 3
which 5
while 3
whiskey 1
who 6
whose 1
why 1
wild 1
wiles 1
will 1
willing 1
wilson 1
wins 1
with 26
without 3
woman 1
womanizer 1
women 2
woodrow 1
work 3
workers 1
worries 1
worst 1
would 2
wow 1
writer 2
writing 2
written 2
yearned 1
years 1
yelling 1
yeoman 4
york 2
young 2
your 1
